answer_logprob,answer_token_accuracy,budget_chunks,budget_tokens,budget_violation,complete_evidence,condition,dataset,end_to_end_time_ns,evidence_recall,example_id,identity_id,materialization_time_ns,materialized_kv_bytes,materialized_tokens,peak_device_bytes,pid,sampling_seed,selection_time_ns
-3.3238742351531982,0.0,2,64,0,0.0,base_topk,hotpotqa,5823780448,0.25,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,2519049744,7340032,64,3409362944,89536,20260906,599409
-3.3238742351531982,0.0,2,64,0,0.0,budget_tuned_topk,hotpotqa,5823780448,0.25,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,2519049744,7340032,64,3409362944,89536,20260906,57922
-3.3238742351531982,0.0,2,64,0,0.0,power_sharpen,hotpotqa,5823780448,0.25,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,2519049744,7340032,64,3409362944,89536,20260906,686174
-3.3238742351531982,0.0,2,64,0,0.0,entropy_adaptive_sharpen,hotpotqa,5823780448,0.25,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,2519049744,7340032,64,3409362944,89536,20260906,778912
-4.68632698059082,0.0,2,64,0,0.0,persistence,hotpotqa,1604921203,0.0,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,569769361,7340032,64,3409371136,89536,20260906,24838
-3.3238742351531982,0.0,2,64,0,0.0,agreement,hotpotqa,5823780448,0.25,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,2519049744,7340032,64,3409362944,89536,20260906,65622
-3.3238742351531982,0.0,2,64,0,0.0,community,hotpotqa,5823780448,0.25,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,2519049744,7340032,64,3409362944,89536,20260906,24107
-0.98492431640625,0.6666666865348816,2,64,0,0.0,bridge_preserving,hotpotqa,1594346529,0.25,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,558361100,7340032,64,3409371136,89536,20260906,69972
-4.68632698059082,0.0,2,64,0,0.0,combined_structural,hotpotqa,1604921203,0.0,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,569769361,7340032,64,3409371136,89536,20260906,97885
-0.5337300896644592,1.0,2,64,0,0.0,oracle_evidence,hotpotqa,1589055279,0.5,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,550251987,7340032,64,3409371136,89536,20260906,29388
-3.856388568878174,0.0,4,128,0,0.0,base_topk,hotpotqa,4289404058,0.25,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,2763685561,14680064,128,3409481728,89536,20260906,51893
-3.856388568878174,0.0,4,128,0,0.0,budget_tuned_topk,hotpotqa,4289404058,0.25,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,2763685561,14680064,128,3409481728,89536,20260906,45063
-3.856388568878174,0.0,4,128,0,0.0,power_sharpen,hotpotqa,4289404058,0.25,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,2763685561,14680064,128,3409481728,89536,20260906,47223
-3.856388568878174,0.0,4,128,0,0.0,entropy_adaptive_sharpen,hotpotqa,4289404058,0.25,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,2763685561,14680064,128,3409481728,89536,20260906,89618
-4.565581321716309,0.0,4,128,0,0.0,persistence,hotpotqa,2119874451,0.0,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,987432924,14680064,128,3409481728,89536,20260906,17761
-1.9714454412460327,0.6666666865348816,4,128,0,0.0,agreement,hotpotqa,2114556269,0.5,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,981241928,14680064,128,3409481728,89536,20260906,68508
-3.856388568878174,0.0,4,128,0,0.0,community,hotpotqa,4289404058,0.25,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,2763685561,14680064,128,3409481728,89536,20260906,67774
-1.0347061157226562,0.6666666865348816,4,128,0,0.0,bridge_preserving,hotpotqa,2105508512,0.5,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,969674492,14680064,128,3409481728,89536,20260906,56311
-4.594850540161133,0.0,4,128,0,0.0,combined_structural,hotpotqa,2108531718,0.0,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,977255460,14680064,128,3409481728,89536,20260906,101198
-0.5355150699615479,1.0,4,128,0,1.0,oracle_evidence,hotpotqa,2119446132,1.0,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,989285361,14680064,128,3409481728,89536,20260906,55214
-1.5549232959747314,0.6666666865348816,6,192,0,0.0,base_topk,hotpotqa,4793019174,0.5,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,3174650816,22020096,192,3409592320,89536,20260906,52342
-1.5549232959747314,0.6666666865348816,6,192,0,0.0,budget_tuned_topk,hotpotqa,4793019174,0.5,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,3174650816,22020096,192,3409592320,89536,20260906,62119
-1.5549232959747314,0.6666666865348816,6,192,0,0.0,power_sharpen,hotpotqa,4793019174,0.5,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,3174650816,22020096,192,3409592320,89536,20260906,71078
-1.5549232959747314,0.6666666865348816,6,192,0,0.0,entropy_adaptive_sharpen,hotpotqa,4793019174,0.5,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,3174650816,22020096,192,3409592320,89536,20260906,131961
-4.317047119140625,0.0,6,192,0,0.0,persistence,hotpotqa,2556241801,0.0,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,1323665819,22020096,192,3409592320,89536,20260906,28955
-2.0969252586364746,0.6666666865348816,6,192,0,0.0,agreement,hotpotqa,2541922586,0.75,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,1315032567,22020096,192,3409592320,89536,20260906,57224
-1.5549232959747314,0.6666666865348816,6,192,0,0.0,community,hotpotqa,4793019174,0.5,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,3174650816,22020096,192,3409592320,89536,20260906,68678
-2.0969252586364746,0.6666666865348816,6,192,0,0.0,bridge_preserving,hotpotqa,2541922586,0.75,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,1315032567,22020096,192,3409592320,89536,20260906,56547
-4.155824184417725,0.0,6,192,0,0.0,combined_structural,hotpotqa,2539059296,0.0,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,1311083200,22020096,192,3409592320,89536,20260906,85672
-1.6277278661727905,0.6666666865348816,6,192,0,1.0,oracle_evidence,hotpotqa,2548305155,1.0,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,1318917634,22020096,192,3409592320,89536,20260906,69270
-1.4822415113449097,0.4000000059604645,2,64,0,0.0,base_topk,hotpotqa,3635493850,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552572853,7340032,64,3413901312,89536,20260906,50247
-1.4822415113449097,0.4000000059604645,2,64,0,0.0,budget_tuned_topk,hotpotqa,3635493850,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552572853,7340032,64,3413901312,89536,20260906,38405
-1.4822415113449097,0.4000000059604645,2,64,0,0.0,power_sharpen,hotpotqa,3635493850,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552572853,7340032,64,3413901312,89536,20260906,40077
-1.4822415113449097,0.4000000059604645,2,64,0,0.0,entropy_adaptive_sharpen,hotpotqa,3635493850,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552572853,7340032,64,3413901312,89536,20260906,73896
-1.7659672498703003,0.4000000059604645,2,64,0,0.0,persistence,hotpotqa,1735554949,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,572410663,7340032,64,3413946368,89536,20260906,14682
-1.4822415113449097,0.4000000059604645,2,64,0,0.0,agreement,hotpotqa,3635493850,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552572853,7340032,64,3413901312,89536,20260906,54740
-1.926979422569275,0.20000000298023224,2,64,0,0.0,community,hotpotqa,1714815465,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552533200,7340032,64,3413946368,89536,20260906,23382
-1.4822415113449097,0.4000000059604645,2,64,0,0.0,bridge_preserving,hotpotqa,3635493850,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552572853,7340032,64,3413901312,89536,20260906,91239
-0.8393260836601257,0.6000000238418579,2,64,0,1.0,combined_structural,hotpotqa,1714349377,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,553971808,7340032,64,3413946368,89536,20260906,88219
-0.8393260836601257,0.6000000238418579,2,64,0,1.0,oracle_evidence,hotpotqa,1714349377,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,553971808,7340032,64,3413946368,89536,20260906,50357
-0.9110601544380188,0.800000011920929,4,128,0,1.0,base_topk,hotpotqa,2669960067,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,980431676,14680064,128,3413962752,89536,20260906,17179
-0.9110601544380188,0.800000011920929,4,128,0,1.0,budget_tuned_topk,hotpotqa,2669960067,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,980431676,14680064,128,3413962752,89536,20260906,63428
-0.9110601544380188,0.800000011920929,4,128,0,1.0,power_sharpen,hotpotqa,2669960067,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,980431676,14680064,128,3413962752,89536,20260906,72606
-0.9110601544380188,0.800000011920929,4,128,0,1.0,entropy_adaptive_sharpen,hotpotqa,2669960067,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,980431676,14680064,128,3413962752,89536,20260906,136103
-1.1316531896591187,0.6000000238418579,4,128,0,1.0,persistence,hotpotqa,2261639402,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,976013214,14680064,128,3413962752,89536,20260906,29440
-0.9549505114555359,0.800000011920929,4,128,0,1.0,agreement,hotpotqa,2255290490,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,971263692,14680064,128,3413962752,89536,20260906,56078
-0.9549505114555359,0.800000011920929,4,128,0,1.0,community,hotpotqa,2255290490,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,971263692,14680064,128,3413962752,89536,20260906,59150
-0.9110601544380188,0.800000011920929,4,128,0,1.0,bridge_preserving,hotpotqa,2669960067,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,980431676,14680064,128,3413962752,89536,20260906,43250
-1.0650581121444702,0.6000000238418579,4,128,0,1.0,combined_structural,hotpotqa,2257296263,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,974532630,14680064,128,3413962752,89536,20260906,67358
-0.9110601544380188,0.800000011920929,4,128,0,1.0,oracle_evidence,hotpotqa,2669960067,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,980431676,14680064,128,3413962752,89536,20260906,78812
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,base_topk,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,20260906,28544
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,budget_tuned_topk,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,20260906,63020
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,power_sharpen,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,20260906,72338
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,entropy_adaptive_sharpen,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,20260906,144795
-1.2633408308029175,0.6000000238418579,6,192,0,1.0,persistence,hotpotqa,2717206216,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1309844787,22020096,192,3413979136,89536,20260906,23259
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,agreement,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,20260906,55033
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,community,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,20260906,20524
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,bridge_preserving,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,20260906,31872
-1.2633408308029175,0.6000000238418579,6,192,0,1.0,combined_structural,hotpotqa,2717206216,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1309844787,22020096,192,3413979136,89536,20260906,58273
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,oracle_evidence,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,20260906,23858
-5.938772201538086,0.0,2,64,0,0.0,base_topk,hotpotqa,4977526757,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,636911217,7340032,64,3414163456,89536,20260906,14525
-5.938772201538086,0.0,2,64,0,0.0,budget_tuned_topk,hotpotqa,4977526757,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,636911217,7340032,64,3414163456,89536,20260906,45268
-5.938772201538086,0.0,2,64,0,0.0,power_sharpen,hotpotqa,4977526757,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,636911217,7340032,64,3414163456,89536,20260906,44955
-5.938772201538086,0.0,2,64,0,0.0,entropy_adaptive_sharpen,hotpotqa,4977526757,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,636911217,7340032,64,3414163456,89536,20260906,85215
-5.156562328338623,0.0,2,64,0,0.0,persistence,hotpotqa,2698728434,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,571206295,7340032,64,3409977344,89536,20260906,16586
-5.938772201538086,0.0,2,64,0,0.0,agreement,hotpotqa,4977526757,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,636911217,7340032,64,3414163456,89536,20260906,58150
-8.181975364685059,0.0,2,64,0,0.0,community,hotpotqa,2672989366,0.0,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,549665526,7340032,64,3409977344,89536,20260906,25692
-5.938772201538086,0.0,2,64,0,0.0,bridge_preserving,hotpotqa,4977526757,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,636911217,7340032,64,3414163456,89536,20260906,57093
-5.718325614929199,0.0,2,64,0,0.0,combined_structural,hotpotqa,2676545301,0.2857142857142857,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,547692184,7340032,64,3409977344,89536,20260906,51680
-2.4294798374176025,0.0,2,64,0,0.0,oracle_evidence,hotpotqa,2676509633,0.2857142857142857,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,548930274,7340032,64,3409977344,89536,20260906,66834
-4.990309715270996,0.0,4,128,0,0.0,base_topk,hotpotqa,3777060608,0.2857142857142857,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,976309947,14680064,128,3409993728,89536,20260906,53142
-4.990309715270996,0.0,4,128,0,0.0,budget_tuned_topk,hotpotqa,3777060608,0.2857142857142857,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,976309947,14680064,128,3409993728,89536,20260906,53776
-4.990309715270996,0.0,4,128,0,0.0,power_sharpen,hotpotqa,3777060608,0.2857142857142857,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,976309947,14680064,128,3409993728,89536,20260906,56160
