depth,exact_trajectory_correct,example_id,final_correct,invalid_call,machine,model_forwards,nontermination,one_call_edge_coverage,per_transition_accuracy,post_tool_answer_correct,seed,selected_edge_valid,stop_emitted,termination_correct,tool_calls
1,,0,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,1,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,2,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,3,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,4,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,5,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,6,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,7,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,8,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,9,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,10,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,11,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,12,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,13,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,14,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,15,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,16,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,17,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,18,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,19,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,20,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,21,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,22,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,23,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,24,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,25,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,26,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,27,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,28,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,29,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,30,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,31,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,32,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,33,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,34,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,35,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,36,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,37,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,38,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,39,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,40,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,41,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,42,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,43,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,44,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,45,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,46,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,47,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,48,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,49,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,50,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,51,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,52,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,53,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,54,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,55,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,56,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,57,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,58,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,59,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,60,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,61,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,62,1,0,M3,2,0,1.0,,1,11,1,,,1
1,,63,1,0,M3,2,0,1.0,,1,11,1,,,1
2,,0,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,1,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,2,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,3,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,4,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,5,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,6,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,7,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,8,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,9,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,10,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,11,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,12,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,13,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,14,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,15,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,16,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,17,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,18,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,19,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,20,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,21,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,22,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,23,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,24,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,25,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,26,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,27,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,28,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,29,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,30,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,31,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,32,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,33,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,34,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,35,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,36,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,37,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,38,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,39,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,40,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,41,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,42,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,43,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,44,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,45,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,46,1,0,M3,2,0,0.5,,1,11,1,,,1
2,,47,1,0,M3,2,0,0.5,,1,11,1,,,1
