head_count,loss,model_depth,model_seed,model_width,parameter_count,step,training_budget,training_steps
4,43.23920822143555,2,11,64,85504,1,4,1600
4,2.037266254425049,2,11,64,85504,50,4,1600
4,1.4331660270690918,2,11,64,85504,100,4,1600
4,1.4252617359161377,2,11,64,85504,150,4,1600
4,1.4738328456878662,2,11,64,85504,200,4,1600
4,1.3879077434539795,2,11,64,85504,250,4,1600
4,1.4429938793182373,2,11,64,85504,300,4,1600
4,1.5056040287017822,2,11,64,85504,350,4,1600
4,1.5293002128601074,2,11,64,85504,400,4,1600
4,1.5046805143356323,2,11,64,85504,450,4,1600
4,1.3568918704986572,2,11,64,85504,500,4,1600
4,1.049722671508789,2,11,64,85504,550,4,1600
4,0.9027585983276367,2,11,64,85504,600,4,1600
4,0.8234652876853943,2,11,64,85504,650,4,1600
4,0.515792727470398,2,11,64,85504,700,4,1600
4,0.619938850402832,2,11,64,85504,750,4,1600
4,0.25899678468704224,2,11,64,85504,800,4,1600
4,0.3792959153652191,2,11,64,85504,850,4,1600
4,0.32022345066070557,2,11,64,85504,900,4,1600
4,0.3827196955680847,2,11,64,85504,950,4,1600
4,0.37965136766433716,2,11,64,85504,1000,4,1600
4,0.1577131748199463,2,11,64,85504,1050,4,1600
4,0.3050927221775055,2,11,64,85504,1100,4,1600
4,0.2532714903354645,2,11,64,85504,1150,4,1600
4,0.13484933972358704,2,11,64,85504,1200,4,1600
4,0.27109071612358093,2,11,64,85504,1250,4,1600
4,0.24263042211532593,2,11,64,85504,1300,4,1600
4,0.30751848220825195,2,11,64,85504,1350,4,1600
4,0.1319451928138733,2,11,64,85504,1400,4,1600
4,0.2634430527687073,2,11,64,85504,1450,4,1600
4,0.3469880223274231,2,11,64,85504,1500,4,1600
4,0.20770977437496185,2,11,64,85504,1550,4,1600
4,0.3148067891597748,2,11,64,85504,1600,4,1600
4,38.83634948730469,2,23,64,85504,1,4,1600
4,1.4739177227020264,2,23,64,85504,50,4,1600
4,1.460619568824768,2,23,64,85504,100,4,1600
4,1.6664468050003052,2,23,64,85504,150,4,1600
4,1.4279699325561523,2,23,64,85504,200,4,1600
4,1.3587852716445923,2,23,64,85504,250,4,1600
4,1.3787143230438232,2,23,64,85504,300,4,1600
4,1.3944038152694702,2,23,64,85504,350,4,1600
4,1.4298962354660034,2,23,64,85504,400,4,1600
4,1.427710771560669,2,23,64,85504,450,4,1600
4,1.5125813484191895,2,23,64,85504,500,4,1600
4,1.3456075191497803,2,23,64,85504,550,4,1600
4,1.4253065586090088,2,23,64,85504,600,4,1600
4,1.4068968296051025,2,23,64,85504,650,4,1600
4,1.399536371231079,2,23,64,85504,700,4,1600
4,1.4169787168502808,2,23,64,85504,750,4,1600
4,1.3566151857376099,2,23,64,85504,800,4,1600
4,1.1094142198562622,2,23,64,85504,850,4,1600
4,0.8212506175041199,2,23,64,85504,900,4,1600
