frontier,head_count,maximum_competent_value,measured_values,model_depth,model_width,status,training_budget
pstar_max,4,2,7,2,64,estimated,4
n_max,4,24,8,2,64,estimated,4
k_max,4,32,6,2,64,estimated,4
s_max,4,32,5,2,64,estimated,4
pstar_max,4,2,7,8,32,estimated,4
n_max,4,24,8,8,32,estimated,4
k_max,4,32,6,8,32,estimated,4
s_max,4,32,5,8,32,estimated,4
