axis,axis_value,dependency_span,family_id,model_type,nuisance_count,predictive_order,raw_length,target_margin,top1_correct
length,2,1,"length:(3, 3):31",transformer,0,2,2,11.728026390075684,1
length,2,1,"length:(0, 3):32",transformer,0,2,2,12.00833511352539,1
length,2,1,"length:(0, 3):33",transformer,0,2,2,12.00833511352539,1
length,2,1,"length:(0, 0):34",transformer,0,2,2,14.216739654541016,1
length,2,1,"length:(3, 1):35",transformer,0,2,2,11.726792335510254,1
length,2,1,"length:(2, 2):36",transformer,0,2,2,12.679740905761719,1
length,2,1,"length:(1, 1):37",transformer,0,2,2,14.80136775970459,1
length,2,1,"length:(3, 1):38",transformer,0,2,2,11.726792335510254,1
length,2,1,"length:(2, 1):39",transformer,0,2,2,11.91709041595459,1
length,2,1,"length:(0, 3):40",transformer,0,2,2,12.00833511352539,1
length,2,1,"length:(0, 0):41",transformer,0,2,2,14.216739654541016,1
length,2,1,"length:(2, 1):42",transformer,0,2,2,11.91709041595459,1
length,2,1,"length:(0, 2):43",transformer,0,2,2,8.558893203735352,1
length,2,1,"length:(0, 0):44",transformer,0,2,2,14.216739654541016,1
length,2,1,"length:(0, 1):45",transformer,0,2,2,8.975894927978516,1
length,2,1,"length:(0, 2):46",transformer,0,2,2,8.558893203735352,1
length,2,1,"length:(3, 0):47",transformer,0,2,2,14.573493957519531,1
length,2,1,"length:(3, 1):48",transformer,0,2,2,11.726792335510254,1
length,2,1,"length:(2, 3):49",transformer,0,2,2,6.4889068603515625,1
length,2,1,"length:(2, 1):50",transformer,0,2,2,11.91709041595459,1
length,2,1,"length:(3, 3):51",transformer,0,2,2,11.728026390075684,1
length,2,1,"length:(3, 3):52",transformer,0,2,2,11.728026390075684,1
length,2,1,"length:(0, 3):53",transformer,0,2,2,12.00833511352539,1
length,2,1,"length:(3, 2):54",transformer,0,2,2,8.848716735839844,1
length,2,1,"length:(2, 1):55",transformer,0,2,2,11.91709041595459,1
length,2,1,"length:(0, 1):56",transformer,0,2,2,8.975894927978516,1
length,2,1,"length:(3, 3):57",transformer,0,2,2,11.728026390075684,1
length,2,1,"length:(2, 1):58",transformer,0,2,2,11.91709041595459,1
length,2,1,"length:(3, 2):59",transformer,0,2,2,8.848716735839844,1
length,2,1,"length:(3, 3):60",transformer,0,2,2,11.728026390075684,1
length,2,1,"length:(3, 1):61",transformer,0,2,2,11.726792335510254,1
length,2,1,"length:(1, 1):62",transformer,0,2,2,14.80136775970459,1
length,2,1,"length:(2, 3):63",transformer,0,2,2,6.4889068603515625,1
length,2,1,"length:(2, 1):64",transformer,0,2,2,11.91709041595459,1
length,2,1,"length:(2, 3):65",transformer,0,2,2,6.4889068603515625,1
length,2,1,"length:(1, 1):66",transformer,0,2,2,14.80136775970459,1
length,2,1,"length:(3, 3):67",transformer,0,2,2,11.728026390075684,1
length,2,1,"length:(3, 3):68",transformer,0,2,2,11.728026390075684,1
length,2,1,"length:(2, 2):69",transformer,0,2,2,12.679740905761719,1
length,2,1,"length:(0, 3):70",transformer,0,2,2,12.00833511352539,1
length,2,1,"length:(0, 0):71",transformer,0,2,2,14.216739654541016,1
length,2,1,"length:(3, 1):72",transformer,0,2,2,11.726792335510254,1
length,2,1,"length:(2, 2):73",transformer,0,2,2,12.679740905761719,1
length,2,1,"length:(1, 3):74",transformer,0,2,2,14.343629837036133,1
length,2,1,"length:(1, 0):75",transformer,0,2,2,9.127086639404297,1
length,2,1,"length:(0, 0):76",transformer,0,2,2,14.216739654541016,1
length,2,1,"length:(2, 1):77",transformer,0,2,2,11.91709041595459,1
length,2,1,"length:(3, 1):78",transformer,0,2,2,11.726792335510254,1
length,2,1,"length:(2, 0):79",transformer,0,2,2,8.995809555053711,1
length,2,1,"length:(0, 3):80",transformer,0,2,2,12.00833511352539,1
length,2,1,"length:(2, 2):81",transformer,0,2,2,12.679740905761719,1
length,2,1,"length:(0, 3):82",transformer,0,2,2,12.00833511352539,1
length,2,1,"length:(3, 3):83",transformer,0,2,2,11.728026390075684,1
length,2,1,"length:(2, 3):84",transformer,0,2,2,6.4889068603515625,1
length,2,1,"length:(2, 1):85",transformer,0,2,2,11.91709041595459,1
length,2,1,"length:(3, 3):86",transformer,0,2,2,11.728026390075684,1
length,2,1,"length:(3, 0):87",transformer,0,2,2,14.573493957519531,1
length,2,1,"length:(3, 2):88",transformer,0,2,2,8.848716735839844,1
length,2,1,"length:(0, 2):89",transformer,0,2,2,8.558893203735352,1
length,2,1,"length:(3, 3):90",transformer,0,2,2,11.728026390075684,1
length,2,1,"length:(0, 2):91",transformer,0,2,2,8.558893203735352,1
length,2,1,"length:(0, 1):92",transformer,0,2,2,8.975894927978516,1
length,2,1,"length:(3, 0):93",transformer,0,2,2,14.573493957519531,1
length,2,1,"length:(0, 1):94",transformer,0,2,2,8.975894927978516,1
length,2,1,"length:(1, 2):95",transformer,0,2,2,11.498771667480469,1
length,2,1,"length:(0, 0):96",transformer,0,2,2,14.216739654541016,1
length,2,1,"length:(1, 2):97",transformer,0,2,2,11.498771667480469,1
length,2,1,"length:(1, 0):98",transformer,0,2,2,9.127086639404297,1
length,2,1,"length:(2, 1):99",transformer,0,2,2,11.91709041595459,1
length,2,1,"length:(3, 2):100",transformer,0,2,2,8.848716735839844,1
length,2,1,"length:(0, 0):101",transformer,0,2,2,14.216739654541016,1
length,2,1,"length:(3, 3):102",transformer,0,2,2,11.728026390075684,1
length,2,1,"length:(2, 1):103",transformer,0,2,2,11.91709041595459,1
length,2,1,"length:(2, 1):104",transformer,0,2,2,11.91709041595459,1
length,2,1,"length:(0, 1):105",transformer,0,2,2,8.975894927978516,1
length,2,1,"length:(3, 1):106",transformer,0,2,2,11.726792335510254,1
length,2,1,"length:(3, 0):107",transformer,0,2,2,14.573493957519531,1
length,2,1,"length:(0, 3):108",transformer,0,2,2,12.00833511352539,1
length,2,1,"length:(3, 3):109",transformer,0,2,2,11.728026390075684,1
length,2,1,"length:(0, 2):110",transformer,0,2,2,8.558893203735352,1
length,2,1,"length:(2, 0):111",transformer,0,2,2,8.995809555053711,1
length,2,1,"length:(0, 3):112",transformer,0,2,2,12.00833511352539,1
length,2,1,"length:(0, 2):113",transformer,0,2,2,8.558893203735352,1
length,2,1,"length:(0, 2):114",transformer,0,2,2,8.558893203735352,1
length,2,1,"length:(2, 3):115",transformer,0,2,2,6.4889068603515625,1
length,2,1,"length:(3, 1):116",transformer,0,2,2,11.726792335510254,1
length,2,1,"length:(3, 1):117",transformer,0,2,2,11.726792335510254,1
length,2,1,"length:(3, 1):118",transformer,0,2,2,11.726792335510254,1
length,2,1,"length:(0, 3):119",transformer,0,2,2,12.00833511352539,1
length,2,1,"length:(1, 1):120",transformer,0,2,2,14.80136775970459,1
length,2,1,"length:(2, 0):121",transformer,0,2,2,8.995809555053711,1
length,2,1,"length:(2, 3):122",transformer,0,2,2,6.4889068603515625,1
length,2,1,"length:(0, 1):123",transformer,0,2,2,8.975894927978516,1
length,2,1,"length:(3, 2):124",transformer,0,2,2,8.848716735839844,1
length,2,1,"length:(0, 1):125",transformer,0,2,2,8.975894927978516,1
length,2,1,"length:(2, 1):126",transformer,0,2,2,11.91709041595459,1
length,2,1,"length:(2, 3):127",transformer,0,2,2,6.4889068603515625,1
length,4,1,"length:(2, 2):0",transformer,0,2,4,14.81905746459961,1
length,4,1,"length:(2, 0):1",transformer,0,2,4,6.12005615234375,1
length,4,1,"length:(0, 2):2",transformer,0,2,4,4.057397842407227,1
length,4,1,"length:(1, 3):3",transformer,0,2,4,13.468753814697266,1
length,4,1,"length:(3, 0):4",transformer,0,2,4,13.528022766113281,1
length,4,1,"length:(0, 2):5",transformer,0,2,4,4.057397842407227,1
length,4,1,"length:(1, 3):6",transformer,0,2,4,13.468753814697266,1
length,4,1,"length:(0, 3):7",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(1, 3):8",transformer,0,2,4,13.468753814697266,1
length,4,1,"length:(1, 1):9",transformer,0,2,4,13.8583345413208,1
length,4,1,"length:(1, 3):10",transformer,0,2,4,13.468753814697266,1
length,4,1,"length:(3, 0):11",transformer,0,2,4,13.528022766113281,1
length,4,1,"length:(3, 0):12",transformer,0,2,4,13.528022766113281,1
length,4,1,"length:(3, 0):13",transformer,0,2,4,13.528022766113281,1
length,4,1,"length:(1, 3):14",transformer,0,2,4,13.468753814697266,1
length,4,1,"length:(1, 0):15",transformer,0,2,4,10.059732437133789,1
length,4,1,"length:(0, 3):16",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(0, 0):17",transformer,0,2,4,16.102914810180664,1
length,4,1,"length:(0, 3):18",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(1, 1):19",transformer,0,2,4,13.8583345413208,1
length,4,1,"length:(1, 3):20",transformer,0,2,4,13.468753814697266,1
length,4,1,"length:(2, 3):21",transformer,0,2,4,5.789499282836914,1
length,4,1,"length:(1, 1):22",transformer,0,2,4,13.8583345413208,1
length,4,1,"length:(1, 3):23",transformer,0,2,4,13.468753814697266,1
length,4,1,"length:(3, 0):24",transformer,0,2,4,13.528022766113281,1
length,4,1,"length:(2, 2):25",transformer,0,2,4,14.81905746459961,1
length,4,1,"length:(3, 3):26",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(1, 1):27",transformer,0,2,4,13.8583345413208,1
length,4,1,"length:(0, 2):28",transformer,0,2,4,4.057397842407227,1
length,4,1,"length:(2, 3):29",transformer,0,2,4,5.789499282836914,1
length,4,1,"length:(1, 2):30",transformer,0,2,4,10.297476768493652,1
length,4,1,"length:(3, 3):31",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(0, 3):32",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(0, 3):33",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(0, 0):34",transformer,0,2,4,16.102914810180664,1
length,4,1,"length:(3, 1):35",transformer,0,2,4,12.450789451599121,1
length,4,1,"length:(2, 2):36",transformer,0,2,4,14.81905746459961,1
length,4,1,"length:(1, 1):37",transformer,0,2,4,13.8583345413208,1
length,4,1,"length:(3, 1):38",transformer,0,2,4,12.450789451599121,1
length,4,1,"length:(2, 1):39",transformer,0,2,4,9.141653060913086,1
length,4,1,"length:(0, 3):40",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(0, 0):41",transformer,0,2,4,16.102914810180664,1
length,4,1,"length:(2, 1):42",transformer,0,2,4,9.141653060913086,1
length,4,1,"length:(0, 2):43",transformer,0,2,4,4.057397842407227,1
length,4,1,"length:(0, 0):44",transformer,0,2,4,16.102914810180664,1
length,4,1,"length:(0, 1):45",transformer,0,2,4,7.86939811706543,1
length,4,1,"length:(0, 2):46",transformer,0,2,4,4.057397842407227,1
length,4,1,"length:(3, 0):47",transformer,0,2,4,13.528022766113281,1
length,4,1,"length:(3, 1):48",transformer,0,2,4,12.450789451599121,1
length,4,1,"length:(2, 3):49",transformer,0,2,4,5.789499282836914,1
length,4,1,"length:(2, 1):50",transformer,0,2,4,9.141653060913086,1
length,4,1,"length:(3, 3):51",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(3, 3):52",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(0, 3):53",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(3, 2):54",transformer,0,2,4,11.583038330078125,1
length,4,1,"length:(2, 1):55",transformer,0,2,4,9.141653060913086,1
length,4,1,"length:(0, 1):56",transformer,0,2,4,7.86939811706543,1
length,4,1,"length:(3, 3):57",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(2, 1):58",transformer,0,2,4,9.141653060913086,1
length,4,1,"length:(3, 2):59",transformer,0,2,4,11.583038330078125,1
length,4,1,"length:(3, 3):60",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(3, 1):61",transformer,0,2,4,12.450789451599121,1
length,4,1,"length:(1, 1):62",transformer,0,2,4,13.8583345413208,1
length,4,1,"length:(2, 3):63",transformer,0,2,4,5.789499282836914,1
length,4,1,"length:(2, 1):64",transformer,0,2,4,9.141653060913086,1
length,4,1,"length:(2, 3):65",transformer,0,2,4,5.789499282836914,1
