axis,axis_value,computation_index,family_id,hidden_norm,hidden_pair_distance,model_type,target_margin,top1_correct
length,4,1,"length:(2, 2):0",,,transformer,-9.40457534790039,0
length,4,2,"length:(2, 2):0",,,transformer,0.9293680191040039,1
length,4,3,"length:(2, 2):0",,,transformer,12.375933647155762,1
length,4,4,"length:(2, 2):0",,,transformer,14.81905746459961,1
length,4,0,"length:(2, 0):1",,,transformer,-22.153284072875977,0
length,4,1,"length:(2, 0):1",,,transformer,-9.604816436767578,0
length,4,2,"length:(2, 0):1",,,transformer,-8.664738655090332,0
length,4,3,"length:(2, 0):1",,,transformer,9.251470565795898,1
length,4,4,"length:(2, 0):1",,,transformer,6.120054244995117,1
length,4,0,"length:(0, 2):2",,,transformer,-22.153284072875977,0
length,4,1,"length:(0, 2):2",,,transformer,-16.723445892333984,0
length,4,2,"length:(0, 2):2",,,transformer,5.1195831298828125,1
length,4,3,"length:(0, 2):2",,,transformer,9.3322172164917,1
length,4,4,"length:(0, 2):2",,,transformer,4.057397842407227,1
length,4,0,"length:(1, 3):3",,,transformer,-25.306743621826172,0
length,4,1,"length:(1, 3):3",,,transformer,-4.800804138183594,0
length,4,2,"length:(1, 3):3",,,transformer,6.376531600952148,1
length,4,3,"length:(1, 3):3",,,transformer,15.708610534667969,1
length,4,4,"length:(1, 3):3",,,transformer,13.468753814697266,1
length,4,0,"length:(3, 0):4",,,transformer,-23.88418960571289,0
length,4,1,"length:(3, 0):4",,,transformer,-16.51837158203125,0
length,4,2,"length:(3, 0):4",,,transformer,1.1918115615844727,1
length,4,3,"length:(3, 0):4",,,transformer,8.25741958618164,1
length,4,4,"length:(3, 0):4",,,transformer,13.528022766113281,1
length,4,0,"length:(0, 2):5",,,transformer,-22.153284072875977,0
length,4,1,"length:(0, 2):5",,,transformer,-16.723445892333984,0
length,4,2,"length:(0, 2):5",,,transformer,5.1195831298828125,1
length,4,3,"length:(0, 2):5",,,transformer,9.3322172164917,1
length,4,4,"length:(0, 2):5",,,transformer,4.057397842407227,1
length,4,0,"length:(1, 3):6",,,transformer,-25.306743621826172,0
length,4,1,"length:(1, 3):6",,,transformer,-4.800804138183594,0
length,4,2,"length:(1, 3):6",,,transformer,6.376531600952148,1
length,4,3,"length:(1, 3):6",,,transformer,15.708610534667969,1
length,4,4,"length:(1, 3):6",,,transformer,13.468753814697266,1
length,4,0,"length:(0, 3):7",,,transformer,-23.88418960571289,0
length,4,1,"length:(0, 3):7",,,transformer,-7.7274909019470215,0
length,4,2,"length:(0, 3):7",,,transformer,12.548032760620117,1
length,4,3,"length:(0, 3):7",,,transformer,8.055959701538086,1
length,4,4,"length:(0, 3):7",,,transformer,6.032934188842773,1
length,4,0,"length:(1, 3):8",,,transformer,-25.306743621826172,0
length,4,1,"length:(1, 3):8",,,transformer,-4.800804138183594,0
length,4,2,"length:(1, 3):8",,,transformer,6.376531600952148,1
length,4,3,"length:(1, 3):8",,,transformer,15.708610534667969,1
length,4,4,"length:(1, 3):8",,,transformer,13.468753814697266,1
length,4,0,"length:(1, 1):9",,,transformer,-22.153284072875977,0
length,4,1,"length:(1, 1):9",,,transformer,-3.2082862854003906,0
length,4,2,"length:(1, 1):9",,,transformer,-0.10753726959228516,0
length,4,3,"length:(1, 1):9",,,transformer,11.844162940979004,1
length,4,4,"length:(1, 1):9",,,transformer,13.8583345413208,1
length,4,0,"length:(1, 3):10",,,transformer,-25.306743621826172,0
length,4,1,"length:(1, 3):10",,,transformer,-4.800804138183594,0
length,4,2,"length:(1, 3):10",,,transformer,6.376531600952148,1
length,4,3,"length:(1, 3):10",,,transformer,15.708610534667969,1
length,4,4,"length:(1, 3):10",,,transformer,13.468753814697266,1
length,4,0,"length:(3, 0):11",,,transformer,-23.88418960571289,0
length,4,1,"length:(3, 0):11",,,transformer,-16.51837158203125,0
length,4,2,"length:(3, 0):11",,,transformer,1.1918115615844727,1
length,4,3,"length:(3, 0):11",,,transformer,8.25741958618164,1
length,4,4,"length:(3, 0):11",,,transformer,13.528022766113281,1
length,4,0,"length:(3, 0):12",,,transformer,-23.88418960571289,0
length,4,1,"length:(3, 0):12",,,transformer,-16.51837158203125,0
length,4,2,"length:(3, 0):12",,,transformer,1.1918115615844727,1
length,4,3,"length:(3, 0):12",,,transformer,8.25741958618164,1
length,4,4,"length:(3, 0):12",,,transformer,13.528022766113281,1
length,4,0,"length:(3, 0):13",,,transformer,-23.88418960571289,0
length,4,1,"length:(3, 0):13",,,transformer,-16.51837158203125,0
length,4,2,"length:(3, 0):13",,,transformer,1.1918115615844727,1
length,4,3,"length:(3, 0):13",,,transformer,8.25741958618164,1
length,4,4,"length:(3, 0):13",,,transformer,13.528022766113281,1
length,4,0,"length:(1, 3):14",,,transformer,-25.306743621826172,0
length,4,1,"length:(1, 3):14",,,transformer,-4.800804138183594,0
length,4,2,"length:(1, 3):14",,,transformer,6.376531600952148,1
length,4,3,"length:(1, 3):14",,,transformer,15.708610534667969,1
length,4,4,"length:(1, 3):14",,,transformer,13.468753814697266,1
length,4,0,"length:(1, 0):15",,,transformer,-24.259206771850586,0
length,4,1,"length:(1, 0):15",,,transformer,-10.232946395874023,0
length,4,2,"length:(1, 0):15",,,transformer,3.5434036254882812,1
length,4,3,"length:(1, 0):15",,,transformer,11.90725040435791,1
length,4,4,"length:(1, 0):15",,,transformer,10.059732437133789,1
length,8,0,"length:(2, 2):0",,,transformer,-25.306743621826172,0
length,8,1,"length:(2, 2):0",,,transformer,-14.862241744995117,0
length,8,2,"length:(2, 2):0",,,transformer,-11.37043571472168,0
length,8,3,"length:(2, 2):0",,,transformer,3.309685707092285,1
length,8,4,"length:(2, 2):0",,,transformer,14.604180335998535,1
length,8,0,"length:(2, 0):1",,,transformer,-22.153284072875977,0
length,8,1,"length:(2, 0):1",,,transformer,-13.932295799255371,0
length,8,2,"length:(2, 0):1",,,transformer,-11.361576080322266,0
length,8,3,"length:(2, 0):1",,,transformer,5.057931900024414,1
length,8,4,"length:(2, 0):1",,,transformer,8.478178024291992,1
length,8,0,"length:(0, 2):2",,,transformer,-22.153284072875977,0
length,8,1,"length:(0, 2):2",,,transformer,-14.75349235534668,0
length,8,2,"length:(0, 2):2",,,transformer,6.057883262634277,1
length,8,3,"length:(0, 2):2",,,transformer,10.32896900177002,1
length,8,4,"length:(0, 2):2",,,transformer,5.155251502990723,1
length,8,0,"length:(1, 3):3",,,transformer,-25.306743621826172,0
length,8,1,"length:(1, 3):3",,,transformer,-11.612797737121582,0
length,8,2,"length:(1, 3):3",,,transformer,-1.0158271789550781,0
length,8,3,"length:(1, 3):3",,,transformer,12.302288055419922,1
length,8,4,"length:(1, 3):3",,,transformer,12.939628601074219,1
length,8,0,"length:(3, 0):4",,,transformer,-23.88418960571289,0
length,8,1,"length:(3, 0):4",,,transformer,-18.084917068481445,0
length,8,2,"length:(3, 0):4",,,transformer,2.1952104568481445,1
length,8,3,"length:(3, 0):4",,,transformer,9.556557655334473,1
length,8,4,"length:(3, 0):4",,,transformer,13.107444763183594,1
length,8,0,"length:(0, 2):5",,,transformer,-22.153284072875977,0
length,8,1,"length:(0, 2):5",,,transformer,-14.75349235534668,0
length,8,2,"length:(0, 2):5",,,transformer,6.057883262634277,1
length,8,3,"length:(0, 2):5",,,transformer,10.32896900177002,1
length,8,4,"length:(0, 2):5",,,transformer,5.155251502990723,1
length,8,0,"length:(1, 3):6",,,transformer,-25.306743621826172,0
length,8,1,"length:(1, 3):6",,,transformer,-11.612797737121582,0
length,8,2,"length:(1, 3):6",,,transformer,-1.0158271789550781,0
length,8,3,"length:(1, 3):6",,,transformer,12.302288055419922,1
length,8,4,"length:(1, 3):6",,,transformer,12.939628601074219,1
length,8,0,"length:(0, 3):7",,,transformer,-23.88418960571289,0
length,8,1,"length:(0, 3):7",,,transformer,-12.655497550964355,0
length,8,2,"length:(0, 3):7",,,transformer,12.051050186157227,1
length,8,3,"length:(0, 3):7",,,transformer,10.663444519042969,1
length,8,4,"length:(0, 3):7",,,transformer,7.829458236694336,1
length,8,0,"length:(1, 3):8",,,transformer,-25.306743621826172,0
length,8,1,"length:(1, 3):8",,,transformer,-11.612797737121582,0
length,8,2,"length:(1, 3):8",,,transformer,-1.0158271789550781,0
length,8,3,"length:(1, 3):8",,,transformer,12.302288055419922,1
length,8,4,"length:(1, 3):8",,,transformer,12.939628601074219,1
length,8,0,"length:(1, 1):9",,,transformer,-22.153284072875977,0
length,8,1,"length:(1, 1):9",,,transformer,-7.8663177490234375,0
length,8,2,"length:(1, 1):9",,,transformer,-8.309867858886719,0
length,8,3,"length:(1, 1):9",,,transformer,7.169473648071289,1
length,8,4,"length:(1, 1):9",,,transformer,9.21438217163086,1
length,8,0,"length:(1, 3):10",,,transformer,-25.306743621826172,0
length,8,1,"length:(1, 3):10",,,transformer,-11.612797737121582,0
length,8,2,"length:(1, 3):10",,,transformer,-1.0158271789550781,0
length,8,3,"length:(1, 3):10",,,transformer,12.302288055419922,1
length,8,4,"length:(1, 3):10",,,transformer,12.939628601074219,1
length,8,0,"length:(3, 0):11",,,transformer,-23.88418960571289,0
length,8,1,"length:(3, 0):11",,,transformer,-18.084917068481445,0
length,8,2,"length:(3, 0):11",,,transformer,2.1952104568481445,1
length,8,3,"length:(3, 0):11",,,transformer,9.556557655334473,1
length,8,4,"length:(3, 0):11",,,transformer,13.107444763183594,1
length,8,0,"length:(3, 0):12",,,transformer,-23.88418960571289,0
length,8,1,"length:(3, 0):12",,,transformer,-18.084917068481445,0
length,8,2,"length:(3, 0):12",,,transformer,2.1952104568481445,1
length,8,3,"length:(3, 0):12",,,transformer,9.556557655334473,1
length,8,4,"length:(3, 0):12",,,transformer,13.107444763183594,1
length,8,0,"length:(3, 0):13",,,transformer,-23.88418960571289,0
length,8,1,"length:(3, 0):13",,,transformer,-18.084917068481445,0
length,8,2,"length:(3, 0):13",,,transformer,2.1952104568481445,1
length,8,3,"length:(3, 0):13",,,transformer,9.556557655334473,1
length,8,4,"length:(3, 0):13",,,transformer,13.107444763183594,1
length,8,0,"length:(1, 3):14",,,transformer,-25.306743621826172,0
length,8,1,"length:(1, 3):14",,,transformer,-11.612797737121582,0
length,8,2,"length:(1, 3):14",,,transformer,-1.0158271789550781,0
length,8,3,"length:(1, 3):14",,,transformer,12.302288055419922,1
length,8,4,"length:(1, 3):14",,,transformer,12.939628601074219,1
length,8,0,"length:(1, 0):15",,,transformer,-24.259206771850586,0
length,8,1,"length:(1, 0):15",,,transformer,-10.16417121887207,0
length,8,2,"length:(1, 0):15",,,transformer,-0.41384124755859375,0
length,8,3,"length:(1, 0):15",,,transformer,9.270769119262695,1
length,8,4,"length:(1, 0):15",,,transformer,6.617267608642578,1
length,16,0,"length:(2, 2):0",,,transformer,-25.306743621826172,0
length,16,1,"length:(2, 2):0",,,transformer,-12.610836029052734,0
length,16,2,"length:(2, 2):0",,,transformer,-9.684118270874023,0
length,16,3,"length:(2, 2):0",,,transformer,0.836456298828125,1
length,16,4,"length:(2, 2):0",,,transformer,12.571738243103027,1
length,16,0,"length:(2, 0):1",,,transformer,-22.153284072875977,0
length,16,1,"length:(2, 0):1",,,transformer,-13.223257064819336,0
length,16,2,"length:(2, 0):1",,,transformer,-10.036104202270508,0
length,16,3,"length:(2, 0):1",,,transformer,4.433884620666504,1
length,16,4,"length:(2, 0):1",,,transformer,15.394211769104004,1
length,16,0,"length:(0, 2):2",,,transformer,-22.153284072875977,0
length,16,1,"length:(0, 2):2",,,transformer,-19.312307357788086,0
length,16,2,"length:(0, 2):2",,,transformer,-5.166227340698242,0
length,16,3,"length:(0, 2):2",,,transformer,10.010183334350586,1
length,16,4,"length:(0, 2):2",,,transformer,14.50724983215332,1
length,16,0,"length:(1, 3):3",,,transformer,-25.306743621826172,0
length,16,1,"length:(1, 3):3",,,transformer,-9.041305541992188,0
length,16,2,"length:(1, 3):3",,,transformer,-0.7566614151000977,0
length,16,3,"length:(1, 3):3",,,transformer,8.207756042480469,1
length,16,4,"length:(1, 3):3",,,transformer,16.242658615112305,1
length,16,0,"length:(3, 0):4",,,transformer,-23.88418960571289,0
length,16,1,"length:(3, 0):4",,,transformer,-18.195499420166016,0
length,16,2,"length:(3, 0):4",,,transformer,0.518498420715332,1
length,16,3,"length:(3, 0):4",,,transformer,8.377842903137207,1
length,16,4,"length:(3, 0):4",,,transformer,13.759720802307129,1
length,16,0,"length:(0, 2):5",,,transformer,-22.153284072875977,0
length,16,1,"length:(0, 2):5",,,transformer,-19.312307357788086,0
length,16,2,"length:(0, 2):5",,,transformer,-5.166227340698242,0
length,16,3,"length:(0, 2):5",,,transformer,10.010183334350586,1
length,16,4,"length:(0, 2):5",,,transformer,14.50724983215332,1
length,16,0,"length:(1, 3):6",,,transformer,-25.306743621826172,0
length,16,1,"length:(1, 3):6",,,transformer,-9.041305541992188,0
length,16,2,"length:(1, 3):6",,,transformer,-0.7566614151000977,0
length,16,3,"length:(1, 3):6",,,transformer,8.207756042480469,1
length,16,4,"length:(1, 3):6",,,transformer,16.242658615112305,1
length,16,0,"length:(0, 3):7",,,transformer,-23.88418960571289,0
length,16,1,"length:(0, 3):7",,,transformer,-9.75562572479248,0
length,16,2,"length:(0, 3):7",,,transformer,9.692326545715332,1
length,16,3,"length:(0, 3):7",,,transformer,13.940332412719727,1
length,16,4,"length:(0, 3):7",,,transformer,10.726056098937988,1
length,16,0,"length:(1, 3):8",,,transformer,-25.306743621826172,0
length,16,1,"length:(1, 3):8",,,transformer,-9.041305541992188,0
length,16,2,"length:(1, 3):8",,,transformer,-0.7566614151000977,0
length,16,3,"length:(1, 3):8",,,transformer,8.207756042480469,1
length,16,4,"length:(1, 3):8",,,transformer,16.242658615112305,1
length,16,0,"length:(1, 1):9",,,transformer,-22.153284072875977,0
length,16,1,"length:(1, 1):9",,,transformer,-6.365013122558594,0
length,16,2,"length:(1, 1):9",,,transformer,-7.067022800445557,0
length,16,3,"length:(1, 1):9",,,transformer,4.627790451049805,1
length,16,4,"length:(1, 1):9",,,transformer,13.82846736907959,1
length,16,0,"length:(1, 3):10",,,transformer,-25.306743621826172,0
length,16,1,"length:(1, 3):10",,,transformer,-9.041305541992188,0
length,16,2,"length:(1, 3):10",,,transformer,-0.7566614151000977,0
length,16,3,"length:(1, 3):10",,,transformer,8.207756042480469,1
length,16,4,"length:(1, 3):10",,,transformer,16.242658615112305,1
length,16,0,"length:(3, 0):11",,,transformer,-23.88418960571289,0
length,16,1,"length:(3, 0):11",,,transformer,-18.195499420166016,0
length,16,2,"length:(3, 0):11",,,transformer,0.518498420715332,1
length,16,3,"length:(3, 0):11",,,transformer,8.377842903137207,1
length,16,4,"length:(3, 0):11",,,transformer,13.759720802307129,1
length,16,0,"length:(3, 0):12",,,transformer,-23.88418960571289,0
length,16,1,"length:(3, 0):12",,,transformer,-18.195499420166016,0
length,16,2,"length:(3, 0):12",,,transformer,0.518498420715332,1
length,16,3,"length:(3, 0):12",,,transformer,8.377842903137207,1
length,16,4,"length:(3, 0):12",,,transformer,13.759720802307129,1
length,16,0,"length:(3, 0):13",,,transformer,-23.88418960571289,0
length,16,1,"length:(3, 0):13",,,transformer,-18.195499420166016,0
length,16,2,"length:(3, 0):13",,,transformer,0.518498420715332,1
length,16,3,"length:(3, 0):13",,,transformer,8.377842903137207,1
length,16,4,"length:(3, 0):13",,,transformer,13.759720802307129,1
length,16,0,"length:(1, 3):14",,,transformer,-25.306743621826172,0
length,16,1,"length:(1, 3):14",,,transformer,-9.041305541992188,0
length,16,2,"length:(1, 3):14",,,transformer,-0.7566614151000977,0
length,16,3,"length:(1, 3):14",,,transformer,8.207756042480469,1
length,16,4,"length:(1, 3):14",,,transformer,16.242658615112305,1
length,16,0,"length:(1, 0):15",,,transformer,-24.259206771850586,0
length,16,1,"length:(1, 0):15",,,transformer,-14.35588264465332,0
