loss,step
19.57820701599121,1
0.5062190890312195,50
0.37496131658554077,100
0.42956411838531494,150
0.21267281472682953,200
0.5065110921859741,250
0.35353991389274597,300
0.19678285717964172,350
0.20725145936012268,400
0.02268487773835659,450
0.06746959686279297,500
0.006965978536754847,550
0.10503984242677689,600
0.06315025687217712,650
0.005245489533990622,700
0.0008670453680679202,750
6.287908763624728e-05,800
0.0014094958314672112,850
0.00020131829660385847,900
9.927977225743234e-05,950
8.422685641562566e-05,1000
5.2032417443115264e-05,1050
2.828327524184715e-05,1100
5.287108797347173e-05,1150
5.440230233944021e-05,1200
3.134351209155284e-05,1250
4.6499044401571155e-05,1300
3.221047518309206e-05,1350
2.2140195142128505e-05,1400
2.379317083978094e-05,1450
1.4487332919088658e-05,1500
2.9910399462096393e-05,1550
3.59771256626118e-05,1600
