budget_tokens,ci_high,ci_low,condition,dataset,mean_answer_logprob_delta,n_examples,ties,wins
64,1.5485524396722514,-0.31030047284439205,bridge_preserving,hotpotqa,0.5660089241961638,24,3,14
64,0.0830005514745911,-1.5130765971417228,combined_structural,hotpotqa,-0.6507048023243746,24,2,10
128,1.9370780929612614,0.2711537157185376,bridge_preserving,hotpotqa,0.9673197430868944,24,7,12
128,0.08036484932526936,-1.1466567172668873,combined_structural,hotpotqa,-0.48653554047147435,24,2,8
192,0.6282183858333155,-0.21412165421837318,bridge_preserving,hotpotqa,0.1640729537854592,24,5,8
192,0.21977089916666334,-0.6877146764580782,combined_structural,hotpotqa,-0.22702489513903856,24,0,9
64,0.4207105321188767,-0.3703284541765849,bridge_preserving,qasper,0.06872270504633586,24,7,13
64,0.44354754375914723,-0.7950804923971494,combined_structural,qasper,-0.13438457498947778,24,5,10
128,0.0496801683058341,-0.31473963043342035,bridge_preserving,qasper,-0.12206552177667618,24,13,6
128,0.24263947531580898,-0.8028724890202283,combined_structural,qasper,-0.25485821813344955,24,5,9
192,0.15083711855113494,-0.25045643498500186,bridge_preserving,qasper,-0.0509189118941625,24,11,6
192,0.1654044502104322,-0.510563155884544,combined_structural,qasper,-0.1751429463426272,24,3,8
