answer_logprob,answer_token_accuracy,budget_chunks,budget_tokens,budget_violation,complete_evidence,condition,dataset,end_to_end_time_ns,evidence_recall,example_id,identity_id,materialization_time_ns,materialized_kv_bytes,materialized_tokens,peak_device_bytes,pid,selection_time_ns
-1.5549232959747314,0.6666666865348816,6,192,0,0.0,community,hotpotqa,4793019174,0.5,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,3174650816,22020096,192,3409592320,89536,68678
-2.0969252586364746,0.6666666865348816,6,192,0,0.0,bridge_preserving,hotpotqa,2541922586,0.75,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,1315032567,22020096,192,3409592320,89536,56547
-4.155824184417725,0.0,6,192,0,0.0,combined_structural,hotpotqa,2539059296,0.0,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,1311083200,22020096,192,3409592320,89536,85672
-1.6277278661727905,0.6666666865348816,6,192,0,1.0,oracle_evidence,hotpotqa,2548305155,1.0,hotpotqa-5a7244955542990c210a408a,5a7244955542990c210a408a,1318917634,22020096,192,3409592320,89536,69270
-1.4822415113449097,0.4000000059604645,2,64,0,0.0,base_topk,hotpotqa,3635493850,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552572853,7340032,64,3413901312,89536,50247
-1.4822415113449097,0.4000000059604645,2,64,0,0.0,budget_tuned_topk,hotpotqa,3635493850,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552572853,7340032,64,3413901312,89536,38405
-1.4822415113449097,0.4000000059604645,2,64,0,0.0,power_sharpen,hotpotqa,3635493850,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552572853,7340032,64,3413901312,89536,40077
-1.4822415113449097,0.4000000059604645,2,64,0,0.0,entropy_adaptive_sharpen,hotpotqa,3635493850,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552572853,7340032,64,3413901312,89536,73896
-1.7659672498703003,0.4000000059604645,2,64,0,0.0,persistence,hotpotqa,1735554949,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,572410663,7340032,64,3413946368,89536,14682
-1.4822415113449097,0.4000000059604645,2,64,0,0.0,agreement,hotpotqa,3635493850,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552572853,7340032,64,3413901312,89536,54740
-1.926979422569275,0.20000000298023224,2,64,0,0.0,community,hotpotqa,1714815465,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552533200,7340032,64,3413946368,89536,23382
-1.4822415113449097,0.4000000059604645,2,64,0,0.0,bridge_preserving,hotpotqa,3635493850,0.5,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,552572853,7340032,64,3413901312,89536,91239
-0.8393260836601257,0.6000000238418579,2,64,0,1.0,combined_structural,hotpotqa,1714349377,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,553971808,7340032,64,3413946368,89536,88219
-0.8393260836601257,0.6000000238418579,2,64,0,1.0,oracle_evidence,hotpotqa,1714349377,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,553971808,7340032,64,3413946368,89536,50357
-0.9110601544380188,0.800000011920929,4,128,0,1.0,base_topk,hotpotqa,2669960067,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,980431676,14680064,128,3413962752,89536,17179
-0.9110601544380188,0.800000011920929,4,128,0,1.0,budget_tuned_topk,hotpotqa,2669960067,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,980431676,14680064,128,3413962752,89536,63428
-0.9110601544380188,0.800000011920929,4,128,0,1.0,power_sharpen,hotpotqa,2669960067,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,980431676,14680064,128,3413962752,89536,72606
-0.9110601544380188,0.800000011920929,4,128,0,1.0,entropy_adaptive_sharpen,hotpotqa,2669960067,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,980431676,14680064,128,3413962752,89536,136103
