abstraction_level,angular_concentration,between_cosine_distance,common_energy_fraction,component,effective_rank,family,layer,model_setting,n,natural,parent_id,seed,within_cosine_distance
parent,0.7959001054138467,0.8999291515630005,0.6320948473511658,ff,1.6842332529842265,relation,1,tiny-w32-l2-h2,6,True,natural:relation:spatial,11,0.4386917988757234
root,0.8836164162545357,0.8168851951459843,0.7681514669200659,ff,1.700705719181218,relation,1,tiny-w32-l2-h2,6,True,natural:relation:social,11,0.2625252567020754
root,0.864637869866436,0.8754246956289893,0.7438699899539959,ff,1.557392330668135,relation,1,tiny-w32-l2-h2,6,True,natural:relation:spatial,11,0.30242261227081213
parent,0.8139646278613205,0.9698937459187994,0.6527943423676217,sa,2.156751465235338,action,1,tiny-w32-l2-h2,6,False,synthetic:action:p0,11,0.4046497680330263
parent,0.8893238433446555,0.9577689946951593,0.7811789554094191,sa,2.2269065332776123,action,1,tiny-w32-l2-h2,6,False,synthetic:action:p1,11,0.2502628215834993
root,0.7609335267799134,0.9470682637147075,0.5440481142731783,sa,2.1927888834053157,action,1,tiny-w32-l2-h2,6,False,synthetic:action:p0,11,0.503230590959977
root,0.8796606909790592,0.9583315709862116,0.745025687123106,sa,2.0693874454082977,action,1,tiny-w32-l2-h2,6,False,synthetic:action:p1,11,0.2644439386453799
parent,0.8504406206843081,0.9292243432319645,0.708832507103847,sa,2.1123535027420988,action,1,tiny-w32-l2-h2,6,True,natural:action:communication,11,0.33052047958121306
parent,0.7259526149529264,0.9887165593288274,0.5191036279557744,sa,2.693574274169711,action,1,tiny-w32-l2-h2,6,True,natural:action:movement,11,0.5662349160573505
root,0.8753332929789829,0.9375539068709361,0.7288577457987543,sa,2.1225554735211474,action,1,tiny-w32-l2-h2,6,True,natural:action:communication,11,0.2783743466103006
root,0.8342700173042443,0.9595901399574489,0.6994442108850111,sa,2.5228998614519735,action,1,tiny-w32-l2-h2,6,True,natural:action:movement,11,0.36074329587348114
parent,0.849136661774879,0.9571716995082313,0.7093073666075849,sa,1.7733971457882154,noun,1,tiny-w32-l2-h2,6,False,synthetic:noun:p0,11,0.33467538163916155
parent,0.8706840478622236,0.9367277374424523,0.7476045951930244,sa,1.9136278870277457,noun,1,tiny-w32-l2-h2,6,False,synthetic:noun:p1,11,0.2888791470305305
root,0.8388674465899021,0.9331871106224053,0.6936656677483355,sa,2.213015430008146,noun,1,tiny-w32-l2-h2,6,False,synthetic:noun:p0,11,0.35537485581072553
root,0.8761405168611228,0.9282276252476193,0.7559137129989688,sa,2.6021947442364612,noun,1,tiny-w32-l2-h2,6,False,synthetic:noun:p1,11,0.2772282625721064
parent,0.8520454752753516,0.9371936918222884,0.7261523207548789,sa,2.253650654778533,noun,1,tiny-w32-l2-h2,6,True,natural:noun:bird,11,0.32760300911302964
