abstraction_level,between_parent_dispersion,cross_template_cosine,effective_rank,family,hierarchy_rsa_spearman,layer,location,model_setting,n_items,natural,normalized_separation,permuted_neighbor_recovery,seed,tree_neighbor_recovery,within_parent_dispersion
parent,0.3158342474001319,0.9803466496230534,2.295946990768965,noun,-0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,True,-0.08869007550838715,0.75,23,0.0,0.3438456106501842
root,0.4268020164179272,0.9529302230453554,2.2880802289566455,noun,-0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,True,-0.03273149774577079,0.5,23,0.0,0.440771885656201
parent,0.34046685064759874,0.9921700242033896,2.7673868511401007,relation,0.6210590034081188,0,post_block,tiny-w32-l2-h2,4,False,0.1752043350486105,0.25,23,0.75,0.2808155824737916
root,0.40688313502718987,0.9790890732649142,2.554793136604571,relation,0.8280786712108251,0,post_block,tiny-w32-l2-h2,4,False,0.3178152679533271,0.0,23,1.0,0.27756946244283376
parent,0.463351250486865,0.9909414386084935,2.5420022017048036,relation,0.0,0,post_block,tiny-w32-l2-h2,4,True,0.18207566461359284,0.0,23,0.5,0.3789862636049297
root,0.4520856332223254,0.986922021334007,2.518739631851512,relation,0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,True,0.18142623731064214,0.0,23,0.5,0.3700654378445999
parent,0.3016292944229477,0.9979368835957726,2.6435111632631787,action,-0.8280786712108251,0,post_sa,tiny-w32-l2-h2,4,False,-0.3582006371634833,0.25,23,0.0,0.4096730998724195
root,0.3243505534990542,0.9867872319327254,2.6418001394308597,action,-0.6210590034081188,0,post_sa,tiny-w32-l2-h2,4,False,-0.2951052097699361,0.5,23,0.0,0.42006809162838743
parent,0.3900425914163979,0.9627343286157298,2.8331172658213317,action,0.8280786712108251,0,post_sa,tiny-w32-l2-h2,4,True,0.2392714582000005,0.0,23,1.0,0.2967165318080894
root,0.479831846685541,0.9671272988312518,2.5223985307945473,action,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,True,0.2590972338370966,0.25,23,0.75,0.3555087425023715
parent,0.2702354884537097,0.9991064344977328,2.5288647514905787,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,0.19924640817447042,0.0,23,0.5,0.21639203801803447
root,0.28475921951552247,0.9786895342781028,2.5826083770229618,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,0.10452940704904583,0.0,23,0.5,0.2549935071478158
parent,0.387066542164498,0.9855798032877366,2.2780310532678127,noun,0.0,0,post_sa,tiny-w32-l2-h2,4,True,0.03252977118509293,0.25,23,0.25,0.37447535611448174
root,0.45011147576573673,0.9723626871634528,2.1479421603716307,noun,-0.20701966780270628,0,post_sa,tiny-w32-l2-h2,4,True,0.018562672172924722,0.5,23,0.0,0.441756203999826
parent,0.4065663253556654,0.9936558436440538,2.845059228522461,relation,0.0,0,post_sa,tiny-w32-l2-h2,4,False,0.011268571427082099,0.75,23,0.25,0.4019849036785488
