component,family,layer,mean_update_cosine,model_setting,natural,parent_id,seed,shared_update_explained_variance,shared_update_rank
ff,action,0,0.9466612766647015,tiny-w32-l2-h2,False,synthetic:action:p0,11,0.8784194547071342,2.570141597627043
ff,action,0,0.929493824548601,tiny-w32-l2-h2,False,synthetic:action:p1,11,0.8515372973828899,1.7592018220951262
ff,action,0,0.8811903679912766,tiny-w32-l2-h2,True,natural:action:communication,11,0.7635784253853897,1.3298488674269782
ff,action,0,0.8314623585680812,tiny-w32-l2-h2,True,natural:action:movement,11,0.6901085852850242,1.9264798193563109
ff,noun,0,0.9365935966711806,tiny-w32-l2-h2,False,synthetic:noun:p0,11,0.8761576319740254,1.3109255853173647
ff,noun,0,0.848840162077458,tiny-w32-l2-h2,False,synthetic:noun:p1,11,0.707650945981417,1.3302423177834228
ff,noun,0,0.9026156024812609,tiny-w32-l2-h2,True,natural:noun:bird,11,0.8113842908538593,1.7290705343501012
ff,noun,0,0.9087268818988606,tiny-w32-l2-h2,True,natural:noun:mammal,11,0.7628541415507237,1.4845216941487
ff,relation,0,0.8156903019633205,tiny-w32-l2-h2,False,synthetic:relation:p0,11,0.6625121519502808,1.4216758603879684
ff,relation,0,0.9193519527934505,tiny-w32-l2-h2,False,synthetic:relation:p1,11,0.8445073822740781,1.330842719702947
ff,relation,0,0.8155602470361649,tiny-w32-l2-h2,True,natural:relation:social,11,0.6378654128131186,1.2991269364758324
ff,relation,0,0.8958513016456194,tiny-w32-l2-h2,True,natural:relation:spatial,11,0.7991800367375845,1.8835186061483176
sa,action,0,0.8834012844745894,tiny-w32-l2-h2,False,synthetic:action:p0,11,0.7641366183605733,2.3540848932914122
sa,action,0,0.9227222285470068,tiny-w32-l2-h2,False,synthetic:action:p1,11,0.8255461667585112,2.542178628411673
sa,action,0,0.9154320301999698,tiny-w32-l2-h2,True,natural:action:communication,11,0.820964656790662,2.873133198300449
sa,action,0,0.8818336714781351,tiny-w32-l2-h2,True,natural:action:movement,11,0.759342568332356,2.6915219833434683
sa,noun,0,0.9442048900208452,tiny-w32-l2-h2,False,synthetic:noun:p0,11,0.8719873215058399,2.232996885797596
sa,noun,0,0.8400103264426239,tiny-w32-l2-h2,False,synthetic:noun:p1,11,0.6732818347699218,2.0106878083574675
sa,noun,0,0.9078676694721528,tiny-w32-l2-h2,True,natural:noun:bird,11,0.8005228383995977,2.5238456448741133
sa,noun,0,0.8435342224977922,tiny-w32-l2-h2,True,natural:noun:mammal,11,0.6855139857913871,1.7863331890469931
