layer,matched_control_cosine,motif_specificity,n_runs,relation_id,within_motif_cosine
0,0.8373920662079445,-0.005487126540029169,4,action:parent:natural,0.8319049396679153
1,0.8954318137606934,-0.028209467926587517,4,action:parent:natural,0.8672223458341057
2,0.9619316850503339,0.000893469572584793,2,action:parent:natural,0.9628251546229186
0,0.8372224525554383,-0.010758666068952871,4,action:parent:synthetic,0.8264637864864854
1,0.8571768096355439,-0.015595067827678305,4,action:parent:synthetic,0.8415817418078655
2,0.9047164009367966,0.014239869411069916,2,action:parent:synthetic,0.9189562703478665
0,0.8173264614693254,0.0024835749312703548,4,action:root:natural,0.8198100364005957
1,0.8404514143030896,-0.010918991917083953,4,action:root:natural,0.8295324223860056
2,0.8781278021281966,0.021245702032890834,2,action:root:natural,0.8993735041610874
0,0.8421987955136291,-0.022861830965913016,4,action:root:synthetic,0.8193369645477162
1,0.7609280285895247,-0.012239226330695546,4,action:root:synthetic,0.7486888022588291
2,0.9246799662162976,0.005836850658952841,2,action:root:synthetic,0.9305168168752505
0,0.8517850925007283,-0.03348296521910771,4,noun:parent:natural,0.8183021272816207
1,0.8869890521418917,-0.006889419454697399,4,noun:parent:natural,0.8800996326871942
2,0.9372085889072754,-0.0012546161749312223,2,noun:parent:natural,0.9359539727323442
0,0.7675201562551733,0.00874451503162249,4,noun:parent:synthetic,0.7762646712867958
1,0.8801440544259711,-0.018777306063890664,4,noun:parent:synthetic,0.8613667483620804
2,0.9852650564292927,-0.00647323441067027,2,noun:parent:synthetic,0.9787918220186225
0,0.8478353797362023,-0.03641539243425912,4,noun:root:natural,0.8114199873019432
1,0.8180997964403878,-0.051624624277208986,4,noun:root:natural,0.7664751721631786
2,0.802206792547195,-0.058215482067755564,2,noun:root:natural,0.7439913104794393
0,0.7760678919397589,0.008377469165208484,4,noun:root:synthetic,0.7844453611049673
1,0.806846837551454,-0.017963414490641066,4,noun:root:synthetic,0.788883423060813
2,0.9259472541222871,-0.0038717782518948862,2,noun:root:synthetic,0.9220754758703922
0,0.7756731853524654,-0.03638887181875616,4,relation:parent:natural,0.7392843135337094
1,0.8404971392723444,-0.004282080709474084,4,relation:parent:natural,0.8362150585628703
2,0.9206142210033923,-0.007444685413153573,2,relation:parent:natural,0.9131695355902387
0,0.7768068551469545,-0.011944210432136504,4,relation:parent:synthetic,0.7648626447148181
1,0.897736498322005,-0.015154570716126664,4,relation:parent:synthetic,0.8825819276058782
2,0.9462269755863162,-0.010124575879918107,2,relation:parent:synthetic,0.9361023997063981
0,0.7788314755117446,-0.012653028338747319,4,relation:root:natural,0.7661784471729972
1,0.8218965756860263,-0.02107603833272728,4,relation:root:natural,0.8008205373532988
2,0.8895940067130361,-0.0001801772889108988,2,relation:root:natural,0.8894138294241252
0,0.8101468042243128,-0.01530868098892163,4,relation:root:synthetic,0.7948381232353912
1,0.8247671940879695,-0.004293499472621143,4,relation:root:synthetic,0.8204736946153484
2,0.8413600676980888,-0.017651824025507357,2,relation:root:synthetic,0.8237082436725813
