abstraction_level,between_parent_dispersion,cross_template_cosine,effective_rank,family,hierarchy_rsa_spearman,layer,location,model_setting,n_items,natural,normalized_separation,permuted_neighbor_recovery,seed,step,tree_neighbor_recovery,within_parent_dispersion
parent,0.4101118226953543,0.9964403203871083,2.654281782159753,action,0.6210590034081188,0,post_block,tiny-w32-l2-h2,4,False,0.18075598490385406,0.75,11,0,0.75,0.33598165626334076
root,0.4212131450918397,0.9959916516581382,2.7021012047915467,action,0.8280786712108251,0,post_block,tiny-w32-l2-h2,4,False,0.18161778566845274,1.0,11,0,1.0,0.3447133463858151
parent,0.5046291190258441,0.9972398090776187,2.6665119893352447,action,-0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,True,-0.2656316275032135,0.0,11,0,0.0,0.6386745731981919
root,0.5334579167372345,0.9970937164953276,2.677053913342877,action,-0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,True,-0.24428695029201952,0.0,11,0,0.0,0.6637747243261076
parent,0.5551698507341918,0.9970024952047556,2.4346269217382326,noun,0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,False,0.21912979258415702,0.75,11,0,0.75,0.4335155964938309
root,0.5749756792906554,0.996655405067396,2.440655607291835,noun,0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,False,0.22297663042522214,0.75,11,0,0.75,0.4467695397459719
parent,0.4307455172501341,0.9946393600820862,2.66697402593381,noun,0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,True,0.12645728455192198,0.5,11,0,0.5,0.3762746088057691
root,0.4531336661959157,0.9945712662031867,2.6693679433185964,noun,0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,True,0.11774000614415421,0.5,11,0,0.5,0.3997817055538855
parent,0.42059481875239807,0.9975677291769066,2.4009694699773396,relation,-0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,False,-0.295498910953467,0.0,11,0,0.0,0.5448801296464025
root,0.4319239488439101,0.9969546552920246,2.3817382212848885,relation,-0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,False,-0.3068270584651681,0.0,11,0,0.0,0.5644499035483468
parent,0.4069111835224182,0.9960605697942442,2.325773725324004,relation,-0.6210590034081188,0,post_block,tiny-w32-l2-h2,4,True,-0.34099575460506276,0.0,11,0,0.0,0.5456661696048843
root,0.4346603515721554,0.9945740308337041,2.319647776311762,relation,-0.6210590034081188,0,post_block,tiny-w32-l2-h2,4,True,-0.3393880359434655,0.0,11,0,0.0,0.5821788745947254
parent,0.46611733225221685,0.9964824323688141,2.729389286005597,action,0.8280786712108251,0,post_sa,tiny-w32-l2-h2,4,False,0.1993954151591964,1.0,11,0,1.0,0.373175673274889
root,0.48040290935696384,0.9961073288306292,2.7657050528469753,action,0.8280786712108251,0,post_sa,tiny-w32-l2-h2,4,False,0.19472211861502592,1.0,11,0,1.0,0.3868578370581536
parent,0.49967279938007403,0.9971743084355471,2.6727767687632142,action,-0.8280786712108251,0,post_sa,tiny-w32-l2-h2,4,True,-0.25381035453410744,0.0,11,0,0.0,0.6264949297417806
root,0.5233458074528731,0.9970457047235307,2.6823345148191855,action,-0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,True,-0.24094251320637433,0.0,11,0,0.0,0.6494420615765876
parent,0.5808592521869647,0.9968435452063981,2.502350040906785,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,0.20868944475126475,0.75,11,0,0.75,0.45964005736943214
root,0.5995432983056312,0.9964755013968882,2.5078798481837965,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,0.21002267672522928,0.75,11,0,0.75,0.47362560998280995
parent,0.44269964777338006,0.9943452746962019,2.7976166454380422,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,True,0.09437349584198033,0.75,11,0,0.75,0.4009205344049928
root,0.4652805534869957,0.9942986837820992,2.7916972094075754,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,True,0.09368520815539333,0.75,11,0,0.75,0.4216906479829099
parent,0.4438254623224454,0.9976422797510369,2.3981802757024675,relation,-0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,-0.3351739845284712,0.0,11,0,0.0,0.5925842109642503
root,0.45432573780536556,0.9970806165976153,2.3853807345296256,relation,-0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,-0.3449548424666641,0.0,11,0,0.0,0.6110476011185664
parent,0.422417879532201,0.9959433547331414,2.2937038006325903,relation,-0.8280786712108251,0,post_sa,tiny-w32-l2-h2,4,True,-0.39995004178834215,0.0,11,0,0.0,0.5913639281032477
root,0.45100952867876876,0.9944391125677287,2.280624843705838,relation,-0.8280786712108251,0,post_sa,tiny-w32-l2-h2,4,True,-0.4014605492193051,0.0,11,0,0.0,0.6320720617652872
parent,0.489584099703108,1.0,2.724380549852249,action,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,False,0.18253093492862768,1.0,11,0,1.0,0.40021985625810924
root,0.489584099703108,1.0,2.724380549852249,action,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,False,0.18253093492862768,1.0,11,0,1.0,0.40021985625810924
parent,0.5123027850207269,1.0,2.6025464035056247,action,-0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,-0.26318965007537326,0.0,11,0,0.0,0.6471355757429712
root,0.5123027850207269,1.0,2.6025464035056247,action,-0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,-0.26318965007537326,0.0,11,0,0.0,0.6471355757429712
parent,0.6193499914925634,1.0,2.464417677648373,noun,0.41403933560541256,0,pre_sa,tiny-w32-l2-h2,4,False,0.22070306628544553,0.75,11,0,0.75,0.48265754926629006
root,0.6193499914925634,1.0,2.464417677648373,noun,0.41403933560541256,0,pre_sa,tiny-w32-l2-h2,4,False,0.22070306628544553,0.75,11,0,0.75,0.48265754926629006
parent,0.47287508744371254,1.0,2.8345128888097064,noun,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,0.12485090065405677,1.0,11,0,1.0,0.4138362068794992
root,0.47287508744371254,1.0,2.8345128888097064,noun,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,0.12485090065405677,1.0,11,0,1.0,0.4138362068794992
parent,0.46916168793207935,1.0,2.446102244529287,relation,-0.41403933560541256,0,pre_sa,tiny-w32-l2-h2,4,False,-0.27623980691900574,0.0,11,0,0.0,0.5987628220202318
root,0.46916168793207935,1.0,2.446102244529287,relation,-0.41403933560541256,0,pre_sa,tiny-w32-l2-h2,4,False,-0.27623980691900574,0.0,11,0,0.0,0.5987628220202318
parent,0.4511156615958899,1.0,2.3548377009226087,relation,-0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,-0.368894709519041,0.0,11,0,0.0,0.6175298425397957
root,0.4511156615958899,1.0,2.3548377009226087,relation,-0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,-0.368894709519041,0.0,11,0,0.0,0.6175298425397957
parent,0.3833303322636004,0.9930035559502972,2.6482377284108036,action,0.6210590034081188,1,post_block,tiny-w32-l2-h2,4,False,0.15405967514676647,0.25,11,0,0.75,0.3242745858011681
root,0.39232932105717333,0.9929631013401344,2.7051322361284633,action,0.6210590034081188,1,post_block,tiny-w32-l2-h2,4,False,0.1263777346574771,0.25,11,0,0.75,0.34274763022226173
parent,0.52214272738066,0.9948323052476828,2.738011672871307,action,-0.41403933560541256,1,post_block,tiny-w32-l2-h2,4,True,-0.21537134805748623,0.0,11,0,0.0,0.6345973104550453
root,0.5454504351075806,0.9951014812747124,2.7486984916085015,action,-0.41403933560541256,1,post_block,tiny-w32-l2-h2,4,True,-0.1983220859945289,0.0,11,0,0.0,0.6536253032047394
parent,0.5799217878091969,0.9946873402582678,2.378033460388442,noun,0.41403933560541256,1,post_block,tiny-w32-l2-h2,4,False,0.29582933645590964,0.0,11,0,0.75,0.40836391012527734
root,0.6082599798651839,0.995005356426922,2.3870385122977527,noun,0.41403933560541256,1,post_block,tiny-w32-l2-h2,4,False,0.29742400282868764,0.0,11,0,0.75,0.42734886189318394
parent,0.42569794046415954,0.9915979099798732,2.626920190586408,noun,0.20701966780270628,1,post_block,tiny-w32-l2-h2,4,True,0.12385293868117112,0.5,11,0,0.5,0.37297399954715116
root,0.44637036834905564,0.9917007355117775,2.61635338951226,noun,0.20701966780270628,1,post_block,tiny-w32-l2-h2,4,True,0.12081728609399246,0.5,11,0,0.5,0.392441111852347
parent,0.40475639266050356,0.9946145519887287,2.3983622884347926,relation,-0.41403933560541256,1,post_block,tiny-w32-l2-h2,4,False,-0.24418375860590785,0.5,11,0,0.0,0.503591329940114
root,0.41728188495451535,0.9946669022290086,2.3932697485888648,relation,-0.41403933560541256,1,post_block,tiny-w32-l2-h2,4,False,-0.24680526346712273,0.5,11,0,0.0,0.5202692505107721
parent,0.42528139238082563,0.9939301448133931,2.3255228913227266,relation,-0.6210590034081188,1,post_block,tiny-w32-l2-h2,4,True,-0.286417769332119,1.0,11,0,0.0,0.5470895401249993
root,0.44860631976525356,0.9932849294055917,2.314107002285966,relation,-0.6210590034081188,1,post_block,tiny-w32-l2-h2,4,True,-0.27691593520701874,1.0,11,0,0.0,0.5728325583428276
parent,0.3940287956458419,0.9932140250607286,2.6588475084599428,action,0.6210590034081188,1,post_sa,tiny-w32-l2-h2,4,False,0.19911473898327017,0.25,11,0,0.75,0.3155718548489278
root,0.39892948059066546,0.9934050892518441,2.7087167874924223,action,0.6210590034081188,1,post_sa,tiny-w32-l2-h2,4,False,0.1669069990921102,0.25,11,0,0.75,0.33234535813590327
parent,0.5109053157479214,0.9947742095849992,2.7017767191678073,action,-0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,True,-0.24526368895934425,0.0,11,0,0.0,0.6362118381971952
root,0.5326767842681356,0.9950417284009475,2.70950548151014,action,-0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,True,-0.22829869303222144,0.0,11,0,0.0,0.6542861979251575
