component,correct_signed_progress,correct_target,example_id,habitual_signed_progress,habitual_target,layer,model_setting,repair_geometry_candidate,run_id,seed,update_cosine_previous
sa,8.088225364685059,13,override-8,-10.049606323242188,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,6.66741943359375,13,override-8,12.89715576171875,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.20389187384943352
sa,0.9719372391700745,13,override-8,-2.8539657592773438,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.014382901062517245
ff,0.0820649042725563,13,override-8,-2.2691216468811035,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.28907759582679465
sa,8.473062515258789,13,override-9,-9.898490905761719,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,6.391575813293457,13,override-9,12.526928901672363,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.2228095451282267
sa,0.8582655191421509,13,override-9,-2.8029539585113525,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.0260792374325048
ff,0.08704151213169098,13,override-9,-2.2639896869659424,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.3403703387243761
sa,8.862439155578613,13,override-10,-9.277809143066406,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,6.56599760055542,13,override-10,11.605415344238281,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.12942605434973348
sa,0.360374391078949,13,override-10,-2.771028757095337,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.11414405021910502
ff,0.011504974216222763,13,override-10,-2.097005844116211,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.6730193880300332
sa,6.770055770874023,13,override-11,-10.908672332763672,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,7.234190464019775,13,override-11,13.70189094543457,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.19912317110881447
sa,1.5554265975952148,13,override-11,-2.28804874420166,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.02457837932319162
