angular_concentration,between_cosine_distance,common_energy_fraction,component,effective_rank,layer,model_setting,n,relation_id,seed,within_cosine_distance
0.9981426590233133,0.8569030308780816,0.9775954056598347,ff,1.0798780814896989,1,tiny-w32-l2-h2,24,4-5-to-many,11,0.003818970751973599
0.9994655235962896,0.8715774890267017,0.9884866178972276,ff,1.0409959229889902,1,tiny-w32-l2-h2,8,map-15-16,11,0.0012112336231884274
0.8537156075995462,0.8805683007243896,0.6032186867845819,ff,1.0108270672349984,1,tiny-w32-l2-h2,8,map-17-18,11,0.2522140751658003
0.9999259619762736,0.8718432929955594,0.999057491836549,ff,1.0866048254043348,1,tiny-w32-l2-h2,8,map-19-20,11,0.0001691252677580143
0.9720782263454399,0.8663123730105513,0.8121888903684915,ff,1.0065529900723167,1,tiny-w32-l2-h2,24,override-1-2,11,0.049730094370769085
0.9869979304352702,0.8456452397308447,0.9718222491034574,sa,1.636520534971736,1,tiny-w32-l2-h2,24,1-2-to-3,11,0.026942203539181104
0.9705819719405074,0.8238556336115329,0.9203818980191668,sa,1.176409251242127,1,tiny-w32-l2-h2,24,4-5-to-many,11,0.0596035434036614
0.9992458553702758,1.021495002219374,0.996017062463922,sa,1.0126883016154469,1,tiny-w32-l2-h2,8,map-15-16,11,0.0017188228164602296
0.9985395544080088,0.9992828165786324,0.9953947553702079,sa,1.2423219601159472,1,tiny-w32-l2-h2,8,map-17-18,11,0.0033312622268274355
0.9999908662700399,1.0344638801957626,0.9999460729513328,sa,1.0084814445896504,1,tiny-w32-l2-h2,8,map-19-20,11,2.0876266628198715e-05
0.9759277331354766,0.8481493801131065,0.9419218889600651,sa,1.0598447460857658,1,tiny-w32-l2-h2,24,override-1-2,11,0.049322998279366405
0.9857536147455441,0.9274556705891872,0.9494521863827683,ff,1.2002995056709553,0,tiny-w32-l2-h2,24,1-2-to-3,23,0.028965894381473838
0.9884831284414641,0.8191985746266129,0.9482986105269886,ff,1.46048802735288,0,tiny-w32-l2-h2,24,4-5-to-many,23,0.023486110505657992
0.9982311585186497,0.8130444815647121,0.9882254368941694,ff,1.465459524425175,0,tiny-w32-l2-h2,8,map-15-16,23,0.00402820463455718
