component,max_contribution_layer,mean_causal_logprob_drop,mean_diagnostic_progress,model_setting,run_id,seed,step,stratum
ff,0,0.2684614956378937,3.8332263827323914,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,40,context_introduced
sa,1,0.15068292617797852,5.88350185751915,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,40,context_introduced
ff,0,0.46608594059944153,3.825954705476761,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,40,familiar_high_entropy
sa,1,0.4137045741081238,2.7312312722206116,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,40,familiar_high_entropy
ff,1,-0.16131681203842163,2.0125153213739395,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,40,familiar_low_entropy
sa,0,0.8860002160072327,6.858344286680222,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,40,familiar_low_entropy
ff,0,0.14650404453277588,0.9320947229862213,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,40,override_repair
sa,0,0.2353510856628418,11.020960658788681,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,40,override_repair
ff,0,1.2235417366027832,4.502659380435944,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,100,context_introduced
sa,0,-1.0674314498901367,3.6004438400268555,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,100,context_introduced
ff,0,4.5371405482292175,7.062739670276642,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,100,familiar_high_entropy
sa,0,1.2710593789815903,0.8741273209452629,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,100,familiar_high_entropy
ff,0,2.323039099923335,7.21278770302888,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,100,familiar_low_entropy
sa,0,0.8364387039910071,3.2046735151379835,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,100,familiar_low_entropy
ff,0,0.9793955273926258,-0.20888891848153435,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,100,override_repair
sa,0,2.2779708839952946,13.396708933170885,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,100,override_repair
ff,0,1.3606006614863873,3.7757660262286663,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,160,context_introduced
sa,0,0.23423701152205467,4.642558682709932,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,160,context_introduced
ff,0,2.6229189187288284,7.712864890694618,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,160,familiar_high_entropy
sa,0,1.4806272238492966,0.42968716472387314,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,160,familiar_high_entropy
ff,0,0.9195757561319624,5.860876748054579,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,160,familiar_low_entropy
sa,1,0.8788589771138504,4.5739724295417545,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,160,familiar_low_entropy
ff,0,1.118025995354401,-0.001550028486235533,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,160,override_repair
sa,0,2.434010174125433,13.375189203681657,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed23,23,160,override_repair
ff,1,-0.2564999262491862,-0.07778104146321614,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,0,context_introduced
sa,2,0.9892834027608236,0.8344968954722086,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,0,context_introduced
ff,0,-0.3233488400777181,-0.07503763834635417,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,0,familiar_high_entropy
sa,2,0.02918831507364909,-0.150178591410319,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,0,familiar_high_entropy
ff,2,-0.20210806528727213,-0.49158986409505206,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,0,familiar_low_entropy
sa,1,0.657719612121582,0.26250044504801434,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,0,familiar_low_entropy
ff,1,0.6045939127604166,0.6463842391967773,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,0,override_repair
sa,1,0.4041887919108073,0.34131813049316406,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,0,override_repair
ff,2,0.0965470274289449,4.13829110066096,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,40,context_introduced
sa,0,0.0019734700520833335,1.8252505660057068,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,40,context_introduced
ff,0,0.16355621814727783,3.182082732518514,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,40,familiar_high_entropy
sa,1,-0.08342818419138591,2.934225877126058,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,40,familiar_high_entropy
ff,0,0.1342134140431881,5.787901934585534,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,40,familiar_low_entropy
sa,2,-0.08223509664336841,3.7548404698809463,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,40,familiar_low_entropy
ff,2,0.40941234429677326,4.7277023295561476,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,40,override_repair
sa,2,0.23364121715227762,8.308312873045603,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,40,override_repair
ff,0,0.217936801413695,3.4417030960321426,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,100,context_introduced
sa,0,-0.08059162398179372,2.6451802626252174,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,100,context_introduced
ff,0,0.24604934950669607,2.8310507337252298,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,100,familiar_high_entropy
sa,2,0.7099903076887131,4.880075509349505,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,100,familiar_high_entropy
ff,0,0.21436394292807867,4.975595017548396,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,100,familiar_low_entropy
sa,0,0.020992852323009476,4.965576589610691,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,100,familiar_low_entropy
ff,0,0.0025724144561536377,0.1244781495100445,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,100,override_repair
sa,0,1.3563403694612741,13.54543209610074,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,100,override_repair
ff,0,0.30768936065336067,3.566668678075075,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,160,context_introduced
sa,0,0.02065138208369414,2.4649910336205116,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,160,context_introduced
ff,0,0.6177184308568636,2.632114698489507,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,160,familiar_high_entropy
sa,0,1.0539060632387798,5.061142774919669,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,160,familiar_high_entropy
ff,0,0.39945676177740097,6.114656962210593,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,160,familiar_low_entropy
sa,0,0.0613370757055236,3.778156155042288,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,160,familiar_low_entropy
ff,0,0.0002127475818263965,0.03228723754712822,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,160,override_repair
sa,0,1.0884570876432917,13.55020029345915,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed11,11,160,override_repair
ff,2,0.409998099009196,0.4241209030151367,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,0,context_introduced
sa,2,0.06791830062866211,0.2109502156575521,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,0,context_introduced
ff,0,0.3572785059611003,0.1939093271891276,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,0,familiar_high_entropy
sa,2,0.041321754455566406,0.30744727452596027,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,0,familiar_high_entropy
