between_pattern_js_bits,control_type,layer,location,mean_entropy_bits,mean_js_to_pattern_centroid,mean_target_probability,model_setting,n_realizations,noise_level,pattern_snr_js_ratio,prefix_evidence,prefix_length,relation_id,residual_covariance_effective_rank,residual_total_variance,seed,stratum,target_control,target_logit_variance,target_margin_variance,target_probability_variance,training_stage
0.8258569636932833,answer_changing,0,post_block,0.025515034107795764,6.18910070869282e-05,6.58608904450612e-08,tiny-w32-l2-h2,24,0,13343.731223073115,full,8,1-2-to-3,5.199982840334063,0.35208925046924244,11,familiar_low_entropy,observed,0.23287440575398313,0.23753424664715875,1.1316254256700814e-15,random
0.8221888165653853,answer_changing,0,post_sa,0.010412214143793475,1.9047547525832675e-05,5.015423409915343e-08,tiny-w32-l2-h2,24,0,43165.07494995437,full,8,1-2-to-3,5.167249149459017,0.3407501676246551,11,familiar_low_entropy,observed,0.21239856374394006,0.19968461343138266,5.443053350279239e-16,random
0.8215448337893431,answer_changing,0,pre_sa,0.010545277526075014,0.0,3.386097802149379e-08,tiny-w32-l2-h2,24,0,821544833789.3431,full,8,1-2-to-3,0.0,0.0,11,familiar_low_entropy,observed,0.0,0.0,0.0,random
0.9152199832447249,answer_changing,1,post_block,0.03425545435518564,0.00016453840967414345,2.311651077964901e-07,tiny-w32-l2-h2,24,0,5562.348542551569,full,8,1-2-to-3,5.92798938759585,0.6703281997015575,11,familiar_low_entropy,observed,0.40183963869244665,0.4434664585408269,3.505167682385775e-14,random
0.8591785471580314,answer_changing,1,post_sa,0.054727975448617266,0.0002838516770034951,1.8839822827724598e-07,tiny-w32-l2-h2,24,0,3026.857393368341,full,8,1-2-to-3,5.798351440146098,0.6814013295048761,11,familiar_low_entropy,observed,0.4265198747089148,0.43375765890372003,2.2379571001629373e-14,random
0.8258569636932833,answer_changing,1,pre_sa,0.025515034107795764,6.18910070869282e-05,6.58608904450612e-08,tiny-w32-l2-h2,24,0,13343.731223073115,full,8,1-2-to-3,5.199982840334063,0.35208925046924244,11,familiar_low_entropy,observed,0.23287440575398313,0.23753424664715875,1.1316254256700814e-15,random
0.8000038766317191,answer_changing,0,post_block,1.7702646849000528e-05,1.9020922958211276e-08,4.502673114359368e-07,tiny-w32-l2-h2,24,2,42059151.30350496,full,8,1-2-to-3,5.221288845419461,0.3458257359392244,11,familiar_low_entropy,observed,0.15915300774163307,0.19957547853410704,3.96299888589927e-14,random
0.8000109585999914,answer_changing,0,post_sa,1.390604761852957e-05,1.4507477630125574e-08,3.959054228156826e-07,tiny-w32-l2-h2,24,2,55144731.496171646,full,8,1-2-to-3,5.130200817234355,0.3408965086636317,11,familiar_low_entropy,observed,0.13926061787040525,0.1885068286010984,2.754580850127988e-14,random
0.8000084637717274,answer_changing,0,pre_sa,1.2928025672213813e-05,0.0,3.126896501726151e-07,tiny-w32-l2-h2,24,2,800008463771.7274,full,8,1-2-to-3,0.0,0.0,11,familiar_low_entropy,observed,0.0,0.0,0.0,random
0.8000038342182672,answer_changing,1,post_block,2.316021804924845e-05,4.577381435590544e-08,3.6052393100523733e-07,tiny-w32-l2-h2,24,2,17477325.09242057,full,8,1-2-to-3,5.762504791711545,0.6398755753975793,11,familiar_low_entropy,observed,0.37424466935117773,0.46198397426180887,6.751477769533287e-14,random
0.8000096435838854,answer_changing,1,post_sa,3.0312534573279564e-05,8.342094864713659e-08,1.0012255332962165e-06,tiny-w32-l2-h2,24,2,9590032.918084607,full,8,1-2-to-3,5.730450723142817,0.6368409160115529,11,familiar_low_entropy,observed,0.3438376228663305,0.4576912369707365,4.835749418391647e-13,random
0.8000038766317191,answer_changing,1,pre_sa,1.7702646849000528e-05,1.9020922958211276e-08,4.502673114359368e-07,tiny-w32-l2-h2,24,2,42059151.30350496,full,8,1-2-to-3,5.221288845419461,0.3458257359392244,11,familiar_low_entropy,observed,0.15915300774163307,0.19957547853410704,3.96299888589927e-14,random
0.8000482042437402,answer_changing,0,post_block,0.004701662536075103,6.1382076011136395e-06,0.0003659892154246336,tiny-w32-l2-h2,24,4,130339.05925543957,full,8,1-2-to-3,5.524404884905065,0.23760043997391633,11,familiar_low_entropy,observed,0.07922922316355903,0.09726298445994487,1.3654741150181877e-08,random
0.8000479574404782,answer_changing,0,post_sa,0.004803348147695836,5.739152477695954e-06,0.0003756188677167908,tiny-w32-l2-h2,24,4,139401.76019886238,full,8,1-2-to-3,5.490948158499967,0.23662463044680834,11,familiar_low_entropy,observed,0.06823317678830843,0.08743147098604585,1.3255886232561796e-08,random
0.8000485339204021,answer_changing,0,pre_sa,0.0034293471056191,0.0,0.0002553695230744779,tiny-w32-l2-h2,24,4,800048533920.4021,full,8,1-2-to-3,0.0,0.0,11,familiar_low_entropy,observed,0.0,0.0,0.0,random
