causal_ci_high,causal_ci_low,component,layer,mean_causal_logprob_drop,mean_diagnostic_signed_progress,mean_head0_ablation_drop,mean_matched_replacement_drop,mean_mean_ablation_drop,mean_update_ratio,model_setting,n_rows,stratum
2.991665774149199,1.3673238669211667,ff,0,2.172145664691925,5.8409370581309,nan,1.951113981505235,0.935985267162323,1.6000019684811504,tiny-w32-l2-h2,48,context_introduced
0.4977340484426046,-0.16334726385927434,ff,1,0.18575536428640285,0.18575536428640285,nan,0.7071977462619543,0.3941866299137473,1.0144316451349222,tiny-w32-l2-h2,48,context_introduced
1.100229391704003,0.3342809822410346,sa,0,0.7436275593936443,6.922414044539134,0.5797463171184063,1.602018266916275,0.8834844653805097,0.632778903811123,tiny-w32-l2-h2,48,context_introduced
1.1239119650485614,0.1594896395419106,sa,1,0.5856908652931452,2.181274282435576,0.07542958048482735,-0.08864421024918556,0.1939220977947116,0.7091855633636809,tiny-w32-l2-h2,48,context_introduced
3.516978591494262,2.3536727181325356,ff,0,2.898920892427365,7.987996178368728,nan,1.309391335894664,0.33456102789690095,1.5319102982119002,tiny-w32-l2-h2,48,familiar_high_entropy
0.40311283387709396,0.035847158078104256,ff,1,0.21757782033334175,0.21757782033334175,nan,0.030718440810839336,0.008946752175688744,0.480616233685903,tiny-w32-l2-h2,48,familiar_high_entropy
1.886832232431819,1.3102285946098466,sa,0,1.5869796983897686,10.244693775971731,0.026215008770426113,1.9277517696221669,-0.07854861517747243,0.7549218062603597,tiny-w32-l2-h2,48,familiar_high_entropy
0.37484966649984314,-0.005518801960473203,sa,1,0.18437372706830502,0.4681717568698029,0.10096994849542777,0.2592928744852543,0.12867658212780952,0.5932424787366912,tiny-w32-l2-h2,48,familiar_high_entropy
2.1467633301057503,1.429347636072392,ff,0,1.783930800719342,9.53873929878076,nan,0.42610727801987497,0.24273126378344992,1.3112409743543252,tiny-w32-l2-h2,48,familiar_low_entropy
0.00567290773205589,-0.009958665678952153,ff,1,-0.0016312650955114805,-0.0016312650955114805,nan,0.00027304163450025953,0.002427035389549322,0.1998611621497881,tiny-w32-l2-h2,48,familiar_low_entropy
1.0979749406377475,0.9641003199232122,sa,0,1.03339118262132,7.518179168303807,1.5292987618595362,1.9328075160926044,0.039547675837335795,0.9132435713273465,tiny-w32-l2-h2,48,familiar_low_entropy
0.13986797124750863,-0.009752352603698,sa,1,0.04297050199829755,0.04353832497774116,0.06217205857956287,0.0033315778545481103,0.0008946272359935392,0.5378692447291767,tiny-w32-l2-h2,48,familiar_low_entropy
1.4997274299617855,1.0318754740059377,ff,0,1.2546796140571435,3.204924631436976,nan,1.0167756532706942,1.8009869816402595,0.9784139608034144,tiny-w32-l2-h2,48,override_repair
0.08124259133158679,0.023393040733905465,ff,1,0.050866452607200095,0.050866452607200095,nan,-0.0008541709660979299,0.007996825249089548,0.48466323568700637,tiny-w32-l2-h2,48,override_repair
3.2799186418298634,1.9918199053034187,sa,0,2.6337066690127053,17.54229924082756,3.169123594959577,8.144901474316915,0.5320608908465753,1.266714938137187,tiny-w32-l2-h2,48,override_repair
0.13258777141648656,0.050444069658503086,sa,1,0.08980250892151768,0.47505670894073165,0.02609481643109272,-0.004138981260136158,0.05131311151975145,0.5028554098118493,tiny-w32-l2-h2,48,override_repair
1.286971749582638,0.34420727986531957,ff,0,0.7886326741427183,9.873484671115875,nan,1.0997576626638572,-0.009330069025357565,1.810031441715246,tiny-w48-l3-h3,48,context_introduced
0.44232510333167735,0.10378747952272535,ff,1,0.26003236400235136,1.454406791832298,nan,0.15819214951867858,-0.030562341125914827,0.45986820774564796,tiny-w48-l3-h3,48,context_introduced
1.1598200919518906,0.37981711118482064,ff,2,0.7269962072217216,0.7269962072217216,nan,0.0053037092729937285,0.17030853599620363,0.4108132992868605,tiny-w48-l3-h3,48,context_introduced
-0.027996593092878757,-0.8041647273426255,sa,0,-0.407581922908624,4.288717607657115,3.5201614794010916,1.2891357243061066,-0.34571813124542433,0.7838464332932912,tiny-w48-l3-h3,48,context_introduced
0.10041181824005127,-0.16951232593225238,sa,1,-0.03226860304130241,0.5919737242123423,0.0074187870098588364,-0.07022746904597928,-0.18841183235053904,0.5335778967208232,tiny-w48-l3-h3,48,context_introduced
