class_id,entity_id,example_id,feature_bits,label_mode,model_seed,output_entropy,position_mode,predictive_order,stage,target_margin,target_probability,template_id,top1_correct
parity-1,test-entity-100,test:natural:t0:paligned:c1:i0,1000,natural,11,3.837676558759995e-05,aligned,4,s2,-34.265357971191406,1.314448068043207e-15,0,0
parity-0,test-entity-101,test:natural:t0:paligned:c6:i1,0110,natural,11,0.0006694406038150191,aligned,4,s2,-9.681095123291016,6.244918768061325e-05,0,0
parity-1,test-entity-102,test:natural:t0:paligned:c11:i2,1101,natural,11,4.6064593334449455e-05,aligned,4,s2,-25.860389709472656,5.8745447742425405e-12,0,0
parity-0,test-entity-103,test:natural:t0:paligned:c12:i3,0011,natural,11,2.8087242753827013e-07,aligned,4,s2,-31.758825302124023,1.611824246934481e-14,0,0
parity-1,test-entity-104,test:natural:t0:paligned:c1:i4,1000,natural,11,0.08446816354990005,aligned,4,s2,-4.083551406860352,0.016568277031183243,0,0
parity-0,test-entity-105,test:natural:t0:paligned:c6:i5,0110,natural,11,0.00021858768013771623,aligned,4,s2,-10.980890274047852,1.702363442745991e-05,0,0
parity-1,test-entity-106,test:natural:t0:paligned:c11:i6,1101,natural,11,3.9801281673135236e-05,aligned,4,s2,-28.479076385498047,4.282461429742923e-13,0,0
parity-0,test-entity-107,test:natural:t0:paligned:c12:i7,0011,natural,11,5.6208455134765245e-06,aligned,4,s2,-37.76117706298828,3.9859209902027385e-17,0,0
parity-1,test-entity-108,test:natural:t0:paligned:c1:i8,1000,natural,11,3.8468742786790244e-06,aligned,4,s2,-18.50782012939453,9.165494141427644e-09,0,0
parity-0,test-entity-109,test:natural:t0:paligned:c6:i9,0110,natural,11,7.32444232198759e-06,aligned,4,s2,-35.74916458129883,2.9808140264129016e-16,0,0
parity-1,test-entity-110,test:natural:t0:paligned:c11:i10,1101,natural,11,0.00018733898468781263,aligned,4,s2,-26.798189163208008,2.2997879642328023e-12,0,0
parity-0,test-entity-111,test:natural:t0:paligned:c12:i11,0011,natural,11,3.5585784644354135e-05,aligned,4,s2,13.125785827636719,0.9999974966049194,0,1
parity-1,test-entity-112,test:natural:t0:paligned:c1:i12,1000,natural,11,0.0001799132296582684,aligned,4,s2,-11.20245361328125,1.364048966934206e-05,0,0
parity-0,test-entity-113,test:natural:t0:paligned:c6:i13,0110,natural,11,5.4957723477855325e-05,aligned,4,s2,-35.25413513183594,4.890145668230098e-16,0,0
parity-1,test-entity-114,test:natural:t0:paligned:c11:i14,1101,natural,11,2.4268781544378726e-06,aligned,4,s2,-24.019716262817383,3.701430134617212e-11,0,0
parity-0,test-entity-115,test:natural:t0:paligned:c12:i15,0011,natural,11,2.351662118371678e-07,aligned,4,s2,-36.435298919677734,1.5008953986758272e-16,0,0
parity-1,test-entity-116,test:natural:t0:paligned:c1:i16,1000,natural,11,1.2244666322658304e-05,aligned,4,s2,-14.51010513305664,4.992763820155233e-07,0,0
parity-0,test-entity-117,test:natural:t0:paligned:c6:i17,0110,natural,11,1.1361616998328827e-05,aligned,4,s2,-35.02876281738281,6.126350550078347e-16,0,0
parity-1,test-entity-118,test:natural:t0:paligned:c11:i18,1101,natural,11,1.4803700651100371e-05,aligned,4,s2,-30.8106746673584,4.1600078416748065e-14,0,0
parity-0,test-entity-119,test:natural:t0:paligned:c12:i19,0011,natural,11,1.8143053921448882e-06,aligned,4,s2,-25.44596290588379,8.891154305856741e-12,0,0
parity-1,test-entity-120,test:natural:t0:paligned:c1:i20,1000,natural,11,1.77243728103349e-05,aligned,4,s2,-28.53240203857422,4.0600788247906194e-13,0,0
parity-0,test-entity-121,test:natural:t0:paligned:c6:i21,0110,natural,11,5.866717401659116e-05,aligned,4,s2,-35.50053405761719,3.8221922346508915e-16,0,0
parity-1,test-entity-122,test:natural:t0:paligned:c11:i22,1101,natural,11,2.7483189114718698e-05,aligned,4,s2,-25.116609573364258,1.235931409299118e-11,0,0
parity-0,test-entity-123,test:natural:t0:paligned:c12:i23,0011,natural,11,1.566231730976142e-05,aligned,4,s2,-34.488563537597656,1.0514948422602269e-15,0,0
parity-1,test-entity-124,test:natural:t0:paligned:c1:i24,1000,natural,11,4.823925701202825e-05,aligned,4,s2,-25.86612319946289,5.840948818364167e-12,0,0
parity-0,test-entity-125,test:natural:t0:paligned:c6:i25,0110,natural,11,0.00026043312391266227,aligned,4,s2,-37.22808074951172,6.792668223942554e-17,0,0
parity-1,test-entity-126,test:natural:t0:paligned:c11:i26,1101,natural,11,0.00037083294591866434,aligned,4,s2,-17.9680118560791,1.5724520352478066e-08,0,0
parity-0,test-entity-127,test:natural:t0:paligned:c12:i27,0011,natural,11,0.03710281476378441,aligned,4,s2,-5.097902297973633,0.006072426680475473,0,0
parity-1,test-entity-128,test:natural:t0:paligned:c1:i28,1000,natural,11,0.0001415278238710016,aligned,4,s2,-30.092182159423828,8.533484926716642e-14,0,0
parity-0,test-entity-129,test:natural:t0:paligned:c6:i29,0110,natural,11,1.1443838957347907e-05,aligned,4,s2,-38.36937713623047,2.1696575235990267e-17,0,0
parity-1,test-entity-130,test:natural:t0:paligned:c11:i30,1101,natural,11,5.2500013225653674e-06,aligned,4,s2,-28.73349380493164,3.320493023335064e-13,0,0
parity-0,test-entity-131,test:natural:t0:paligned:c12:i31,0011,natural,11,5.0328952056588605e-05,aligned,4,s2,13.003368377685547,0.9999964237213135,0,1
parity-1,test-entity-100,test:natural:t0:prandomized:c1:i0,1000,natural,11,2.515596861485392e-05,randomized,4,s2,-32.29978942871094,9.383790978685722e-15,0,0
parity-0,test-entity-101,test:natural:t0:prandomized:c6:i1,0110,natural,11,2.627788944664644e-06,randomized,4,s2,-18.904870986938477,6.161955834471655e-09,0,0
parity-1,test-entity-102,test:natural:t0:prandomized:c11:i2,1101,natural,11,4.429987529874779e-05,randomized,4,s2,-24.756874084472656,1.771027248465007e-11,0,0
parity-0,test-entity-103,test:natural:t0:prandomized:c12:i3,0011,natural,11,1.2007377847567113e-07,randomized,4,s2,-29.74623680114746,1.206071511107923e-13,0,0
parity-1,test-entity-104,test:natural:t0:prandomized:c1:i4,1000,natural,11,0.6890600323677063,randomized,4,s2,0.1875133514404297,0.5467292070388794,0,1
parity-0,test-entity-105,test:natural:t0:prandomized:c6:i5,0110,natural,11,3.2007524168875534e-06,randomized,4,s2,-19.8112850189209,2.4892483629912476e-09,0,0
parity-1,test-entity-106,test:natural:t0:prandomized:c11:i6,1101,natural,11,2.765653516689781e-05,randomized,4,s2,-24.970670700073242,1.4301270237493391e-11,0,0
parity-0,test-entity-107,test:natural:t0:prandomized:c12:i7,0011,natural,11,4.3377134716138244e-05,randomized,4,s2,-34.60635757446289,9.346499294391668e-16,0,0
parity-1,test-entity-108,test:natural:t0:prandomized:c1:i8,1000,natural,11,2.956412936327979e-05,randomized,4,s2,-13.353094100952148,1.587903284416825e-06,0,0
parity-0,test-entity-109,test:natural:t0:prandomized:c6:i9,0110,natural,11,8.309746772283688e-05,randomized,4,s2,-26.792890548706055,2.3120273057175567e-12,0,0
parity-1,test-entity-110,test:natural:t0:prandomized:c11:i10,1101,natural,11,0.00015655637253075838,randomized,4,s2,-25.955564498901367,5.34116154082831e-12,0,0
parity-0,test-entity-111,test:natural:t0:prandomized:c12:i11,0011,natural,11,0.03950081020593643,randomized,4,s2,5.020988464355469,0.993444561958313,0,1
parity-1,test-entity-112,test:natural:t0:prandomized:c1:i12,1000,natural,11,0.013687944039702415,randomized,4,s2,-6.275798797607422,0.0018777521327137947,0,0
parity-0,test-entity-113,test:natural:t0:prandomized:c6:i13,0110,natural,11,3.141535125905648e-05,randomized,4,s2,-32.617767333984375,6.827826285182035e-15,0,0
parity-1,test-entity-114,test:natural:t0:prandomized:c11:i14,1101,natural,11,8.054029422055464e-06,randomized,4,s2,-21.47749900817871,4.703708533781992e-10,0,0
parity-0,test-entity-115,test:natural:t0:prandomized:c12:i15,0011,natural,11,1.638638536860526e-06,randomized,4,s2,-34.444217681884766,1.0991737974655794e-15,0,0
parity-1,test-entity-116,test:natural:t0:prandomized:c1:i16,1000,natural,11,0.0001133318364736624,randomized,4,s2,-11.665136337280273,8.588001946918666e-06,0,0
parity-0,test-entity-117,test:natural:t0:prandomized:c6:i17,0110,natural,11,1.6944411981967278e-05,randomized,4,s2,-33.17104721069336,3.9264186858984675e-15,0,0
parity-1,test-entity-118,test:natural:t0:prandomized:c11:i18,1101,natural,11,2.6592102585709654e-05,randomized,4,s2,-29.468597412109375,1.5920256649440412e-13,0,0
parity-0,test-entity-119,test:natural:t0:prandomized:c12:i19,0011,natural,11,9.66054813034134e-06,randomized,4,s2,-17.56670379638672,2.3489700851087036e-08,0,0
parity-1,test-entity-120,test:natural:t0:prandomized:c1:i20,1000,natural,11,7.3702281042642426e-06,randomized,4,s2,-28.6397647857666,3.6467641515054716e-13,0,0
parity-0,test-entity-121,test:natural:t0:prandomized:c6:i21,0110,natural,11,0.0008189290529116988,randomized,4,s2,-35.71983337402344,3.0693017055279863e-16,0,0
parity-1,test-entity-122,test:natural:t0:prandomized:c11:i22,1101,natural,11,0.00016424166096840054,randomized,4,s2,-20.35515022277832,1.4449895724411022e-09,0,0
parity-0,test-entity-123,test:natural:t0:prandomized:c12:i23,0011,natural,11,4.181232725386508e-05,randomized,4,s2,-34.829376220703125,7.47811878389846e-16,0,0
parity-1,test-entity-124,test:natural:t0:prandomized:c1:i24,1000,natural,11,2.3778022296028212e-05,randomized,4,s2,-24.89972496032715,1.5352736443263737e-11,0,0
parity-0,test-entity-125,test:natural:t0:prandomized:c6:i25,0110,natural,11,0.00011914588685613126,randomized,4,s2,-35.153377532958984,5.408514479477561e-16,0,0
parity-1,test-entity-126,test:natural:t0:prandomized:c11:i26,1101,natural,11,0.000562343280762434,randomized,4,s2,-10.246841430664062,3.546764492057264e-05,0,0
parity-0,test-entity-127,test:natural:t0:prandomized:c12:i27,0011,natural,11,0.002274652710184455,randomized,4,s2,-8.328414916992188,0.00024149597447831184,0,0
parity-1,test-entity-128,test:natural:t0:prandomized:c1:i28,1000,natural,11,7.906483369879425e-05,randomized,4,s2,-26.913135528564453,2.0500825429620173e-12,0,0
parity-0,test-entity-129,test:natural:t0:prandomized:c6:i29,0110,natural,11,1.0410390132165048e-05,randomized,4,s2,-33.61555099487305,2.5173980128657784e-15,0,0
parity-1,test-entity-130,test:natural:t0:prandomized:c11:i30,1101,natural,11,3.866065071633784e-06,randomized,4,s2,-25.147472381591797,1.1983720439590062e-11,0,0
parity-0,test-entity-131,test:natural:t0:prandomized:c12:i31,0011,natural,11,0.012922942638397217,randomized,4,s2,-6.341421127319336,0.0017586970934644341,0,0
parity-1,test-entity-100,test:natural:t1:paligned:c1:i0,1000,natural,11,5.825227708555758e-05,aligned,4,s2,-34.81919860839844,7.554604800244339e-16,1,0
parity-0,test-entity-101,test:natural:t1:paligned:c6:i1,0110,natural,11,0.02495473623275757,aligned,4,s2,-5.570247650146484,0.0037950777914375067,1,0
parity-1,test-entity-102,test:natural:t1:paligned:c11:i2,1101,natural,11,3.642788215074688e-05,aligned,4,s2,-25.80942153930664,6.1817283063259065e-12,1,0
parity-0,test-entity-103,test:natural:t1:paligned:c12:i3,0011,natural,11,2.3798139636710403e-07,aligned,4,s2,-23.140424728393555,8.917465377233924e-11,1,0
parity-1,test-entity-104,test:natural:t1:paligned:c1:i4,1000,natural,11,0.0019011292606592178,aligned,4,s2,-8.535957336425781,0.00019624327251221985,1,0
parity-0,test-entity-105,test:natural:t1:paligned:c6:i5,0110,natural,11,7.554242620244622e-05,aligned,4,s2,-12.164482116699219,5.212312316871248e-06,1,0
parity-1,test-entity-106,test:natural:t1:paligned:c11:i6,1101,natural,11,3.9723199733998626e-05,aligned,4,s2,-28.508708953857422,4.157421206341799e-13,1,0
parity-0,test-entity-107,test:natural:t1:paligned:c12:i7,0011,natural,11,3.2934626688074786e-06,aligned,4,s2,-31.557430267333984,1.971432762317652e-14,1,0
parity-1,test-entity-108,test:natural:t1:paligned:c1:i8,1000,natural,11,3.3105686725320993e-06,aligned,4,s2,-20.52182388305664,1.2231647916749466e-09,1,0
parity-0,test-entity-109,test:natural:t1:paligned:c6:i9,0110,natural,11,2.054599917755695e-06,aligned,4,s2,-27.881927490234375,7.780957952605028e-13,1,0
parity-1,test-entity-110,test:natural:t1:paligned:c11:i10,1101,natural,11,0.00018191295384895056,aligned,4,s2,-26.14893913269043,4.40203255791527e-12,1,0
parity-0,test-entity-111,test:natural:t1:paligned:c12:i11,0011,natural,11,0.00012063877511536703,aligned,4,s2,11.660625457763672,0.9999905824661255,1,1
parity-1,test-entity-112,test:natural:t1:paligned:c1:i12,1000,natural,11,4.825265932595357e-05,aligned,4,s2,-12.805984497070312,2.7442908958619228e-06,1,0
parity-0,test-entity-113,test:natural:t1:paligned:c6:i13,0110,natural,11,2.0633269741665572e-05,aligned,4,s2,-30.08980941772461,8.553834723867837e-14,1,0
parity-1,test-entity-114,test:natural:t1:paligned:c11:i14,1101,natural,11,2.506279543013079e-06,aligned,4,s2,-24.267257690429688,2.8897773063363275e-11,1,0
parity-0,test-entity-115,test:natural:t1:paligned:c12:i15,0011,natural,11,1.576366770450477e-07,aligned,4,s2,-32.99958038330078,4.6608432614965185e-15,1,0
parity-1,test-entity-116,test:natural:t1:paligned:c1:i16,1000,natural,11,3.870927230309462e-06,aligned,4,s2,-17.426738739013672,2.701862023002377e-08,1,0
parity-0,test-entity-117,test:natural:t1:paligned:c6:i17,0110,natural,11,6.405144631571602e-06,aligned,4,s2,-29.271373748779297,1.9391175405843175e-13,1,0
parity-1,test-entity-118,test:natural:t1:paligned:c11:i18,1101,natural,11,1.7722401025821455e-05,aligned,4,s2,-30.703907012939453,4.6287277531914875e-14,1,0
parity-0,test-entity-119,test:natural:t1:paligned:c12:i19,0011,natural,11,2.552587602622225e-06,aligned,4,s2,-19.132244110107422,4.90876050918132e-09,1,0
parity-1,test-entity-120,test:natural:t1:paligned:c1:i20,1000,natural,11,3.888009814545512e-05,aligned,4,s2,-29.478483200073242,1.576362196158143e-13,1,0
parity-0,test-entity-121,test:natural:t1:paligned:c6:i21,0110,natural,11,2.3746310034766793e-05,aligned,4,s2,-28.842424392700195,2.9777891849373794e-13,1,0
parity-1,test-entity-122,test:natural:t1:paligned:c11:i22,1101,natural,11,2.2886584702064283e-05,aligned,4,s2,-25.284503936767578,1.0449090377673276e-11,1,0
parity-0,test-entity-123,test:natural:t1:paligned:c12:i23,0011,natural,11,1.5458253983524628e-05,aligned,4,s2,-30.367717742919922,6.478391228418451e-14,1,0
parity-1,test-entity-124,test:natural:t1:paligned:c1:i24,1000,natural,11,4.4808177335653454e-05,aligned,4,s2,-27.800018310546875,8.445080572350161e-13,1,0
