elapsed_seconds,loss,model_seed,step
1.1937191486358643,38.9356575012207,11,1
61.67938709259033,0.03381852060556412,11,100
122.69728398323059,8.678073936607689e-05,11,200
183.67784595489502,5.521670573216397e-06,11,300
244.48353910446167,2.9504071790142916e-06,11,400
0.6432111263275146,40.57167053222656,23,1
61.16331696510315,0.009184855967760086,23,100
122.35057520866394,1.684552989900112e-05,23,200
183.5892128944397,4.492660536925541e-06,23,300
244.76993894577026,3.4086119740095455e-06,23,400
