architecture,branching,competent_all_seeds,distractors,evaluation_axis,mean_accuracy,predicate,required_path,seed_count,seed_variance,total_depth,worst_seed_accuracy
baseline,2,1,4,depth_path,0.9722222222222222,isAncestor,6,3,0.0015432098765432113,24,0.9166666666666666
baseline,2,1,4,depth_path,0.9722222222222222,isAncestor,8,3,0.0015432098765432113,24,0.9166666666666666
baseline,2,1,4,depth_path,0.9722222222222222,isAncestor,12,3,0.0015432098765432113,24,0.9166666666666666
baseline,2,1,4,depth_path,0.9722222222222222,isAncestor,16,3,0.0015432098765432113,24,0.9166666666666666
baseline,2,1,4,depth_path,0.9861111111111112,isAncestor,1,3,0.0003858024691358018,32,0.9583333333333334
baseline,2,1,4,depth_path,0.9861111111111112,isAncestor,2,3,0.0003858024691358018,32,0.9583333333333334
baseline,2,1,4,depth_path,0.9444444444444445,isAncestor,3,3,0.0027006172839506176,32,0.875
baseline,2,1,4,depth_path,0.9861111111111112,isAncestor,4,3,0.0003858024691358018,32,0.9583333333333334
baseline,2,1,4,depth_path,0.9583333333333334,isAncestor,6,3,0.0011574074074074084,32,0.9166666666666666
baseline,2,1,4,depth_path,0.9722222222222223,isAncestor,8,3,0.0003858024691358018,32,0.9583333333333334
baseline,2,1,4,depth_path,1.0,isAncestor,12,3,0.0,32,1.0
baseline,2,1,4,depth_path,0.9861111111111112,isAncestor,16,3,0.0003858024691358018,32,0.9583333333333334
baseline,8,1,4,branching,1.0,isAncestor,3,3,0.0,8,1.0
baseline,2,1,256,distractors,0.9861111111111112,isAncestor,3,3,0.0003858024691358018,8,0.9583333333333334
depth8,2,1,4,depth_path,1.0,isAncestor,1,3,0.0,2,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,2,3,0.0,2,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,1,3,0.0,3,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,2,3,0.0,3,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,3,3,0.0,3,1.0
depth8,2,1,4,depth_path,0.9861111111111112,isAncestor,1,3,0.0003858024691358018,4,0.9583333333333334
depth8,2,1,4,depth_path,1.0,isAncestor,2,3,0.0,4,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,3,3,0.0,4,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,4,3,0.0,4,1.0
depth8,1,1,4,branching,1.0,isAncestor,3,3,0.0,8,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,1,3,0.0,5,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,2,3,0.0,5,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,3,3,0.0,5,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,4,3,0.0,5,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,1,3,0.0,6,1.0
depth8,2,1,4,depth_path,0.9861111111111112,isAncestor,2,3,0.0003858024691358018,6,0.9583333333333334
depth8,2,1,4,depth_path,1.0,isAncestor,3,3,0.0,6,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,4,3,0.0,6,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,6,3,0.0,6,1.0
depth8,2,1,0,distractors,1.0,isAncestor,3,3,0.0,8,1.0
depth8,2,1,4,depth_path,0.9861111111111112,isAncestor,1,3,0.0003858024691358018,8,0.9583333333333334
depth8,2,1,4,depth_path,0.9861111111111112,isAncestor,2,3,0.0003858024691358018,8,0.9583333333333334
depth8,2,1,4,depth_path,0.9861111111111112,isAncestor,3,3,0.0003858024691358018,8,0.9583333333333334
depth8,2,1,4,depth_path,0.9861111111111112,isAncestor,4,3,0.0003858024691358018,8,0.9583333333333334
depth8,2,1,4,depth_path,0.9861111111111112,isAncestor,6,3,0.0003858024691358018,8,0.9583333333333334
depth8,2,1,4,depth_path,0.9722222222222223,isAncestor,8,3,0.0003858024691358018,8,0.9583333333333334
depth8,2,1,4,branching,1.0,isAncestor,3,3,0.0,8,1.0
depth8,2,1,4,distractors,1.0,isAncestor,3,3,0.0,8,1.0
depth8,2,1,16,distractors,1.0,isAncestor,3,3,0.0,8,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,1,3,0.0,12,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,2,3,0.0,12,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,3,3,0.0,12,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,4,3,0.0,12,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,6,3,0.0,12,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,8,3,0.0,12,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,12,3,0.0,12,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,1,3,0.0,16,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,2,3,0.0,16,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,3,3,0.0,16,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,4,3,0.0,16,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,6,3,0.0,16,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,8,3,0.0,16,1.0
depth8,2,1,4,depth_path,1.0,isAncestor,12,3,0.0,16,1.0
depth8,2,1,4,depth_path,0.9861111111111112,isAncestor,16,3,0.0003858024691358018,16,0.9583333333333334
depth8,4,1,4,branching,0.9861111111111112,isAncestor,3,3,0.0003858024691358018,8,0.9583333333333334
depth8,2,1,64,distractors,1.0,isAncestor,3,3,0.0,8,1.0
depth8,2,1,4,depth_path,0.9722222222222222,isAncestor,1,3,0.0015432098765432113,24,0.9166666666666666
depth8,2,1,4,depth_path,0.9722222222222222,isAncestor,2,3,0.0015432098765432113,24,0.9166666666666666
depth8,2,1,4,depth_path,0.9722222222222222,isAncestor,3,3,0.0015432098765432113,24,0.9166666666666666
depth8,2,1,4,depth_path,0.9722222222222222,isAncestor,4,3,0.0015432098765432113,24,0.9166666666666666
depth8,2,1,4,depth_path,0.9722222222222222,isAncestor,6,3,0.0015432098765432113,24,0.9166666666666666
depth8,2,1,4,depth_path,0.9722222222222222,isAncestor,8,3,0.0015432098765432113,24,0.9166666666666666
depth8,2,1,4,depth_path,0.9722222222222222,isAncestor,12,3,0.0015432098765432113,24,0.9166666666666666
depth8,2,1,4,depth_path,0.9722222222222222,isAncestor,16,3,0.0015432098765432113,24,0.9166666666666666
depth8,2,1,4,depth_path,0.9305555555555557,isAncestor,1,3,0.005015432098765431,32,0.8333333333333334
depth8,2,1,4,depth_path,0.9444444444444445,isAncestor,2,3,0.0061728395061728366,32,0.8333333333333334
depth8,2,1,4,depth_path,0.9444444444444445,isAncestor,3,3,0.0061728395061728366,32,0.8333333333333334
depth8,2,1,4,depth_path,0.9444444444444445,isAncestor,4,3,0.0061728395061728366,32,0.8333333333333334
depth8,2,1,4,depth_path,0.9444444444444445,isAncestor,6,3,0.0061728395061728366,32,0.8333333333333334
depth8,2,1,4,depth_path,0.9305555555555557,isAncestor,8,3,0.005015432098765431,32,0.8333333333333334
depth8,2,1,4,depth_path,0.9444444444444445,isAncestor,12,3,0.0061728395061728366,32,0.8333333333333334
depth8,2,1,4,depth_path,0.9305555555555557,isAncestor,16,3,0.005015432098765431,32,0.8333333333333334
depth8,8,1,4,branching,0.9583333333333334,isAncestor,3,3,0.0034722222222222225,8,0.875
depth8,2,0,256,distractors,0.875,isAncestor,3,3,0.004629629629629634,8,0.7916666666666666
