architecture,elapsed_seconds,loss,model_seed,step
baseline,0.2689378261566162,49.533878326416016,11,1
baseline,35.65110397338867,0.8831693530082703,11,100
baseline,65.63556385040283,0.5046553015708923,11,200
baseline,102.16343379020691,0.036909908056259155,11,300
baseline,139.1633849143982,0.0005626905476674438,11,400
baseline,174.78480887413025,0.002760108560323715,11,500
baseline,208.25733590126038,6.864061288069934e-05,11,600
baseline,243.84869599342346,2.0321126612543594e-06,11,700
baseline,282.39143800735474,0.002105269581079483,11,800
baseline,322.06744170188904,4.758801151183434e-05,11,900
baseline,360.4801399707794,0.02955177240073681,11,1000
baseline,0.19395995140075684,46.59102249145508,23,1
baseline,31.341161012649536,0.9765010476112366,23,100
baseline,69.68432283401489,0.3507063388824463,23,200
baseline,112.33110785484314,0.005019562318921089,23,300
baseline,151.77473211288452,0.01608230546116829,23,400
baseline,188.27721405029297,4.608125163940713e-05,23,500
baseline,222.11598300933838,0.0021744014229625463,23,600
baseline,263.1429510116577,1.0321213267161511e-05,23,700
baseline,302.96263885498047,1.0923579793598037e-05,23,800
baseline,343.03548192977905,1.0803339733911344e-07,23,900
baseline,383.4433150291443,0.003515494056046009,23,1000
baseline,0.5155391693115234,46.017311096191406,37,1
baseline,34.343863010406494,1.139618992805481,37,100
baseline,1864.623057126999,0.15757828950881958,37,200
baseline,1897.5231492519379,0.017011331394314766,37,300
baseline,1939.8516821861267,0.00017878574726637453,37,400
baseline,1976.6552844047546,0.001885895850136876,37,500
baseline,2014.631753206253,5.762338696513325e-05,37,600
baseline,2054.153825044632,0.00023212374071590602,37,700
baseline,2092.880848169327,7.300232391571626e-05,37,800
baseline,2124.5014951229095,0.0013409925159066916,37,900
baseline,2160.765174150467,3.88867047149688e-05,37,1000
depth8,0.4857900142669678,42.2508659362793,11,1
depth8,69.19842100143433,0.46623069047927856,11,100
depth8,134.3437418937683,0.0431167371571064,11,200
depth8,199.30970311164856,0.025698864832520485,11,300
depth8,265.30878710746765,0.0016450334805995226,11,400
depth8,320.740846157074,0.0017545794835314155,11,500
depth8,383.82563614845276,3.110391116933897e-05,11,600
depth8,450.5459461212158,0.00020975283405277878,11,700
depth8,521.4168300628662,2.8044461942045018e-05,11,800
depth8,590.0419671535492,4.680766323872376e-06,11,900
depth8,654.2936902046204,2.1513465071620885e-06,11,1000
depth8,1.042569875717163,40.435333251953125,23,1
depth8,41.83537316322327,0.5517482161521912,23,100
depth8,61.61335206031799,0.1130242794752121,23,200
depth8,80.32416486740112,0.01075021643191576,23,300
depth8,96.6144289970398,0.0002277617168147117,23,400
depth8,112.43651413917542,0.019491009414196014,23,500
depth8,128.80995988845825,5.9555957705015317e-05,23,600
depth8,145.42064380645752,5.144137321622111e-05,23,700
depth8,161.2192840576172,4.7255043682525866e-06,23,800
depth8,177.08340096473694,1.9948886347265216e-06,23,900
depth8,193.26727294921875,1.0842146366485395e-05,23,1000
depth8,0.11041688919067383,43.052921295166016,37,1
depth8,15.918400049209595,0.826953649520874,37,100
depth8,29.416789054870605,0.18026261031627655,37,200
depth8,44.51826810836792,0.005446204449981451,37,300
depth8,61.07843589782715,0.0001672999351285398,37,400
depth8,78.1517961025238,0.0004609204188454896,37,500
depth8,93.8011212348938,0.00048812958993948996,37,600
depth8,107.19301009178162,0.0003295878414064646,37,700
depth8,124.84426498413086,0.00014898345398250967,37,800
depth8,139.63741612434387,0.0005997208063490689,37,900
depth8,156.03480887413025,2.3604443413205445e-05,37,1000
