accuracy,architecture,branching,distractors,evaluation_axis,heads,layers,mean_margin,model_seed,n,predicate,required_path,total_depth,width
1.0,baseline,2,4,depth_path,4,4,15.092202266057333,11,24,isAncestor,6,32,64
1.0,baseline,2,4,depth_path,4,4,15.303509712219238,11,24,isAncestor,8,32,64
1.0,baseline,2,4,depth_path,4,4,15.460813601811727,11,24,isAncestor,12,32,64
1.0,baseline,2,4,depth_path,4,4,15.441368500391642,11,24,isAncestor,16,32,64
1.0,baseline,8,4,branching,4,4,15.049262444178263,11,24,isAncestor,3,8,64
1.0,baseline,2,256,distractors,4,4,15.039363582928976,11,24,isAncestor,3,8,64
1.0,baseline,2,4,depth_path,4,4,14.247832298278809,23,24,isAncestor,1,2,64
1.0,baseline,2,4,depth_path,4,4,14.60728414853414,23,24,isAncestor,2,2,64
1.0,baseline,2,4,depth_path,4,4,13.578918298085531,23,24,isAncestor,1,3,64
1.0,baseline,2,4,depth_path,4,4,13.681590795516968,23,24,isAncestor,2,3,64
1.0,baseline,2,4,depth_path,4,4,13.906750361124674,23,24,isAncestor,3,3,64
1.0,baseline,2,4,depth_path,4,4,15.413098414738974,23,24,isAncestor,1,4,64
1.0,baseline,2,4,depth_path,4,4,14.806693951288858,23,24,isAncestor,2,4,64
1.0,baseline,2,4,depth_path,4,4,16.096477667490642,23,24,isAncestor,3,4,64
1.0,baseline,2,4,depth_path,4,4,15.324158589045206,23,24,isAncestor,4,4,64
1.0,baseline,1,4,branching,4,4,15.00309975941976,23,24,isAncestor,3,8,64
1.0,baseline,2,4,depth_path,4,4,15.227758804957071,23,24,isAncestor,1,5,64
1.0,baseline,2,4,depth_path,4,4,16.346561670303345,23,24,isAncestor,2,5,64
1.0,baseline,2,4,depth_path,4,4,15.169047355651855,23,24,isAncestor,3,5,64
1.0,baseline,2,4,depth_path,4,4,15.859745979309082,23,24,isAncestor,4,5,64
1.0,baseline,2,4,depth_path,4,4,14.448533535003662,23,24,isAncestor,1,6,64
1.0,baseline,2,4,depth_path,4,4,14.911284526189169,23,24,isAncestor,2,6,64
1.0,baseline,2,4,depth_path,4,4,14.368145227432251,23,24,isAncestor,3,6,64
1.0,baseline,2,4,depth_path,4,4,14.961358865102133,23,24,isAncestor,4,6,64
1.0,baseline,2,4,depth_path,4,4,13.513705650965372,23,24,isAncestor,6,6,64
1.0,baseline,2,0,distractors,4,4,14.838758707046509,23,24,isAncestor,3,8,64
1.0,baseline,2,4,depth_path,4,4,15.035204569498697,23,24,isAncestor,1,8,64
1.0,baseline,2,4,depth_path,4,4,15.426813999811808,23,24,isAncestor,2,8,64
1.0,baseline,2,4,depth_path,4,4,14.972387313842773,23,24,isAncestor,3,8,64
1.0,baseline,2,4,depth_path,4,4,15.423093795776367,23,24,isAncestor,4,8,64
1.0,baseline,2,4,depth_path,4,4,15.49325188000997,23,24,isAncestor,6,8,64
1.0,baseline,2,4,depth_path,4,4,15.14298677444458,23,24,isAncestor,8,8,64
1.0,baseline,2,4,branching,4,4,15.926955858866373,23,24,isAncestor,3,8,64
1.0,baseline,2,4,distractors,4,4,15.416544755299887,23,24,isAncestor,3,8,64
1.0,baseline,2,16,distractors,4,4,15.969787120819092,23,24,isAncestor,3,8,64
1.0,baseline,2,4,depth_path,4,4,15.371344407399496,23,24,isAncestor,1,12,64
1.0,baseline,2,4,depth_path,4,4,16.107501745224,23,24,isAncestor,2,12,64
1.0,baseline,2,4,depth_path,4,4,15.52318533261617,23,24,isAncestor,3,12,64
1.0,baseline,2,4,depth_path,4,4,16.24462167421977,23,24,isAncestor,4,12,64
1.0,baseline,2,4,depth_path,4,4,15.471476157506308,23,24,isAncestor,6,12,64
1.0,baseline,2,4,depth_path,4,4,15.692970752716064,23,24,isAncestor,8,12,64
1.0,baseline,2,4,depth_path,4,4,15.717199484507242,23,24,isAncestor,12,12,64
1.0,baseline,2,4,depth_path,4,4,14.594726085662842,23,24,isAncestor,1,16,64
1.0,baseline,2,4,depth_path,4,4,14.300248861312866,23,24,isAncestor,2,16,64
1.0,baseline,2,4,depth_path,4,4,14.621463060379028,23,24,isAncestor,3,16,64
1.0,baseline,2,4,depth_path,4,4,14.722119172414144,23,24,isAncestor,4,16,64
1.0,baseline,2,4,depth_path,4,4,14.575422366460165,23,24,isAncestor,6,16,64
1.0,baseline,2,4,depth_path,4,4,14.472609440485636,23,24,isAncestor,8,16,64
1.0,baseline,2,4,depth_path,4,4,14.73931852976481,23,24,isAncestor,12,16,64
1.0,baseline,2,4,depth_path,4,4,14.339049418767294,23,24,isAncestor,16,16,64
1.0,baseline,4,4,branching,4,4,14.49067242940267,23,24,isAncestor,3,8,64
1.0,baseline,2,64,distractors,4,4,16.278262456258137,23,24,isAncestor,3,8,64
1.0,baseline,2,4,depth_path,4,4,15.218027909596762,23,24,isAncestor,1,24,64
