architecture,extrapolation_accuracy,extrapolation_gap,extrapolation_n,predicate,shallow_n,train_regime_accuracy
baseline,0.9888211382113821,0.005970528455284563,2952,isAncestor,576,0.9947916666666666
depth8,0.9800135501355014,0.01825033875338744,2952,isAncestor,576,0.9982638888888888
