head,layer,motif_specificity
0,0,0.002449974337926708
1,0,0.012553871388924387
2,0,0.12302141166673808
3,0,0.025469318321285184
0,1,0.02310859396118048
1,1,0.006556602145821877
2,1,0.043301468924886066
3,1,0.2696595229319543
0,2,0.07634197328476888
1,2,0.10591643508699156
2,2,0.24585863025173216
3,2,0.13131816915156103
0,3,0.020008643651188818
1,3,0.07274243926454804
2,3,0.05783450102283716
3,3,0.07285323978501101
