axis,cell_id,dependency_span,example_index,family_id,generator_family,head_count,layer,location,margin_increment,model_depth,model_seed,model_width,nuisance_count,parameter_count,predictive_order,raw_length,requested_dependency_span,target_margin,target_rank,top1_correct,training_budget,training_steps
predictive_order,3c1c7bde239d,1,11,"p1:(0,):11",necessary_pattern,4,2,post_ff,0.1527872085571289,2,11,64,0,85504,1,12,4,-0.3759899139404297,4,0,1,400
predictive_order,3c1c7bde239d,1,12,"p1:(0,):12",necessary_pattern,4,0,embedding,,2,11,64,0,85504,1,12,4,-43.63709259033203,105,0,1,400
predictive_order,3c1c7bde239d,1,12,"p1:(0,):12",necessary_pattern,4,1,post_sa,36.01237106323242,2,11,64,0,85504,1,12,4,-7.624721527099609,8,0,1,400
predictive_order,3c1c7bde239d,1,12,"p1:(0,):12",necessary_pattern,4,1,post_ff,6.328949928283691,2,11,64,0,85504,1,12,4,-1.295771598815918,3,0,1,400
predictive_order,3c1c7bde239d,1,12,"p1:(0,):12",necessary_pattern,4,2,post_sa,0.7669944763183594,2,11,64,0,85504,1,12,4,-0.5287771224975586,3,0,1,400
predictive_order,3c1c7bde239d,1,12,"p1:(0,):12",necessary_pattern,4,2,post_ff,0.1527872085571289,2,11,64,0,85504,1,12,4,-0.3759899139404297,4,0,1,400
predictive_order,3c1c7bde239d,1,13,"p1:(0,):13",necessary_pattern,4,0,embedding,,2,11,64,0,85504,1,12,4,-43.63709259033203,105,0,1,400
predictive_order,3c1c7bde239d,1,13,"p1:(0,):13",necessary_pattern,4,1,post_sa,36.01237106323242,2,11,64,0,85504,1,12,4,-7.624721527099609,8,0,1,400
predictive_order,3c1c7bde239d,1,13,"p1:(0,):13",necessary_pattern,4,1,post_ff,6.328949928283691,2,11,64,0,85504,1,12,4,-1.295771598815918,3,0,1,400
predictive_order,3c1c7bde239d,1,13,"p1:(0,):13",necessary_pattern,4,2,post_sa,0.7669944763183594,2,11,64,0,85504,1,12,4,-0.5287771224975586,3,0,1,400
predictive_order,3c1c7bde239d,1,13,"p1:(0,):13",necessary_pattern,4,2,post_ff,0.1527872085571289,2,11,64,0,85504,1,12,4,-0.3759899139404297,4,0,1,400
predictive_order,3c1c7bde239d,1,14,"p1:(0,):14",necessary_pattern,4,0,embedding,,2,11,64,0,85504,1,12,4,-43.63709259033203,105,0,1,400
predictive_order,3c1c7bde239d,1,14,"p1:(0,):14",necessary_pattern,4,1,post_sa,36.01237106323242,2,11,64,0,85504,1,12,4,-7.624721527099609,8,0,1,400
predictive_order,3c1c7bde239d,1,14,"p1:(0,):14",necessary_pattern,4,1,post_ff,6.328949928283691,2,11,64,0,85504,1,12,4,-1.295771598815918,3,0,1,400
predictive_order,3c1c7bde239d,1,14,"p1:(0,):14",necessary_pattern,4,2,post_sa,0.7669944763183594,2,11,64,0,85504,1,12,4,-0.5287771224975586,3,0,1,400
predictive_order,3c1c7bde239d,1,14,"p1:(0,):14",necessary_pattern,4,2,post_ff,0.1527872085571289,2,11,64,0,85504,1,12,4,-0.3759899139404297,4,0,1,400
predictive_order,3c1c7bde239d,1,15,"p1:(1,):15",necessary_pattern,4,0,embedding,,2,11,64,0,85504,1,12,4,-35.39372253417969,41,0,1,400
predictive_order,3c1c7bde239d,1,15,"p1:(1,):15",necessary_pattern,4,1,post_sa,30.896482467651367,2,11,64,0,85504,1,12,4,-4.49724006652832,3,0,1,400
predictive_order,3c1c7bde239d,1,15,"p1:(1,):15",necessary_pattern,4,1,post_ff,5.04667854309082,2,11,64,0,85504,1,12,4,0.5494384765625,1,1,1,400
predictive_order,3c1c7bde239d,1,15,"p1:(1,):15",necessary_pattern,4,2,post_sa,0.037491798400878906,2,11,64,0,85504,1,12,4,0.5869302749633789,1,1,1,400
