accuracy,axis,cell_id,competent,examples,generator_family,head_count,mean_margin,mean_rank,mean_stable_layer_when_correct,model_depth,model_seed,model_width,nuisance_count,predictive_order,raw_length,requested_dependency_span,training_budget
0.28125,dependency_span,0c9a5ad51bfa,0,32,skip_gram,4,-0.13619256019592285,2.53125,1.4444444444444444,2,11,64,0,2,12,8,1
0.28125,dependency_span,239494a22bda,0,32,skip_gram,4,-0.1379113495349884,2.53125,1.4444444444444444,2,11,64,0,2,12,4,1
0.28125,dependency_span,516d5f3a8cea,0,32,skip_gram,4,-0.13898351788520813,2.53125,1.4444444444444444,2,11,64,0,2,12,2,1
0.125,dependency_span,7a494b2e93f4,0,32,skip_gram,4,-0.13567295670509338,2.6875,2.0,2,11,64,0,2,12,16,1
0.3125,dependency_span,cdd05bfab044,0,32,skip_gram,4,-0.1373090147972107,2.5,1.4,2,11,64,0,2,12,32,1
0.1875,generator_family,64e7c9b15cd9,0,32,contiguous,4,-0.1340111494064331,2.625,1.6666666666666667,2,11,64,0,2,12,2,1
0.1875,generator_family,cd72217c00e4,0,32,necessary_pattern,4,-0.13466554880142212,2.625,1.6666666666666667,2,11,64,0,2,12,4,1
0.28125,generator_family,dad81f86a87c,0,32,skip_gram,4,-0.1379113495349884,2.53125,1.4444444444444444,2,11,64,0,2,12,4,1
0.1875,nuisance,0ebbf95b3e38,0,32,necessary_pattern,4,-0.14038938283920288,2.625,1.6666666666666667,2,11,64,4,2,12,4,1
0.28125,nuisance,7a6b0b00032a,0,32,necessary_pattern,4,-0.15466487407684326,2.53125,1.3333333333333333,2,11,64,8,2,12,4,1
0.1875,nuisance,888714c4e48e,0,32,necessary_pattern,4,-0.13466554880142212,2.625,1.6666666666666667,2,11,64,0,2,12,4,1
0.1875,nuisance,9fe6cfcfa630,0,32,necessary_pattern,4,-0.17579501867294312,2.625,1.6666666666666667,2,11,64,16,2,12,4,1
0.125,nuisance,b7046cfe3bf0,0,32,necessary_pattern,4,-0.20341253280639648,2.6875,2.0,2,11,64,32,2,12,4,1
0.1875,nuisance,ca9c5624dbda,0,32,necessary_pattern,4,-0.13666057586669922,2.625,1.6666666666666667,2,11,64,2,2,12,4,1
0.375,predictive_order,2368e64e6ae0,0,32,necessary_pattern,4,-0.11026909947395325,2.34375,1.75,2,11,64,0,3,12,4,1
0.1875,predictive_order,30712ebe71a9,0,32,necessary_pattern,4,-0.1576416790485382,2.65625,1.1666666666666667,2,11,64,0,8,12,8,1
0.4375,predictive_order,3c1c7bde239d,0,32,necessary_pattern,4,-0.08832889795303345,2.375,1.5714285714285714,2,11,64,0,1,12,4,1
0.1875,predictive_order,96300ccbcaee,0,32,necessary_pattern,4,-0.19448450207710266,2.78125,1.8333333333333333,2,11,64,0,6,12,6,1
0.21875,predictive_order,a5891a5b16d7,0,32,necessary_pattern,4,-0.14961689710617065,2.625,1.7142857142857142,2,11,64,0,12,12,12,1
0.21875,predictive_order,ecae3be4326f,0,32,necessary_pattern,4,-0.17044851183891296,2.78125,1.7142857142857142,2,11,64,0,4,12,4,1
0.1875,predictive_order,f306bd7c1d91,0,32,necessary_pattern,4,-0.13466554880142212,2.625,1.6666666666666667,2,11,64,0,2,12,4,1
0.1875,raw_length,07cdc0054772,0,32,necessary_pattern,4,-0.13578972220420837,2.625,1.6666666666666667,2,11,64,0,2,2,4,1
0.1875,raw_length,5b3975d8947d,0,32,necessary_pattern,4,-0.13578972220420837,2.625,1.6666666666666667,2,11,64,0,2,3,4,1
0.125,raw_length,5bed8b907b14,0,32,necessary_pattern,4,-0.13577356934547424,2.6875,2.0,2,11,64,0,2,16,4,1
0.1875,raw_length,6ee96a3ceda6,0,32,necessary_pattern,4,-0.13133138418197632,2.625,1.6666666666666667,2,11,64,0,2,8,4,1
0.1875,raw_length,9cb22f271bee,0,32,necessary_pattern,4,-0.14573821425437927,2.625,1.6666666666666667,2,11,64,0,2,24,4,1
0.1875,raw_length,dcb8f7366193,0,32,necessary_pattern,4,-0.13466554880142212,2.625,1.6666666666666667,2,11,64,0,2,12,4,1
0.1875,raw_length,def8612efd03,0,32,necessary_pattern,4,-0.13251206278800964,2.625,1.6666666666666667,2,11,64,0,2,6,4,1
0.1875,raw_length,e9e9842f144b,0,32,necessary_pattern,4,-0.13578972220420837,2.625,1.6666666666666667,2,11,64,0,2,4,4,1
0.25,dependency_span,0c9a5ad51bfa,0,32,skip_gram,4,-0.5203913450241089,2.65625,1.0,2,23,64,0,2,12,8,1
0.25,dependency_span,239494a22bda,0,32,skip_gram,4,-0.5211585760116577,2.65625,1.0,2,23,64,0,2,12,4,1
0.25,dependency_span,516d5f3a8cea,0,32,skip_gram,4,-0.5206559300422668,2.65625,1.0,2,23,64,0,2,12,2,1
0.25,dependency_span,7a494b2e93f4,0,32,skip_gram,4,-0.5246199369430542,2.65625,1.0,2,23,64,0,2,12,16,1
0.25,dependency_span,cdd05bfab044,0,32,skip_gram,4,-0.5240651965141296,2.65625,1.0,2,23,64,0,2,12,32,1
0.25,generator_family,64e7c9b15cd9,0,32,contiguous,4,-0.5210390686988831,2.65625,1.0,2,23,64,0,2,12,2,1
0.25,generator_family,cd72217c00e4,0,32,necessary_pattern,4,-0.5215656161308289,2.65625,1.0,2,23,64,0,2,12,4,1
0.25,generator_family,dad81f86a87c,0,32,skip_gram,4,-0.5211585760116577,2.65625,1.0,2,23,64,0,2,12,4,1
0.25,nuisance,0ebbf95b3e38,0,32,necessary_pattern,4,-0.5284311175346375,2.65625,1.0,2,23,64,4,2,12,4,1
0.25,nuisance,7a6b0b00032a,0,32,necessary_pattern,4,-0.5362281203269958,2.65625,1.0,2,23,64,8,2,12,4,1
0.25,nuisance,888714c4e48e,0,32,necessary_pattern,4,-0.5215656161308289,2.65625,1.0,2,23,64,0,2,12,4,1
0.25,nuisance,9fe6cfcfa630,0,32,necessary_pattern,4,-0.5543212890625,2.65625,1.0,2,23,64,16,2,12,4,1
0.25,nuisance,b7046cfe3bf0,0,32,necessary_pattern,4,-0.5983151197433472,2.65625,1.0,2,23,64,32,2,12,4,1
0.25,nuisance,ca9c5624dbda,0,32,necessary_pattern,4,-0.524705708026886,2.65625,1.0,2,23,64,2,2,12,4,1
0.28125,predictive_order,2368e64e6ae0,0,32,necessary_pattern,4,-0.4413391947746277,2.34375,1.0,2,23,64,0,3,12,4,1
0.21875,predictive_order,30712ebe71a9,0,32,necessary_pattern,4,-0.5880514979362488,2.6875,1.0,2,23,64,0,8,12,8,1
0.3125,predictive_order,3c1c7bde239d,0,32,necessary_pattern,4,-0.36066877841949463,2.375,1.0,2,23,64,0,1,12,4,1
0.40625,predictive_order,96300ccbcaee,0,32,necessary_pattern,4,-0.25934886932373047,2.21875,1.0,2,23,64,0,6,12,6,1
0.28125,predictive_order,a5891a5b16d7,0,32,necessary_pattern,4,-0.49158018827438354,2.53125,1.0,2,23,64,0,12,12,12,1
0.25,predictive_order,ecae3be4326f,0,32,necessary_pattern,4,-0.5440070033073425,2.6875,1.0,2,23,64,0,4,12,4,1
0.25,predictive_order,f306bd7c1d91,0,32,necessary_pattern,4,-0.5215656161308289,2.65625,1.0,2,23,64,0,2,12,4,1
0.25,raw_length,07cdc0054772,0,32,necessary_pattern,4,-0.5242023468017578,2.65625,1.0,2,23,64,0,2,2,4,1
0.25,raw_length,5b3975d8947d,0,32,necessary_pattern,4,-0.5242023468017578,2.65625,1.0,2,23,64,0,2,3,4,1
0.25,raw_length,5bed8b907b14,0,32,necessary_pattern,4,-0.5253767967224121,2.65625,1.0,2,23,64,0,2,16,4,1
0.25,raw_length,6ee96a3ceda6,0,32,necessary_pattern,4,-0.5282270312309265,2.65625,1.0,2,23,64,0,2,8,4,1
0.25,raw_length,9cb22f271bee,0,32,necessary_pattern,4,-0.5274398326873779,2.65625,1.0,2,23,64,0,2,24,4,1
0.25,raw_length,dcb8f7366193,0,32,necessary_pattern,4,-0.5215656161308289,2.65625,1.0,2,23,64,0,2,12,4,1
0.25,raw_length,def8612efd03,0,32,necessary_pattern,4,-0.5279836058616638,2.65625,1.0,2,23,64,0,2,6,4,1
0.25,raw_length,e9e9842f144b,0,32,necessary_pattern,4,-0.5242023468017578,2.65625,1.0,2,23,64,0,2,4,4,1
1,dependency_span,0c9a5ad51bfa,1,32,skip_gram,4,4.763701021671295,1,1.21875,2,37,64,0,2,12,8,1
1,dependency_span,239494a22bda,1,32,skip_gram,4,3.5251490473747253,1,1.28125,2,37,64,0,2,12,4,1
0.84375,dependency_span,516d5f3a8cea,1,32,skip_gram,4,3.6092199087142944,1.15625,1.3333333333333333,2,37,64,0,2,12,2,1
1,dependency_span,7a494b2e93f4,1,32,skip_gram,4,5.1258944272994995,1,1.21875,2,37,64,0,2,12,16,1
1,dependency_span,cdd05bfab044,1,32,skip_gram,4,4.658717632293701,1,1.21875,2,37,64,0,2,12,32,1
0.84375,generator_family,64e7c9b15cd9,1,32,contiguous,4,3.110922336578369,1.15625,1.1111111111111112,2,37,64,0,2,12,2,1
1,generator_family,cd72217c00e4,1,32,necessary_pattern,4,5.368736267089844,1,1.1875,2,37,64,0,2,12,4,1
1,generator_family,dad81f86a87c,1,32,skip_gram,4,3.5251490473747253,1,1.28125,2,37,64,0,2,12,4,1
