base_length,behavioral_target_crossing_layer,divergence_minus_crossing,extension_length,family_id,model_seed,position_mode,relation_type,representational_divergence_layer
3,,,1,refining_extension:n3:k1:f11,11,aligned,refining_extension,
3,1,,1,refining_extension:n3:k1:f12,11,aligned,refining_extension,
3,1,0,1,refining_extension:n3:k1:f13,11,aligned,refining_extension,1
3,,,1,refining_extension:n3:k1:f14,11,aligned,refining_extension,
3,0,6,1,refining_extension:n3:k1:f15,11,aligned,refining_extension,6
3,0,,2,refining_extension:n3:k2:f0,11,aligned,refining_extension,
3,0,,2,refining_extension:n3:k2:f1,11,aligned,refining_extension,
3,,,2,refining_extension:n3:k2:f2,11,aligned,refining_extension,
3,5,,2,refining_extension:n3:k2:f3,11,aligned,refining_extension,
3,0,,2,refining_extension:n3:k2:f4,11,aligned,refining_extension,
3,0,,2,refining_extension:n3:k2:f5,11,aligned,refining_extension,
3,2,,2,refining_extension:n3:k2:f6,11,aligned,refining_extension,
3,1,,2,refining_extension:n3:k2:f7,11,aligned,refining_extension,
3,,,2,refining_extension:n3:k2:f8,11,aligned,refining_extension,
3,0,1,2,refining_extension:n3:k2:f9,11,aligned,refining_extension,1
3,,,2,refining_extension:n3:k2:f10,11,aligned,refining_extension,
3,0,3,2,refining_extension:n3:k2:f11,11,aligned,refining_extension,3
