base_length,block_update_cosine,extension_length,family_id,ff_update_cosine,layer,long_target_alignment,model_seed,nonequivalent_update_cosine,normalized_retention,position_mode,relation_type,sa_update_cosine,short_target_alignment,target_preserved,trained
2,0.29451873898506165,1,irrelevant_extension:n2:k1:f0,0.867976725101471,0,0.14542345702648163,11,0.2618836462497711,0.044214021983477,aligned,irrelevant_extension,-0.13470464944839478,0.14542345702648163,1,1
2,0.6761490702629089,1,irrelevant_extension:n2:k1:f0,0.1515795886516571,1,0.3029671609401703,11,0.2907213270664215,0.5434080529433505,aligned,irrelevant_extension,0.75182044506073,0.3029671609401703,1,1
2,0.3911078870296478,1,irrelevant_extension:n2:k1:f0,0.9045957326889038,2,0.1935410499572754,11,0.2881636917591095,0.14461779194758845,aligned,irrelevant_extension,-0.08538639545440674,0.1935410499572754,1,1
2,-0.004545964300632477,1,irrelevant_extension:n2:k1:f0,-0.05568104237318039,3,0.2658303380012512,11,0.007165069691836834,-0.011795549917888976,aligned,irrelevant_extension,0.03285634145140648,0.2658303380012512,1,1
2,0.2127397209405899,1,irrelevant_extension:n2:k1:f0,-0.491435170173645,4,0.234225332736969,11,0.7389762997627258,-2.016049026688881,aligned,irrelevant_extension,0.7718930244445801,0.234225332736969,1,1
2,0.8885313272476196,1,irrelevant_extension:n2:k1:f0,-0.22308529913425446,5,0.24046213924884796,11,0.9310163855552673,-0.6158717259707168,aligned,irrelevant_extension,0.8864635825157166,0.24046213924884796,1,1
2,0.24078050255775452,1,irrelevant_extension:n2:k1:f1,0.8635044693946838,0,0.1454925239086151,11,0.3774261772632599,-0.21948509477212938,aligned,irrelevant_extension,-0.278874933719635,0.1454925239086151,1,1
2,0.43506941199302673,1,irrelevant_extension:n2:k1:f1,0.4122255742549896,1,0.3168462812900543,11,0.7502377033233643,-1.2618729658644563,aligned,irrelevant_extension,0.3924727141857147,0.3168462812900543,1,1
2,0.841094970703125,1,irrelevant_extension:n2:k1:f1,0.7148543000221252,2,0.19688713550567627,11,0.7658362984657288,0.3213934159004925,aligned,irrelevant_extension,0.8110364079475403,0.19688713550567627,1,1
2,-0.07357703894376755,1,irrelevant_extension:n2:k1:f1,0.12169699370861053,3,0.2838749885559082,11,0.27808868885040283,-0.48713148260142086,aligned,irrelevant_extension,0.16269747912883759,0.2838749885559082,1,1
2,0.21166914701461792,1,irrelevant_extension:n2:k1:f1,-0.33534571528434753,4,0.22504951059818268,11,0.8184855580329895,-3.343075080414719,aligned,irrelevant_extension,0.6453297138214111,0.22504951059818268,1,1
2,0.2405591458082199,1,irrelevant_extension:n2:k1:f1,-0.467682421207428,5,0.23990267515182495,11,0.9616952538490295,-18.826285556685615,aligned,irrelevant_extension,0.5620265007019043,0.23990267515182495,1,1
2,0.26174747943878174,1,irrelevant_extension:n2:k1:f2,0.858690619468689,0,0.22451502084732056,11,0.193455308675766,0.08467251897252835,aligned,irrelevant_extension,-0.24869932234287262,0.22451502084732056,1,1
2,0.35214337706565857,1,irrelevant_extension:n2:k1:f2,0.3390619456768036,1,0.2236470878124237,11,0.4885687530040741,-0.26675213232082823,aligned,irrelevant_extension,0.2793257534503937,0.2236470878124237,1,1
2,0.2933524250984192,1,irrelevant_extension:n2:k1:f2,0.1650351583957672,2,0.1487518697977066,11,0.7214246392250061,-1.5366477903826326,aligned,irrelevant_extension,0.34271278977394104,0.1487518697977066,1,1
2,-0.00024306448176503181,1,irrelevant_extension:n2:k1:f2,0.12927183508872986,3,0.1737116426229477,11,0.3638116121292114,-0.5722435099093216,aligned,irrelevant_extension,-0.05569666251540184,0.1737116426229477,1,1
2,0.737312376499176,1,irrelevant_extension:n2:k1:f2,0.7097943425178528,4,0.15392759442329407,11,0.6375457644462585,0.2752529891815045,aligned,irrelevant_extension,0.5320500731468201,0.15392759442329407,1,1
2,0.931268572807312,1,irrelevant_extension:n2:k1:f2,0.9762511253356934,5,0.1624719351530075,11,0.7452588677406311,0.730191087268549,aligned,irrelevant_extension,-0.11170696467161179,0.1624719351530075,1,1
2,0.20209166407585144,1,irrelevant_extension:n2:k1:f3,0.830047607421875,0,0.22241508960723877,11,0.2648910880088806,-0.08542873419600047,aligned,irrelevant_extension,-0.35416147112846375,0.22241508960723877,1,1
2,-0.005567409098148346,1,irrelevant_extension:n2:k1:f3,0.17810486257076263,1,0.12243591994047165,11,0.7683320641517639,-3.340554950238487,aligned,irrelevant_extension,-0.09480538219213486,0.12243591994047165,1,1
2,0.9020865559577942,1,irrelevant_extension:n2:k1:f3,0.8022273182868958,2,0.28088220953941345,11,0.7643834352493286,0.5844373474748907,aligned,irrelevant_extension,0.8241432905197144,0.28088220953941345,1,1
2,0.4395936131477356,1,irrelevant_extension:n2:k1:f3,0.22446653246879578,3,0.32059505581855774,11,-0.585702121257782,0.6465878553190452,aligned,irrelevant_extension,0.5663394927978516,0.32059505581855774,1,1
2,0.5452291965484619,1,irrelevant_extension:n2:k1:f3,-0.07038259506225586,4,0.3689016103744507,11,0.605860710144043,-0.15383270585357492,aligned,irrelevant_extension,0.758422315120697,0.3689016103744507,1,1
2,-0.6847410798072815,1,irrelevant_extension:n2:k1:f3,0.023252449929714203,5,0.3373330533504486,11,0.7089511752128601,-4.788517016864469,aligned,irrelevant_extension,-0.7510404586791992,0.3373330533504486,1,1
2,0.31888246536254883,1,irrelevant_extension:n2:k1:f4,0.8590672612190247,0,0.2885878384113312,11,0.2243565171957016,0.12186777835510954,aligned,irrelevant_extension,-0.49765849113464355,0.2885878384113312,1,1
2,0.4888863265514374,1,irrelevant_extension:n2:k1:f4,0.1595325469970703,1,0.23743003606796265,11,0.5027278661727905,-0.02783493916497606,aligned,irrelevant_extension,0.42521175742149353,0.23743003606796265,1,1
2,0.400749146938324,1,irrelevant_extension:n2:k1:f4,0.794343888759613,2,0.3101639449596405,11,0.7814856171607971,-1.742386306718572,aligned,irrelevant_extension,0.3115731179714203,0.3101639449596405,1,1
2,0.09468325972557068,1,irrelevant_extension:n2:k1:f4,-0.032919991761446,3,0.23066042363643646,11,0.1191759929060936,-0.027806613983564012,aligned,irrelevant_extension,0.375742644071579,0.23066042363643646,1,1
2,0.8563641309738159,1,irrelevant_extension:n2:k1:f4,0.8485053181648254,4,0.25571587681770325,11,-0.24655702710151672,0.8847739278764174,aligned,irrelevant_extension,0.7728013396263123,0.25571587681770325,1,1
2,-0.5162106156349182,1,irrelevant_extension:n2:k1:f4,0.23833167552947998,5,0.343746542930603,11,0.6927849650382996,-3.935339873221373,aligned,irrelevant_extension,-0.5203919410705566,0.343746542930603,1,1
2,0.25719940662384033,1,irrelevant_extension:n2:k1:f5,0.5823261141777039,0,0.22739531099796295,11,0.20238834619522095,0.06871898134692474,aligned,irrelevant_extension,0.15432393550872803,0.22739531099796295,1,1
2,0.657101035118103,1,irrelevant_extension:n2:k1:f5,0.7453992366790771,1,0.21943503618240356,11,-0.07688450813293457,0.6815824139229323,aligned,irrelevant_extension,0.5922855734825134,0.21943503618240356,1,1
2,0.6674531102180481,1,irrelevant_extension:n2:k1:f5,0.35105711221694946,2,0.13068830966949463,11,0.8989533185958862,-2.291022355904813,aligned,irrelevant_extension,0.5797622799873352,0.13068830966949463,1,1
2,0.06960615515708923,1,irrelevant_extension:n2:k1:f5,-0.19981077313423157,3,0.1559523046016693,11,0.44635671377182007,-0.6804933199875608,aligned,irrelevant_extension,0.3189135193824768,0.1559523046016693,1,1
