extension_length,layer,metric_type,model_seed,n,short_level,similarity
4,2,head_utility,37,32,3,nan
4,3,head_utility,37,32,3,nan
4,4,head_utility,37,32,3,nan
4,5,head_utility,37,32,3,nan
1,0,head_utility,37,32,4,-0.31477980385328963
1,1,head_utility,37,32,4,0.08125
1,2,head_utility,37,32,4,0.05033807845868411
1,3,head_utility,37,32,4,-0.034882117688026196
1,4,head_utility,37,32,4,-0.07841704931934883
1,5,head_utility,37,32,4,nan
2,0,head_utility,37,32,4,-0.006588078458684123
2,1,head_utility,37,32,4,-0.0062500000000000125
2,2,head_utility,37,32,4,nan
2,3,head_utility,37,32,4,nan
2,4,head_utility,37,32,4,nan
2,5,head_utility,37,32,4,nan
4,0,head_utility,37,32,4,0.006250000000000019
4,1,head_utility,37,32,4,0.23124999999999998
4,2,head_utility,37,32,4,0.02499999999999998
4,3,head_utility,37,32,4,0.09113211768802618
4,4,head_utility,37,32,4,-0.125
4,5,head_utility,37,32,4,nan
