loss,step
16.732540130615234,1
0.7060548067092896,50
0.6943774223327637,100
0.6434518098831177,150
0.7620161175727844,200
0.5993970036506653,250
0.5120494365692139,300
0.6437439918518066,350
0.34545016288757324,400
0.40410926938056946,450
0.19549201428890228,500
0.20459996163845062,550
0.2902791500091553,600
0.14440561830997467,650
0.17465689778327942,700
0.29669612646102905,750
0.4110484719276428,800
0.14880312979221344,850
0.1504361927509308,900
0.17524118721485138,950
0.322017103433609,1000
0.06665714830160141,1050
0.13409405946731567,1100
0.05716191604733467,1150
0.09733334183692932,1200
0.060117051005363464,1250
0.1629115790128708,1300
0.011662853881716728,1350
0.04692239314317703,1400
0.04875379428267479,1450
0.23211009800434113,1500
0.05788091942667961,1550
0.12186402827501297,1600
0.07450003176927567,1650
0.04685196653008461,1700
0.09140660613775253,1750
0.09986450523138046,1800
0.018523307517170906,1850
0.06886404752731323,1900
0.060576967895030975,1950
0.18576699495315552,2000
0.18527260422706604,2050
0.05679784715175629,2100
0.15563532710075378,2150
0.1630859524011612,2200
0.23249588906764984,2250
0.24548648297786713,2300
0.14069914817810059,2350
0.10945378988981247,2400
0.12523019313812256,2450
0.15077649056911469,2500
0.2542286813259125,2550
0.03722139075398445,2600
0.26109811663627625,2650
0.0077910032123327255,2700
0.0470893420279026,2750
0.010621829889714718,2800
0.016525734215974808,2850
0.09971245378255844,2900
0.003209405578672886,2950
0.05131996050477028,3000
0.007892455905675888,3050
0.050483886152505875,3100
0.012296494096517563,3150
0.09271518141031265,3200
