architecture,loss,machine,seed,step
deep_full,39.443031311035156,M3,11,1
deep_full,4.778324127197266,M3,11,50
deep_full,3.4393742084503174,M3,11,100
deep_full,3.290358304977417,M3,11,150
deep_full,2.2223522663116455,M3,11,200
deep_full,0.33559489250183105,M3,11,250
deep_full,0.006822818890213966,M3,11,300
deep_full,0.0007844604551792145,M3,11,350
deep_full,0.00030329226865433156,M3,11,400
deep_full,0.0009810399496927857,M3,11,450
deep_full,6.346718146232888e-05,M3,11,500
deep_full,0.0008064873400144279,M3,11,550
deep_full,0.00011918373638764024,M3,11,600
deep_full,7.77778695919551e-05,M3,11,650
deep_full,0.0002698254829738289,M3,11,700
deep_full,0.00014576752437278628,M3,11,750
deep_full,4.7944060497684404e-05,M3,11,800
deep_full,2.4873852453310974e-05,M3,11,850
deep_full,6.373613723553717e-05,M3,11,900
deep_full,0.0001278054842259735,M3,11,950
deep_full,3.257290518376976e-05,M3,11,1000
deep_full,36.33893966674805,M3,23,1
deep_full,5.017482280731201,M3,23,50
deep_full,3.804098129272461,M3,23,100
deep_full,3.3925654888153076,M3,23,150
deep_full,2.5169594287872314,M3,23,200
deep_full,0.012795311398804188,M3,23,250
deep_full,0.0037180206272751093,M3,23,300
deep_full,0.00023625518952030689,M3,23,350
deep_full,0.00021489868231583387,M3,23,400
deep_full,0.00010817415750352666,M3,23,450
deep_full,7.064383680699393e-05,M3,23,500
deep_full,0.0005302475765347481,M3,23,550
deep_full,0.00023666083870921284,M3,23,600
deep_full,0.0003393851511646062,M3,23,650
deep_full,0.0002812294114846736,M3,23,700
deep_full,0.0016243435675278306,M3,23,750
deep_full,9.062172466656193e-05,M3,23,800
deep_full,0.0028480570763349533,M3,23,850
deep_full,3.0036235330044292e-05,M3,23,900
deep_full,8.948321919888258e-05,M3,23,950
deep_full,4.346388959675096e-05,M3,23,1000
deep_full,30.526992797851562,M3,37,1
deep_full,5.194406509399414,M3,37,50
deep_full,3.5563507080078125,M3,37,100
deep_full,3.626765012741089,M3,37,150
deep_full,3.5569772720336914,M3,37,200
deep_full,1.9775967597961426,M3,37,250
deep_full,0.18274688720703125,M3,37,300
deep_full,0.002441082149744034,M3,37,350
deep_full,0.0027695659082382917,M3,37,400
deep_full,0.0015787846641615033,M3,37,450
deep_full,0.0032074020709842443,M3,37,500
deep_full,0.0005437470390461385,M3,37,550
deep_full,0.0005101154092699289,M3,37,600
deep_full,0.0009898310527205467,M3,37,650
deep_full,0.0002724149962887168,M3,37,700
deep_full,0.00029204515158198774,M3,37,750
deep_full,0.00027004556613974273,M3,37,800
deep_full,7.02841134625487e-05,M3,37,850
deep_full,0.0001958251668838784,M3,37,900
deep_full,0.00012943630281370133,M3,37,950
deep_full,0.0001625393924769014,M3,37,1000
deep_full,42.144107818603516,M4,11,1
deep_full,5.464823246002197,M4,11,50
deep_full,3.35866641998291,M4,11,100
deep_full,2.749964475631714,M4,11,150
deep_full,2.199638605117798,M4,11,200
deep_full,0.9954941868782043,M4,11,250
deep_full,0.036793302744627,M4,11,300
deep_full,0.0020466872956603765,M4,11,350
deep_full,0.028246993198990822,M4,11,400
deep_full,0.0016190791502594948,M4,11,450
deep_full,0.0002982719161082059,M4,11,500
deep_full,0.00044106587301939726,M4,11,550
deep_full,3.9882779674371704e-05,M4,11,600
deep_full,0.0006292041507549584,M4,11,650
deep_full,9.42561382544227e-06,M4,11,700
deep_full,0.000316490390105173,M4,11,750
deep_full,6.573745486093685e-05,M4,11,800
deep_full,1.1191292287549004e-05,M4,11,850
deep_full,2.7767804567702115e-05,M4,11,900
deep_full,4.002368586952798e-05,M4,11,950
deep_full,4.431328852660954e-05,M4,11,1000
deep_full,38.99703598022461,M4,23,1
deep_full,4.690320014953613,M4,23,50
deep_full,2.742260217666626,M4,23,100
deep_full,2.6620912551879883,M4,23,150
deep_full,2.5408201217651367,M4,23,200
deep_full,0.675779402256012,M4,23,250
deep_full,0.023224925622344017,M4,23,300
deep_full,0.0018733566394075751,M4,23,350
deep_full,0.007780460175126791,M4,23,400
deep_full,0.0004086191765964031,M4,23,450
deep_full,0.00017006765119731426,M4,23,500
deep_full,0.0007837076555006206,M4,23,550
deep_full,0.0004942389205098152,M4,23,600
deep_full,0.0007977671339176595,M4,23,650
deep_full,0.00010895129526033998,M4,23,700
deep_full,0.00019396412244532257,M4,23,750
deep_full,9.957668953575194e-05,M4,23,800
deep_full,0.00010828114318428561,M4,23,850
deep_full,0.00011930731852771714,M4,23,900
deep_full,4.618719685822725e-05,M4,23,950
deep_full,9.919518925016746e-05,M4,23,1000
