architecture,depth,exact_trajectory_accuracy,final_accuracy,invalid_call_rate,machine,mean_model_forwards,mean_tool_calls,n,nontermination_rate,one_call_coverage,per_transition_accuracy,post_tool_answer_accuracy,seed,seed_pass,selected_edge_validity,termination_accuracy,termination_precision,termination_recall
deep_matched,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,11,0,,0.0,0.0,0.0
deep_matched,6,0.0,0.0,0.578125,M4,1.34375,0.921875,64,0.0,,0.057291666666666664,,11,0,,0.0,0.0,0.0
deep_matched,8,0.0,0.0,1.0,M4,1.078125,1.078125,64,0.0,,0.009765625,,11,0,,0.0,0.0,0.0
deep_matched,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
deep_matched,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
deep_matched,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
deep_matched,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,23,0,,0.0,0.0,0.0
deep_matched,6,0.0,0.0,0.90625,M4,1.328125,1.234375,64,0.0,,0.0546875,,23,0,,0.0,0.0,0.0
deep_matched,8,0.0,0.0,0.65625,M4,1.140625,0.796875,64,0.0,,0.017578125,,23,0,,0.0,0.0,0.0
deep_matched,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
deep_matched,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
deep_matched,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
deep_matched,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
deep_matched,6,0.0,0.0,0.984375,M4,1.625,1.609375,64,0.0,,0.10416666666666666,,37,0,,0.0,0.0,0.0
deep_matched,8,0.0,0.0,1.0,M4,1.015625,1.015625,64,0.0,,0.001953125,,37,0,,0.0,0.0,0.0
shallow_matched,1,,0.0,1.0,M3,,,64,,0.0,,0.0,11,0,0.0,,,
shallow_matched,2,,0.0,1.0,M3,,,64,,0.0,,0.0,11,0,0.0,,,
shallow_matched,3,,0.015625,0.984375,M3,,,64,,0.005208333333333333,,0.015625,11,0,0.015625,,,
shallow_matched,4,,0.0,1.0,M3,,,64,,0.0,,0.0,11,0,0.0,,,
shallow_matched,6,,0.015625,1.0,M3,,,64,,0.0,,0.015625,11,0,0.0,,,
shallow_matched,8,,0.0,0.984375,M3,,,64,,0.001953125,,0.0,11,0,0.015625,,,
shallow_matched,1,,0.375,0.625,M3,,,64,,0.375,,0.375,23,0,0.375,,,
shallow_matched,2,,0.671875,0.625,M3,,,64,,0.1875,,0.671875,23,0,0.375,,,
shallow_matched,3,,0.5,0.34375,M3,,,64,,0.21875,,0.5,23,0,0.65625,,,
shallow_matched,4,,0.015625,1.0,M3,,,64,,0.0,,0.015625,23,0,0.0,,,
shallow_matched,6,,0.0,0.984375,M3,,,64,,0.0026041666666666665,,0.0,23,0,0.015625,,,
shallow_matched,8,,0.0,1.0,M3,,,64,,0.0,,0.0,23,0,0.0,,,
shallow_matched,1,,1.0,0.0,M3,,,64,,1.0,,1.0,37,1,1.0,,,
shallow_matched,2,,1.0,0.0,M3,,,64,,0.5,,1.0,37,0,1.0,,,
shallow_matched,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,37,0,1.0,,,
shallow_matched,4,,0.03125,0.96875,M3,,,64,,0.0078125,,0.03125,37,0,0.03125,,,
shallow_matched,6,,0.03125,0.9375,M3,,,64,,0.010416666666666666,,0.03125,37,0,0.0625,,,
shallow_matched,8,,0.0,0.734375,M3,,,64,,0.033203125,,0.0,37,0,0.265625,,,
shallow_matched,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
shallow_matched,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
shallow_matched,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
shallow_matched,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,11,0,,0.0,0.0,0.0
shallow_matched,6,0.0,0.0,0.984375,M4,1.03125,1.015625,64,0.0,,0.005208333333333333,,11,0,,0.0,0.0,0.0
shallow_matched,8,0.0,0.0,0.96875,M4,1.0,0.96875,64,0.0,,0.0,,11,0,,0.0,0.0,0.0
shallow_matched,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
shallow_matched,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
shallow_matched,3,0.96875,0.96875,0.03125,M4,3.953125,2.984375,64,0.0,,0.984375,,23,1,,0.96875,1.0,0.96875
shallow_matched,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,23,0,,0.0,0.0,0.0
shallow_matched,6,0.0,0.0,0.890625,M4,1.21875,1.109375,64,0.0,,0.03645833333333333,,23,0,,0.0,0.0,0.0
shallow_matched,8,0.0,0.0,0.921875,M4,1.0625,0.984375,64,0.0,,0.0078125,,23,0,,0.0,0.0,0.0
shallow_matched,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
shallow_matched,2,0.984375,0.984375,0.015625,M4,2.984375,2.0,64,0.0,,0.9921875,,37,1,,0.984375,1.0,0.984375
shallow_matched,3,0.984375,0.984375,0.015625,M4,3.953125,2.96875,64,0.0,,0.984375,,37,1,,0.984375,1.0,0.984375
shallow_matched,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
shallow_matched,6,0.0,0.0,1.0,M4,1.03125,1.03125,64,0.0,,0.005208333333333333,,37,0,,0.0,0.0,0.0
shallow_matched,8,0.0,0.0,1.0,M4,1.28125,1.28125,64,0.0,,0.03515625,,37,0,,0.0,0.0,0.0
