loss,machine,seed,step
40.68155288696289,M3,11,1
6.00404691696167,M3,11,50
3.687628984451294,M3,11,100
3.4625818729400635,M3,11,150
3.395474433898926,M3,11,200
3.6017377376556396,M3,11,250
3.229719400405884,M3,11,300
2.2120673656463623,M3,11,350
0.6779050230979919,M3,11,400
0.12921613454818726,M3,11,450
0.014280709438025951,M3,11,500
0.007950427010655403,M3,11,550
0.046291667968034744,M3,11,600
0.0007495899335481226,M3,11,650
0.001205722219310701,M3,11,700
0.0003102661285083741,M3,11,750
0.0004443509678822011,M3,11,800
0.0005515808588825166,M3,11,850
0.0004844200739171356,M3,11,900
0.0005763532244600356,M3,11,950
0.0002533468359615654,M3,11,1000
0.00042964363819919527,M3,11,1050
0.0004182591801509261,M3,11,1100
0.00034522786154411733,M3,11,1150
0.00021982107136864215,M3,11,1200
0.00020279009186197072,M3,11,1250
0.00014527513121720403,M3,11,1300
8.712913404451683e-05,M3,11,1350
0.0001442270731786266,M3,11,1400
0.0001521863741800189,M3,11,1450
9.190468699671328e-05,M3,11,1500
8.749562402954325e-05,M3,11,1550
0.00010823764750966802,M3,11,1600
0.00014045368880033493,M3,11,1650
8.226619684137404e-05,M3,11,1700
0.00011401762458262965,M3,11,1750
0.11535906791687012,M3,11,1800
0.00018103948968928307,M3,11,1850
9.397161193192005e-05,M3,11,1900
0.0001636500674067065,M3,11,1950
5.914994471822865e-05,M3,11,2000
0.00040596912731416523,M3,11,2050
0.00021732976892963052,M3,11,2100
8.067459566518664e-05,M3,11,2150
0.00010784093319671229,M3,11,2200
7.11828179191798e-05,M3,11,2250
7.284315506694838e-05,M3,11,2300
0.00010872678831219673,M3,11,2350
4.381342660053633e-05,M3,11,2400
0.00011185890616616234,M3,11,2450
5.8036592236021534e-05,M3,11,2500
6.964860222069547e-05,M3,11,2550
6.217347254278138e-05,M3,11,2600
8.415042975684628e-05,M3,11,2650
8.24244852992706e-05,M3,11,2700
4.6558150643249974e-05,M3,11,2750
0.00012657280603889376,M3,11,2800
4.402594640851021e-05,M3,11,2850
0.00010985654807882383,M3,11,2900
3.4006046917056665e-05,M3,11,2950
3.588763138395734e-05,M3,11,3000
6.58867575111799e-05,M3,11,3050
2.8669826861005276e-05,M3,11,3100
4.775500201503746e-05,M3,11,3150
3.23286913044285e-05,M3,11,3200
7.553058821940795e-05,M3,11,3250
9.967653750209138e-05,M3,11,3300
0.00011546632595127448,M3,11,3350
