architecture,candidate_chain_first,example_id,heads,layers,model_seed,position_mode,positive,required_path,split,target_margin,template_id,top1_correct,total_depth,tree_seed,width
L8_W64_H4,0,validation:d1:t0:paligned:tree101:i10000,4,8,37,aligned,0,1,validation,-0.002147674560546875,0,0,3,101,64
L8_W64_H4,0,validation:d1:t0:paligned:tree101:i10001,4,8,37,aligned,1,1,validation,0.03320884704589844,0,1,3,101,64
L8_W64_H4,1,validation:d1:t0:paligned:tree101:i10002,4,8,37,aligned,0,1,validation,0.15011024475097656,0,1,3,101,64
L8_W64_H4,1,validation:d1:t0:paligned:tree101:i10003,4,8,37,aligned,1,1,validation,-0.0056304931640625,0,0,3,101,64
L8_W64_H4,0,validation:d1:t0:paligned:tree101:i10004,4,8,37,aligned,0,1,validation,-0.019260406494140625,0,0,3,101,64
L8_W64_H4,0,validation:d1:t0:paligned:tree101:i10005,4,8,37,aligned,1,1,validation,-0.06789207458496094,0,0,3,101,64
L8_W64_H4,1,validation:d1:t0:paligned:tree101:i10006,4,8,37,aligned,0,1,validation,-0.043132781982421875,0,0,3,101,64
L8_W64_H4,1,validation:d1:t0:paligned:tree101:i10007,4,8,37,aligned,1,1,validation,-0.05577278137207031,0,0,3,101,64
L8_W64_H4,0,validation:d1:t0:paligned:tree101:i10008,4,8,37,aligned,0,1,validation,-0.008203506469726562,0,0,3,101,64
L8_W64_H4,0,validation:d1:t0:paligned:tree101:i10009,4,8,37,aligned,1,1,validation,-0.04062461853027344,0,0,3,101,64
L8_W64_H4,1,validation:d1:t0:paligned:tree101:i10010,4,8,37,aligned,0,1,validation,-0.04187202453613281,0,0,3,101,64
L8_W64_H4,1,validation:d1:t0:paligned:tree101:i10011,4,8,37,aligned,1,1,validation,-0.027032852172851562,0,0,3,101,64
L8_W64_H4,0,validation:d1:t0:paligned:tree101:i10012,4,8,37,aligned,0,1,validation,0.04742431640625,0,1,3,101,64
L8_W64_H4,0,validation:d1:t0:paligned:tree101:i10013,4,8,37,aligned,1,1,validation,-0.0246124267578125,0,0,3,101,64
L8_W64_H4,1,validation:d1:t0:paligned:tree101:i10014,4,8,37,aligned,0,1,validation,0.07060623168945312,0,1,3,101,64
L8_W64_H4,1,validation:d1:t0:paligned:tree101:i10015,4,8,37,aligned,1,1,validation,-0.03400230407714844,0,0,3,101,64
L8_W64_H4,0,validation:d1:t0:paligned:tree211:i10000,4,8,37,aligned,0,1,validation,-0.025699615478515625,0,0,3,211,64
