bridge_selected_ci_high,bridge_selected_ci_low,budget_chunks,condition,evidence_recall_ci_high,evidence_recall_ci_low,materialized_tokens,mean_bridge_selected,mean_evidence_recall,mean_path_complete,mean_quality,mean_selector_time_ns,n_examples,path_complete_ci_high,path_complete_ci_low,quality_ci_high,quality_ci_low,qwen_equivalent_kv_bytes,selector_time_ns_ci_high,selector_time_ns_ci_low
0.043333333333333335,0.016666666666666666,2,agreement,0.4100069444444444,0.3763888888888889,64,0.03,0.3936111111111111,0.015,0.20430555555555555,30860.833333333332,600,0.025,0.005,0.21514236111111107,0.1927777777777778,262144,36711.24166666667,26505.225
0.10166666666666667,0.058333333333333334,3,agreement,0.5088888888888888,0.47527083333333325,96,0.07833333333333334,0.4913888888888889,0.043333333333333335,0.2673611111111111,28010.833333333332,600,0.06,0.028291666666666705,0.2818090277777778,0.25277777777777777,393216,30308.17916666667,26003.36666666667
0.14833333333333334,0.09666666666666666,4,agreement,0.5680625,0.5341666666666667,128,0.12166666666666667,0.5508333333333333,0.08666666666666667,0.31875,30970.833333333332,600,0.11,0.065,0.3370902777777778,0.3009722222222222,524288,38132.770833333336,26579.320833333335
0.24833333333333332,0.18333333333333332,6,agreement,0.6511111111111111,0.6172222222222222,192,0.215,0.633888888888889,0.19,0.41194444444444445,30090.666666666668,600,0.22166666666666668,0.16,0.4348715277777777,0.38958333333333334,786432,32497.175000000003,27886.079166666666
0.3416666666666667,0.27,8,agreement,0.7041805555555556,0.6710972222222222,256,0.30333333333333334,0.6875,0.2783333333333333,0.48291666666666666,32056.333333333332,600,0.3150416666666666,0.245,0.5101423611111111,0.45888888888888885,1048576,37960.35416666667,28179.466666666667
0.041666666666666664,0.015,2,base_topk,0.3958333333333333,0.36138888888888887,64,0.028333333333333332,0.3788888888888889,0.015,0.19694444444444445,30246.666666666668,600,0.025,0.005,0.20778124999999997,0.18444097222222222,262144,35042.09583333333,27187.029166666667
0.08833333333333333,0.04833333333333333,3,base_topk,0.48695138888888884,0.4530555555555556,96,0.06666666666666667,0.47,0.03166666666666667,0.25083333333333335,25084.166666666668,600,0.045,0.018333333333333333,0.26402777777777775,0.2372222222222222,393216,26849.35,23665.145833333332
0.12833333333333333,0.08,4,base_topk,0.5422291666666667,0.5094444444444445,128,0.10166666666666667,0.5258333333333334,0.06833333333333333,0.2970833333333333,27183.333333333332,600,0.08833333333333333,0.04833333333333333,0.31403125,0.2811111111111111,524288,30848.470833333333,24503.979166666668
0.2,0.14166666666666666,6,base_topk,0.6205555555555555,0.5866597222222222,192,0.17,0.6036111111111111,0.14666666666666667,0.37513888888888886,26494.833333333332,600,0.17333333333333334,0.11833333333333333,0.3951458333333333,0.35444444444444445,786432,28945.145833333332,24727.0875
0.29,0.21995833333333337,8,base_topk,0.6755555555555556,0.6419374999999999,256,0.25333333333333335,0.658888888888889,0.23,0.44444444444444436,27484.5,600,0.265,0.19662500000000002,0.4700034722222222,0.42012847222222216,1048576,29879.162500000002,25566.8625
0.7983333333333333,0.7332916666666667,2,bridge_preserving,0.6169444444444444,0.5836041666666666,64,0.7666666666666667,0.5994444444444444,0.14666666666666667,0.3730555555555556,62687.666666666664,600,0.17833333333333334,0.12,0.39652777777777776,0.3530555555555555,262144,73819.67499999999,55477.254166666666
0.8117083333333333,0.7433333333333333,3,bridge_preserving,0.7244444444444443,0.6863819444444444,96,0.7783333333333333,0.706111111111111,0.33166666666666667,0.518888888888889,66959.83333333333,600,0.36670833333333325,0.295,0.545704861111111,0.49152777777777773,393216,89961.5875,54973.7375
0.8166666666666667,0.75,4,bridge_preserving,0.7922222222222223,0.7558263888888889,128,0.785,0.773611111111111,0.48,0.6268055555555556,58089.0,600,0.52,0.44162500000000005,0.6554236111111111,0.5987430555555555,524288,63029.816666666666,54520.3125
1.0,1.0,6,bridge_preserving,0.975,0.9588888888888889,192,1.0,0.967777777777778,0.9033333333333333,0.9355555555555555,70492.66666666667,600,0.925,0.8766666666666667,0.95,0.9177777777777777,786432,82036.87083333332,60894.1125
1.0,1.0,8,bridge_preserving,0.986111111111111,0.9733333333333334,256,1.0,0.98,0.94,0.96,67012.5,600,0.9583333333333334,0.92,0.9722222222222221,0.9466666666666667,1048576,77794.06666666667,59562.058333333334
0.041666666666666664,0.016666666666666666,2,budget_tuned_topk,0.39555555555555555,0.36249305555555555,64,0.028333333333333332,0.3788888888888889,0.015,0.19694444444444445,27324.833333333332,600,0.025,0.006666666666666667,0.20889236111111112,0.18666666666666668,262144,33710.18333333333,23517.0
0.08833333333333333,0.04666666666666667,3,budget_tuned_topk,0.4877777777777777,0.4516597222222222,96,0.06666666666666667,0.47,0.03166666666666667,0.25083333333333335,23451.833333333332,600,0.04666666666666667,0.018333333333333333,0.26542013888888893,0.2375,393216,25033.341666666667,22226.4875
0.12666666666666668,0.07833333333333334,4,budget_tuned_topk,0.5422291666666667,0.508611111111111,128,0.10166666666666667,0.5258333333333334,0.06833333333333333,0.2970833333333333,30545.333333333332,600,0.09,0.04833333333333333,0.31528125000000007,0.28124652777777776,524288,40075.6125,24235.566666666666
