agreement,base_score,bridge_score,community_centrality,entropy_contribution,intercept,lexical_score,persistence,seed,semantic_score
-0.11983744129960283,-0.3490493720497704,4.633336814215085,1.8189020046583275,4.548091085706489,-1.9906912634542364,0.0,-0.007541620846762681,11,0.0
-0.07422991240988666,-0.2785687888832028,5.124097136118048,1.5211255635774772,3.882117601005893,-1.9364746345621155,0.0,-0.024380495810837215,23,0.0
-0.11576217004102307,-0.3115970458242533,4.956757157058663,1.6951321322137005,3.890427084593537,-1.9433374020037448,0.0,0.02398232104201604,37,0.0
-0.13000972819425302,-0.2979767552271878,5.142198303142658,1.7998706995692046,3.9391788319361254,-2.0080382805973565,0.0,-0.002301580328291053,41,0.0
-0.01948981677271429,-0.25549447224556676,5.302059944757538,2.243439223457443,3.4477457227398944,-2.248547719715335,0.0,-0.0003356167144304947,53,0.0
