condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
none,0,0,1,,1,-11.608835220336914,11,9.065073754754849e-06,19,D4,6,0,16
correct,0,0,1,20.773886680603027,1,9.165051460266113,11,0.9997754693031311,1,D4,6,1,16
shuffled,0,0,1,,1,-7.00978946685791,11,0.0009011421934701502,2,D4,6,0,16
wrong_chain,0,0,1,,1,-6.2339982986450195,11,0.001953653059899807,2,D4,6,0,16
irrelevant,0,0,1,,1,-8.75938606262207,11,0.00015682655794080347,4,D4,6,0,16
reversed,0,0,1,,1,8.450067520141602,11,0.9996306896209717,1,D4,6,1,16
none,1,0,1,,1,-11.608835220336914,11,9.065073754754849e-06,19,D4,6,0,16
correct,1,0,1,20.773886680603027,1,9.165051460266113,11,0.9997754693031311,1,D4,6,1,16
shuffled,1,0,1,,1,-7.00978946685791,11,0.0009011421934701502,2,D4,6,0,16
wrong_chain,1,0,1,,1,-6.2339982986450195,11,0.001953653059899807,2,D4,6,0,16
irrelevant,1,0,1,,1,-8.75938606262207,11,0.00015682655794080347,4,D4,6,0,16
reversed,1,0,1,,1,8.450067520141602,11,0.9996306896209717,1,D4,6,1,16
none,2,0,1,,1,-11.608835220336914,11,9.065073754754849e-06,19,D4,6,0,16
correct,2,0,1,20.773886680603027,1,9.165051460266113,11,0.9997754693031311,1,D4,6,1,16
shuffled,2,0,1,,1,-7.00978946685791,11,0.0009011421934701502,2,D4,6,0,16
wrong_chain,2,0,1,,1,-6.2339982986450195,11,0.001953653059899807,2,D4,6,0,16
irrelevant,2,0,1,,1,-8.75938606262207,11,0.00015682655794080347,4,D4,6,0,16
reversed,2,0,1,,1,8.450067520141602,11,0.9996306896209717,1,D4,6,1,16
none,3,0,1,,1,-11.608835220336914,11,9.065073754754849e-06,19,D4,6,0,16
correct,3,0,1,20.773886680603027,1,9.165051460266113,11,0.9997754693031311,1,D4,6,1,16
shuffled,3,0,1,,1,-9.34018611907959,11,8.760283526498824e-05,5,D4,6,0,16
wrong_chain,3,0,1,,1,-6.2339982986450195,11,0.001953653059899807,2,D4,6,0,16
irrelevant,3,0,1,,1,-8.75938606262207,11,0.00015682655794080347,4,D4,6,0,16
reversed,3,0,1,,1,8.450067520141602,11,0.9996306896209717,1,D4,6,1,16
none,4,0,1,,1,-11.608835220336914,11,9.065073754754849e-06,19,D4,6,0,16
correct,4,0,1,20.773886680603027,1,9.165051460266113,11,0.9997754693031311,1,D4,6,1,16
shuffled,4,0,1,,1,-9.34018611907959,11,8.760283526498824e-05,5,D4,6,0,16
wrong_chain,4,0,1,,1,-6.2339982986450195,11,0.001953653059899807,2,D4,6,0,16
irrelevant,4,0,1,,1,-8.75938606262207,11,0.00015682655794080347,4,D4,6,0,16
reversed,4,0,1,,1,8.450067520141602,11,0.9996306896209717,1,D4,6,1,16
none,5,0,1,,1,-11.608835220336914,11,9.065073754754849e-06,19,D4,6,0,16
correct,5,0,1,20.773886680603027,1,9.165051460266113,11,0.9997754693031311,1,D4,6,1,16
shuffled,5,0,1,,1,-7.00978946685791,11,0.0009011421934701502,2,D4,6,0,16
wrong_chain,5,0,1,,1,-6.2339982986450195,11,0.001953653059899807,2,D4,6,0,16
irrelevant,5,0,1,,1,-8.75938606262207,11,0.00015682655794080347,4,D4,6,0,16
reversed,5,0,1,,1,8.450067520141602,11,0.9996306896209717,1,D4,6,1,16
none,6,0,1,,1,-11.608835220336914,11,9.065073754754849e-06,19,D4,6,0,16
correct,6,0,1,20.773886680603027,1,9.165051460266113,11,0.9997754693031311,1,D4,6,1,16
shuffled,6,0,1,,1,-7.00978946685791,11,0.0009011421934701502,2,D4,6,0,16
wrong_chain,6,0,1,,1,-6.2339982986450195,11,0.001953653059899807,2,D4,6,0,16
irrelevant,6,0,1,,1,-8.75938606262207,11,0.00015682655794080347,4,D4,6,0,16
reversed,6,0,1,,1,8.450067520141602,11,0.9996306896209717,1,D4,6,1,16
none,7,0,1,,1,-11.608835220336914,11,9.065073754754849e-06,19,D4,6,0,16
correct,7,0,1,20.773886680603027,1,9.165051460266113,11,0.9997754693031311,1,D4,6,1,16
shuffled,7,0,1,,1,-9.34018611907959,11,8.760283526498824e-05,5,D4,6,0,16
wrong_chain,7,0,1,,1,-6.2339982986450195,11,0.001953653059899807,2,D4,6,0,16
irrelevant,7,0,1,,1,-8.75938606262207,11,0.00015682655794080347,4,D4,6,0,16
reversed,7,0,1,,1,8.450067520141602,11,0.9996306896209717,1,D4,6,1,16
none,8,1,1,,1,-7.840018272399902,11,0.0003925688797608018,4,D4,6,0,16
correct,8,1,1,17.446606636047363,1,9.606588363647461,11,0.9996626377105713,1,D4,6,1,16
shuffled,8,1,1,,1,-10.646702766418457,11,2.374999166931957e-05,9,D4,6,0,16
wrong_chain,8,1,1,,1,-3.406130790710449,11,0.03196277469396591,2,D4,6,0,16
