competent,context_free_accuracy,context_free_mean_rank,correct_accuracy,heads,icl_margin_gain,layers,max_matched_control_accuracy,model_seed,selectivity,stage,width
1,0.0,26.5,1.0,1,18.369637846946716,1,0.0,11,1.0,D4,16
0,0.0,25.5,0.25,1,5.648161709308624,1,0.25,23,0.0,D4,16
0,0.125,5.375,0.25,1,2.25459486246109,1,0.25,37,0.0,D4,16
