architecture,budget_multiplier,elapsed_seconds,heads,loss,model_depth,model_seed,step,width
baseline,1,1.2366490364074707,4,51.6873893737793,4,11,1,64
baseline,1,58.906718015670776,4,2.4973087310791016,4,11,100,64
baseline,1,113.31158518791199,4,5.043417930603027,4,11,200,64
baseline,1,167.92979407310486,4,4.487085342407227,4,11,300,64
baseline,1,228.008376121521,4,0.6775343418121338,4,11,400,64
baseline,1,279.40740990638733,4,1.137784719467163,4,11,500,64
baseline,1,1.2366490364074707,4,51.6873893737793,4,11,1,64
baseline,1,58.906718015670776,4,2.4973087310791016,4,11,100,64
baseline,1,113.31158518791199,4,5.043417930603027,4,11,200,64
baseline,1,167.92979407310486,4,4.487085342407227,4,11,300,64
baseline,1,228.008376121521,4,0.6775343418121338,4,11,400,64
baseline,1,279.40740990638733,4,1.137784719467163,4,11,500,64
baseline,1,1.2366490364074707,4,51.6873893737793,4,11,1,64
baseline,1,58.906718015670776,4,2.4973087310791016,4,11,100,64
baseline,1,113.31158518791199,4,5.043417930603027,4,11,200,64
baseline,1,167.92979407310486,4,4.487085342407227,4,11,300,64
baseline,1,228.008376121521,4,0.6775343418121338,4,11,400,64
baseline,1,279.40740990638733,4,1.137784719467163,4,11,500,64
baseline,1,1.2366490364074707,4,51.6873893737793,4,11,1,64
baseline,1,58.906718015670776,4,2.4973087310791016,4,11,100,64
baseline,1,113.31158518791199,4,5.043417930603027,4,11,200,64
baseline,1,167.92979407310486,4,4.487085342407227,4,11,300,64
baseline,1,228.008376121521,4,0.6775343418121338,4,11,400,64
baseline,1,279.40740990638733,4,1.137784719467163,4,11,500,64
baseline,1,1.2366490364074707,4,51.6873893737793,4,11,1,64
baseline,1,58.906718015670776,4,2.4973087310791016,4,11,100,64
baseline,1,113.31158518791199,4,5.043417930603027,4,11,200,64
baseline,1,167.92979407310486,4,4.487085342407227,4,11,300,64
baseline,1,228.008376121521,4,0.6775343418121338,4,11,400,64
baseline,1,279.40740990638733,4,1.137784719467163,4,11,500,64
baseline,1,1.2366490364074707,4,51.6873893737793,4,11,1,64
baseline,1,58.906718015670776,4,2.4973087310791016,4,11,100,64
baseline,1,113.31158518791199,4,5.043417930603027,4,11,200,64
baseline,1,167.92979407310486,4,4.487085342407227,4,11,300,64
baseline,1,228.008376121521,4,0.6775343418121338,4,11,400,64
baseline,1,279.40740990638733,4,1.137784719467163,4,11,500,64
baseline,1,0.13999104499816895,4,51.101932525634766,4,23,1,64
baseline,1,62.933101177215576,4,5.59183931350708,4,23,100,64
baseline,1,123.19697308540344,4,4.927274703979492,4,23,200,64
baseline,1,175.79557418823242,4,3.723773956298828,4,23,300,64
baseline,1,234.4045124053955,4,4.230153560638428,4,23,400,64
baseline,1,290.76579308509827,4,3.046109199523926,4,23,500,64
baseline,1,0.13999104499816895,4,51.101932525634766,4,23,1,64
baseline,1,62.933101177215576,4,5.59183931350708,4,23,100,64
baseline,1,123.19697308540344,4,4.927274703979492,4,23,200,64
baseline,1,175.79557418823242,4,3.723773956298828,4,23,300,64
baseline,1,234.4045124053955,4,4.230153560638428,4,23,400,64
baseline,1,290.76579308509827,4,3.046109199523926,4,23,500,64
baseline,1,0.13999104499816895,4,51.101932525634766,4,23,1,64
baseline,1,62.933101177215576,4,5.59183931350708,4,23,100,64
baseline,1,123.19697308540344,4,4.927274703979492,4,23,200,64
baseline,1,175.79557418823242,4,3.723773956298828,4,23,300,64
baseline,1,234.4045124053955,4,4.230153560638428,4,23,400,64
