accuracy,architecture,budget_multiplier,diagnostic_tier,heads,layers,mean_margin,model_seed,n,predicate,width
0.08333333333333333,depth8,1,medium,4,8,-2.8434840506977506,23,72,grandparent,64
0.1527777777777778,depth8,1,medium,4,8,-3.405455162127813,23,144,ancestor_k,64
0.8819444444444444,depth8,1,medium,4,8,2.103773464759191,23,144,isAncestor,64
0.14583333333333334,depth8,1,hard,4,8,-3.2671536281704903,23,96,parent,64
0.08333333333333333,depth8,1,hard,4,8,-3.404359514514605,23,96,grandparent,64
0.020833333333333332,depth8,1,medium,4,8,-3.8035228749116263,23,48,root,64
0.041666666666666664,depth8,1,hard,4,8,-3.84878408908844,23,72,root,64
0.7592592592592593,depth8,1,hard,4,8,1.9377324371426194,23,432,isAncestor,64
0.06712962962962964,depth8,1,hard,4,8,-4.320269737530638,23,432,ancestor_k,64
0.2916666666666667,depth8,1,easy,4,8,-0.9674301346143087,37,96,parent,64
0.22916666666666666,depth8,1,easy,4,8,-1.8696210732062657,37,96,grandparent,64
0.20833333333333334,depth8,1,easy,4,8,-2.4241083562374115,37,72,root,64
0.2916666666666667,depth8,1,easy,4,8,-1.428603731923633,37,144,ancestor_k,64
0.8888888888888888,depth8,1,easy,4,8,2.702572352356381,37,144,isAncestor,64
0.2361111111111111,depth8,1,medium,4,8,-1.2534756064414978,37,72,parent,64
0.16666666666666666,depth8,1,medium,4,8,-2.349719683329264,37,72,grandparent,64
0.1388888888888889,depth8,1,medium,4,8,-2.4213111201922097,37,144,ancestor_k,64
0.9097222222222222,depth8,1,medium,4,8,2.5302641789118447,37,144,isAncestor,64
0.14583333333333334,depth8,1,hard,4,8,-2.1959173331658044,37,96,parent,64
0.07291666666666667,depth8,1,hard,4,8,-2.4990975012381873,37,96,grandparent,64
0.08333333333333333,depth8,1,medium,4,8,-2.8877448638280234,37,48,root,64
0.05555555555555555,depth8,1,hard,4,8,-3.4183798134326935,37,72,root,64
0.8541666666666666,depth8,1,hard,4,8,2.3125402331352234,37,432,isAncestor,64
0.05324074074074074,depth8,1,hard,4,8,-3.023088784681426,37,432,ancestor_k,64
0.23958333333333334,width128,1,easy,4,4,-2.4043246606985726,11,96,parent,128
0.25,width128,1,easy,4,4,-2.6663226584593454,11,96,grandparent,128
0.2638888888888889,width128,1,easy,4,4,-2.135711749394735,11,72,root,128
0.2986111111111111,width128,1,easy,4,4,-1.9375636246469286,11,144,ancestor_k,128
0.5,width128,1,easy,4,4,0.2711794177691142,11,144,isAncestor,128
0.16666666666666666,width128,1,medium,4,4,-3.6744679146342807,11,72,parent,128
0.1111111111111111,width128,1,medium,4,4,-3.6489542524019876,11,72,grandparent,128
0.125,width128,1,medium,4,4,-3.658126476738188,11,144,ancestor_k,128
0.5,width128,1,medium,4,4,0.29996412330203587,11,144,isAncestor,128
0.10416666666666667,width128,1,hard,4,4,-4.2751709421475725,11,96,parent,128
0.08333333333333333,width128,1,hard,4,4,-4.448956713080406,11,96,grandparent,128
0.041666666666666664,width128,1,medium,4,4,-4.159972240527471,11,48,root,128
0.16666666666666666,width128,1,hard,4,4,-3.3039806154039173,11,72,root,128
0.5,width128,1,hard,4,4,0.34337210434454457,11,432,isAncestor,128
0.08333333333333333,width128,1,hard,4,4,-4.482838493806344,11,432,ancestor_k,128
0.22916666666666666,width128,1,easy,4,4,-2.25779394308726,23,96,parent,128
0.22916666666666666,width128,1,easy,4,4,-2.550779104232788,23,96,grandparent,128
