loss,model_seed,stage,step
23.73987579345703,11,F1,1
2.6331303119659424,11,F1,50
2.452561616897583,11,F1,100
1.9259593486785889,11,F1,150
0.9581166505813599,11,F1,200
0.17018020153045654,11,F1,250
0.03922370448708534,11,F1,300
0.01044575683772564,11,F1,350
0.0015126330545172095,11,F1,400
0.01689104363322258,11,F1,450
0.00043028866639360785,11,F1,500
0.0002576264087110758,11,F1,550
0.00016149877046700567,11,F1,600
0.0001334016997134313,11,F1,650
9.855262760538608e-05,11,F1,700
0.0001290110230911523,11,F1,750
0.00018758748774416745,11,F1,800
0.00010766438208520412,11,F1,850
0.00015034629905130714,11,F1,900
7.232587086036801e-05,11,F1,950
7.526036642957479e-05,11,F1,1000
0.00011008269939338788,11,F1,1050
0.00011969676415901631,11,F1,1100
8.976821845863014e-05,11,F1,1150
0.00011832709424197674,11,F1,1200
9.832703653955832e-05,11,F1,1250
0.0001130095188273117,11,F1,1300
7.112791354302317e-05,11,F1,1350
6.0592545196413994e-05,11,F1,1400
5.864772174390964e-05,11,F1,1450
5.608216088148765e-05,11,F1,1500
5.06305368617177e-05,11,F1,1550
8.018936205189675e-05,11,F1,1600
8.556258399039507e-05,11,F1,1650
5.879329546587542e-05,11,F1,1700
5.2980787586420774e-05,11,F1,1750
4.22778248321265e-05,11,F1,1800
3.877229755744338e-05,11,F1,1850
4.386576620163396e-05,11,F1,1900
7.205420115496963e-05,11,F1,1950
6.428061897167936e-05,11,F1,2000
5.300192424328998e-05,11,F1,2050
5.06947617395781e-05,11,F1,2100
4.3800700950669125e-05,11,F1,2150
4.800985334441066e-05,11,F1,2200
5.2786221203859895e-05,11,F1,2250
3.72162030544132e-05,11,F1,2300
4.857531894231215e-05,11,F1,2350
4.448670006240718e-05,11,F1,2400
23.560714721679688,23,F1,1
2.607174873352051,23,F1,50
2.592550277709961,23,F1,100
2.1783225536346436,23,F1,150
2.0331883430480957,23,F1,200
1.8343000411987305,23,F1,250
1.1648446321487427,23,F1,300
0.17954540252685547,23,F1,350
0.0058488198556005955,23,F1,400
0.0005613089306280017,23,F1,450
0.0003807932080235332,23,F1,500
0.00027204910293221474,23,F1,550
0.0001728495117276907,23,F1,600
0.00017358454351779073,23,F1,650
0.00024025014135986567,23,F1,700
0.00015329846064560115,23,F1,750
0.00014045348507352173,23,F1,800
0.00013390065578278154,23,F1,850
0.00010304449824616313,23,F1,900
0.00010054582526208833,23,F1,950
0.00011399383947718889,23,F1,1000
0.00012740070815198123,23,F1,1050
0.00011069598258472979,23,F1,1100
7.901960634626448e-05,23,F1,1150
5.618209979729727e-05,23,F1,1200
8.215000707423314e-05,23,F1,1250
6.50933216093108e-05,23,F1,1300
8.639052248327062e-05,23,F1,1350
7.665522571187466e-05,23,F1,1400
7.291480142157525e-05,23,F1,1450
5.4816646297695115e-05,23,F1,1500
6.428168126149103e-05,23,F1,1550
5.505321314558387e-05,23,F1,1600
4.813508712686598e-05,23,F1,1650
5.4293781431624666e-05,23,F1,1700
4.369957241578959e-05,23,F1,1750
4.527906276052818e-05,23,F1,1800
4.0354294469580054e-05,23,F1,1850
5.4937583627179265e-05,23,F1,1900
3.751973417820409e-05,23,F1,1950
3.867085251840763e-05,23,F1,2000
4.281679503037594e-05,23,F1,2050
4.2577994463499635e-05,23,F1,2100
3.7234785850159824e-05,23,F1,2150
4.8955174861475825e-05,23,F1,2200
4.2440635297680274e-05,23,F1,2250
3.324162389617413e-05,23,F1,2300
4.4416592572815716e-05,23,F1,2350
3.904887125827372e-05,23,F1,2400
23.114086151123047,37,F1,1
2.7244062423706055,37,F1,50
2.4981071949005127,37,F1,100
2.2057430744171143,37,F1,150
1.3344614505767822,37,F1,200
0.6983019113540649,37,F1,250
0.5155083537101746,37,F1,300
0.4082408547401428,37,F1,350
0.1682400405406952,37,F1,400
0.09746770560741425,37,F1,450
0.016843128949403763,37,F1,500
0.004898993764072657,37,F1,550
0.0037156781181693077,37,F1,600
0.0008336538448929787,37,F1,650
0.00045016518561169505,37,F1,700
0.0005755571182817221,37,F1,750
0.00038268312346190214,37,F1,800
0.00019141040684189647,37,F1,850
0.0002685619401745498,37,F1,900
0.00017170645878650248,37,F1,950
0.00015149908722378314,37,F1,1000
0.00018570816610008478,37,F1,1050
0.00030376791255548596,37,F1,1100
0.00011546391760930419,37,F1,1150
0.00012008650810457766,37,F1,1200
0.00017355465388391167,37,F1,1250
0.00010141955863218755,37,F1,1300
0.0001315368281211704,37,F1,1350
0.00012860905553679913,37,F1,1400
0.00011850090231746435,37,F1,1450
0.00011051338515244424,37,F1,1500
0.0001169478491647169,37,F1,1550
8.829730359138921e-05,37,F1,1600
8.135374810080975e-05,37,F1,1650
6.780998955946416e-05,37,F1,1700
0.00010160969395656139,37,F1,1750
9.555094584356993e-05,37,F1,1800
6.379331171046942e-05,37,F1,1850
9.85054939519614e-05,37,F1,1900
6.393875082721934e-05,37,F1,1950
7.089929567882791e-05,37,F1,2000
7.923778321128339e-05,37,F1,2050
6.51934024062939e-05,37,F1,2100
7.021739293122664e-05,37,F1,2150
5.275363946566358e-05,37,F1,2200
6.958201265661046e-05,37,F1,2250
3.775173536268994e-05,37,F1,2300
6.672092422377318e-05,37,F1,2350
6.035717888153158e-05,37,F1,2400
16.717464447021484,11,P1,1
0.7310473918914795,11,P1,50
0.7019191980361938,11,P1,100
0.6897316575050354,11,P1,150
0.6392500400543213,11,P1,200
0.5974835753440857,11,P1,250
0.6780601143836975,11,P1,300
0.4794032573699951,11,P1,350
0.24173292517662048,11,P1,400
0.06351391971111298,11,P1,450
0.009975320659577847,11,P1,500
0.0061199842020869255,11,P1,550
0.00010214204667136073,11,P1,600
0.00011491682380437851,11,P1,650
0.0005133426166139543,11,P1,700
3.0164839699864388e-05,11,P1,750
0.00014267725055105984,11,P1,800
5.8191864809487015e-05,11,P1,850
6.158637552289292e-05,11,P1,900
5.4022235417505726e-05,11,P1,950
8.878207881934941e-05,11,P1,1000
2.6458206775714643e-05,11,P1,1050
1.2835180314141326e-05,11,P1,1100
