accuracy,label_mode,mean_margin,model_seed,n,ontology_family,position_mode,query_level
0.9765625,natural,10.294439852237701,11,128,b4-d3-i8,aligned,ancestor
0.96875,natural,8.674000971019268,11,128,b4-d3-i8,randomized,ancestor
1.0,natural,11.183370180428028,11,128,b4-d3-i8,aligned,root
1.0,natural,10.210227183997631,11,128,b4-d3-i8,randomized,root
1.0,arbitrary,8.948956899344921,11,128,b4-d3-i8,aligned,parent
0.9609375,arbitrary,7.5859542191028595,11,128,b4-d3-i8,randomized,parent
0.9765625,arbitrary,11.187194377183914,11,128,b4-d3-i8,aligned,ancestor
0.984375,arbitrary,10.022705771028996,11,128,b4-d3-i8,randomized,ancestor
1.0,arbitrary,11.062755599617958,11,128,b4-d3-i8,aligned,root
1.0,arbitrary,10.867478638887405,11,128,b4-d3-i8,randomized,root
1.0,natural,8.734833307564259,11,128,b4-d3-i16,aligned,parent
0.9609375,natural,7.4962711706757545,11,128,b4-d3-i16,randomized,parent
0.9765625,natural,10.294439852237701,11,128,b4-d3-i16,aligned,ancestor
0.984375,natural,9.177434667944908,11,128,b4-d3-i16,randomized,ancestor
1.0,natural,11.183370180428028,11,128,b4-d3-i16,aligned,root
1.0,natural,10.278317086398602,11,128,b4-d3-i16,randomized,root
1.0,arbitrary,8.948956899344921,11,128,b4-d3-i16,aligned,parent
0.953125,arbitrary,7.246344894170761,11,128,b4-d3-i16,randomized,parent
0.9765625,arbitrary,11.187194377183914,11,128,b4-d3-i16,aligned,ancestor
0.984375,arbitrary,9.648121163249016,11,128,b4-d3-i16,randomized,ancestor
1.0,arbitrary,11.062755599617958,11,128,b4-d3-i16,aligned,root
1.0,arbitrary,10.87131755053997,11,128,b4-d3-i16,randomized,root
0.9921875,natural,11.360197007656097,23,128,b2-d2-i8,aligned,parent
0.9375,natural,8.98858092725277,23,128,b2-d2-i8,randomized,parent
1.0,natural,12.61978905647993,23,128,b2-d2-i8,aligned,ancestor
1.0,natural,10.79553597420454,23,128,b2-d2-i8,randomized,ancestor
1.0,natural,12.655073270201683,23,128,b2-d2-i8,aligned,root
1.0,natural,11.728472247719765,23,128,b2-d2-i8,randomized,root
1.0,arbitrary,10.208095893263817,23,128,b2-d2-i8,aligned,parent
