baseline_target_logprob,component,donor_family,family,identity,layer,mode,model_id,revision,semantic,syntax,target_logprob_change
-0.9547438621520996,sa,question:geography,question:geography,2,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,geography,question,-0.001118302345275879
-0.9890044927597046,sa,question:geography,question:geography,3,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,geography,question,-0.0010471940040588379
-5.704273223876953,sa,alternation:tense,alternation:tense,2,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,tense,alternation,0.8508634567260742
-7.157110691070557,sa,alternation:tense,alternation:tense,3,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,tense,alternation,-0.0980219841003418
-0.5175015926361084,sa,mapping:tense,mapping:tense,2,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,tense,mapping,0.031839966773986816
-0.08342907577753067,sa,mapping:tense,mapping:tense,3,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,tense,mapping,-0.001567453145980835
-0.257872074842453,sa,arrow:tense,arrow:tense,2,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,tense,arrow,0.0019004344940185547
-0.22581417858600616,sa,arrow:tense,arrow:tense,3,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,tense,arrow,0.0368778258562088
-0.2638595402240753,sa,question:tense,question:tense,2,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,tense,question,0.016437307000160217
-0.25423669815063477,sa,question:tense,question:tense,3,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,tense,question,-0.010625958442687988
-3.7919135093688965,sa,alternation:direction,alternation:direction,2,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,direction,alternation,-1.7581887245178223
-4.295517921447754,sa,alternation:direction,alternation:direction,3,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,direction,alternation,0.11890125274658203
-1.278835654258728,sa,mapping:direction,mapping:direction,2,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,direction,mapping,-0.014615535736083984
-1.058471918106079,sa,mapping:direction,mapping:direction,3,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,direction,mapping,0.033072829246520996
-0.8880316615104675,sa,arrow:direction,arrow:direction,2,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,direction,arrow,-0.030403971672058105
-0.4481661319732666,sa,arrow:direction,arrow:direction,3,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,direction,arrow,0.047201186418533325
-1.2339555025100708,sa,question:direction,question:direction,2,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,direction,question,0.06602096557617188
-0.7435494065284729,sa,question:direction,question:direction,3,0,replace_equivalent,EleutherAI/pythia-70m-deduped,step143000,direction,question,0.029324650764465332
-6.048379421234131,sa,arrow:number,alternation:number,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,number,alternation,-0.7682600021362305
-5.4743547439575195,sa,arrow:number,alternation:number,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,number,alternation,-0.48479604721069336
-1.6215968132019043,sa,alternation:number,mapping:number,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,number,mapping,-4.403008937835693
-0.7610409259796143,sa,alternation:number,mapping:number,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,number,mapping,-4.460374593734741
-1.5185401439666748,sa,alternation:number,arrow:number,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,number,arrow,-6.299297571182251
-1.2091789245605469,sa,alternation:number,arrow:number,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,number,arrow,-6.531766414642334
-1.1180896759033203,sa,alternation:number,question:number,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,number,question,-5.889852523803711
-1.7947602272033691,sa,alternation:number,question:number,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,number,question,-4.064786434173584
-5.795536518096924,sa,arrow:color,alternation:color,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,color,alternation,-0.6799716949462891
-6.354679107666016,sa,arrow:color,alternation:color,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,color,alternation,1.2399120330810547
-0.9904645085334778,sa,alternation:color,mapping:color,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,color,mapping,-1.7877506613731384
-1.6210979223251343,sa,alternation:color,mapping:color,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,color,mapping,-0.9908641576766968
-0.9352619051933289,sa,alternation:color,arrow:color,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,color,arrow,-3.913250744342804
-0.8412887454032898,sa,alternation:color,arrow:color,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,color,arrow,-3.1573525071144104
-1.0608067512512207,sa,alternation:color,question:color,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,color,question,-6.418635845184326
-1.0664517879486084,sa,alternation:color,question:color,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,color,question,-6.463363885879517
-7.6103715896606445,sa,arrow:animal,alternation:animal,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,animal,alternation,-0.8134679794311523
-5.978808403015137,sa,arrow:animal,alternation:animal,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,animal,alternation,-0.020607471466064453
-0.9913763403892517,sa,alternation:animal,mapping:animal,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,animal,mapping,-5.307588160037994
-0.47812411189079285,sa,alternation:animal,mapping:animal,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,animal,mapping,-7.596521884202957
-1.9513297080993652,sa,alternation:animal,arrow:animal,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,animal,arrow,-4.550168514251709
-0.45036622881889343,sa,alternation:animal,arrow:animal,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,animal,arrow,-6.359232693910599
-0.9468570947647095,sa,alternation:animal,question:animal,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,animal,question,-5.663914084434509
-0.6683844327926636,sa,alternation:animal,question:animal,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,animal,question,-8.940522313117981
-5.789730548858643,sa,arrow:temperature,alternation:temperature,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,temperature,alternation,-0.7869081497192383
-4.5420966148376465,sa,arrow:temperature,alternation:temperature,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,temperature,alternation,-1.2148900032043457
-1.7778632640838623,sa,alternation:temperature,mapping:temperature,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,temperature,mapping,-5.6866466999053955
-0.9940654635429382,sa,alternation:temperature,mapping:temperature,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,temperature,mapping,-6.1098602414131165
-0.5044987201690674,sa,alternation:temperature,arrow:temperature,2,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,temperature,arrow,-7.454810857772827
-0.45342889428138733,sa,alternation:temperature,arrow:temperature,3,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,step143000,temperature,arrow,-7.555207580327988
