examples,head,layer,source_position,source_role,target_support
16,0,0,0,demo_key,0.00024915507324568126
32,0,0,0,distractor_key,0.19625706197851003
16,0,0,1,demo_value,0.06909387078142504
32,0,0,1,distractor_value,1.9698153177504332
48,0,0,2,separator,0.0715737690785924
15,0,0,3,demo_key,-0.00220213747719592
33,0,0,3,distractor_key,0.02443620280698586
15,0,0,4,demo_value,1.1575529106936149
33,0,0,4,distractor_value,0.4587501710808312
48,0,0,5,separator,2.10472368683376
17,0,0,6,demo_key,-2.210024663494744
31,0,0,6,distractor_key,-1.5723635090384442
17,0,0,7,demo_value,-0.1799819964261293
31,0,0,7,distractor_value,0.03450944708726392
48,0,0,8,separator,0.1845638503824265
48,0,0,9,query_marker,0.0006873327272833851
48,0,0,10,query_key,7.775249329964167e-06
16,1,0,0,demo_key,0.00011157540160411372
32,1,0,0,distractor_key,-0.0001860759094836284
16,1,0,1,demo_value,-1.742587062806916
32,1,0,1,distractor_value,2.135582420435586
48,1,0,2,separator,1.0480864178406734e-05
15,1,0,3,demo_key,0.009358476431095913
33,1,0,3,distractor_key,0.0020300882515323438
15,1,0,4,demo_value,-1.1192891812960393
33,1,0,4,distractor_value,-1.0972694196392525
48,1,0,5,separator,2.3757595737765517e-06
17,1,0,6,demo_key,0.10355477293770117
31,1,0,6,distractor_key,-0.004681931531577265
17,1,0,7,demo_value,-0.0030394742179093576
31,1,0,7,distractor_value,4.131312095611053e-05
48,1,0,8,separator,0.0006617795351368258
48,1,0,9,query_marker,1.5533488703090015e-06
48,1,0,10,query_key,-0.8612344465817424
16,0,1,0,demo_key,-0.14194605825991147
32,0,1,0,distractor_key,0.005701458194210286
16,0,1,1,demo_value,63.91409710033625
32,0,1,1,distractor_value,-0.012962897055502662
48,0,1,2,separator,3.483220304296595
15,0,1,3,demo_key,-5.361254679241135e-07
33,0,1,3,distractor_key,0.05310704125927454
15,0,1,4,demo_value,52.009051139904585
33,0,1,4,distractor_value,1.950328387580005
48,0,1,5,separator,1.344919512148144
17,0,1,6,demo_key,-1.5409708270535154
31,0,1,6,distractor_key,0.002602347736432832
17,0,1,7,demo_value,62.75788837320778
31,0,1,7,distractor_value,-0.007797992696377763
48,0,1,8,separator,0.7695906331759436
48,0,1,9,query_marker,0.0020017778380131256
48,0,1,10,query_key,-3.1547873095383507
16,1,1,0,demo_key,2.723247115636932
32,1,1,0,distractor_key,0.25040342678158134
16,1,1,1,demo_value,62.26604810043154
32,1,1,1,distractor_value,0.06555843409987845
48,1,1,2,separator,0.5380743103707811
15,1,1,3,demo_key,-5.696416892904342e-06
33,1,1,3,distractor_key,-0.4889260088158827
15,1,1,4,demo_value,51.75940474889746
33,1,1,4,distractor_value,1.2804049935202877
48,1,1,5,separator,1.210015168272701
17,1,1,6,demo_key,-2.791477961428803e-07
31,1,1,6,distractor_key,-1.3121308242003527
17,1,1,7,demo_value,70.64665613873245
31,1,1,7,distractor_value,0.8906532266709298
48,1,1,8,separator,2.096989139356113
48,1,1,9,query_marker,0.0033683186986222294
48,1,1,10,query_key,-8.03012293690916e-05
