examples,intervention,js,layer,margin,margin_damage,probability,rank,rank_damage,top1,top1_flip
48,k_patch_all,0.05569897126337218,0,10.776976346969604,2.8760514656702676,0.9200218748713572,1.0833333333333333,0.08333333333333333,0.9166666666666666,0.08333333333333333
48,k_patch_query,-9.314686851420062e-10,0,13.653026858965555,9.5367431640625e-07,0.9847591978808244,1.0,0.0,1.0,0.0
48,q_patch_all,0.11459964799104934,0,8.479319592316946,5.1737082203229265,0.7989414263044333,1.2291666666666667,0.22916666666666666,0.7916666666666666,0.20833333333333334
48,q_patch_query,-9.314686851420062e-10,0,13.653026858965555,9.5367431640625e-07,0.9847591978808244,1.0,0.0,1.0,0.0
48,v_patch_all,0.02238659812716869,0,11.478167275587717,2.1748605370521545,0.9652932081371546,1.0416666666666667,0.041666666666666664,0.9583333333333334,0.041666666666666664
48,v_patch_query,-9.314686851420062e-10,0,13.653026858965555,9.5367431640625e-07,0.9847591978808244,1.0,0.0,1.0,0.0
48,k_patch_all,0.14710351758646362,1,8.222268482049307,5.430759330590566,0.7823569997151024,1.3125,0.3125,0.7708333333333334,0.22916666666666666
48,k_patch_query,0.0005165579614722611,1,13.523677170276642,0.12935064236323038,0.983628012239933,1.0,0.0,1.0,0.0
48,q_patch_all,0.00014615344387257633,1,13.78002671400706,-0.1269989013671875,0.9853866696357727,1.0,0.0,1.0,0.0
48,q_patch_query,0.00014615344387257633,1,13.78002671400706,-0.1269989013671875,0.9853866696357727,1.0,0.0,1.0,0.0
48,v_patch_all,0.5505899441700421,1,-11.235042909781138,24.88807072242101,0.1975620862080446,2.6458333333333335,1.6458333333333333,0.20833333333333334,0.7916666666666666
48,v_patch_query,0.0013953112898595391,1,13.977724393208822,-0.3246965805689494,0.9902219846844673,1.0,0.0,1.0,0.0
