boundary,examples,layer,margin,probability,rank,target_logit,top1
post_ff,48,0,-3.832178811232249,0.27267833751648685,2.5,12.719250882665316,0.25
post_sa,48,0,-21.979996124903362,0.00017250159067585277,3.8125,3.5333298382659755,0.0
pre_sa,48,0,-28.326345682144165,3.540189931261629e-08,3.4166666666666665,3.444038445750872,0.0
post_ff,48,1,13.653027892112732,0.9847591817378998,1.0,22.21068998177846,1.0
post_sa,48,1,15.54175579547882,0.9797509976973137,1.0208333333333333,25.611945788065594,0.9791666666666666
pre_sa,48,1,-3.832178811232249,0.27267833751648685,2.5,12.719250882665316,0.25
