attention_mass,destination_role,examples,head,layer,source_role
0.3512128310538014,demo_key,48,1,1,demo_key
0.1674751266578437,demo_key,32,1,1,distractor_key
0.1297105637497289,demo_key,32,1,1,distractor_value
0.41046805013166576,demo_key,32,1,1,separator
0.3148167950557171,demo_value,48,1,1,demo_key
0.1754309573587298,demo_value,48,1,1,demo_value
0.10141646374901167,demo_value,32,1,1,distractor_key
0.24213140932046218,demo_value,32,1,1,distractor_value
0.20036884331918164,demo_value,32,1,1,separator
0.31562309648105324,distractor_key,31,1,1,demo_key
0.12050490643278525,distractor_key,31,1,1,demo_value
0.30130631675437297,distractor_key,48,1,1,distractor_key
0.09222122717558483,distractor_key,48,1,1,distractor_value
0.36268078038940726,distractor_key,48,1,1,separator
0.09233144493787196,distractor_value,31,1,1,demo_key
0.20157340496091405,distractor_value,31,1,1,demo_value
0.24368603351482912,distractor_value,48,1,1,distractor_key
0.19746956029038168,distractor_value,48,1,1,distractor_value
0.22531131452281258,distractor_value,48,1,1,separator
0.06779858735251225,query_key,48,1,1,demo_key
0.6636436391874837,query_key,48,1,1,demo_value
0.023336390619733503,query_key,48,1,1,distractor_key
0.0506283589562177,query_key,48,1,1,distractor_value
3.669122378879813e-06,query_key,48,1,1,query_key
7.200388932243244e-05,query_key,48,1,1,query_marker
0.040184204388792076,query_key,48,1,1,separator
0.0634948628432331,query_marker,48,1,1,demo_key
0.17169978571561773,query_marker,48,1,1,demo_value
0.05023273108641509,query_marker,48,1,1,distractor_key
0.2301052685124887,query_marker,48,1,1,distractor_value
0.06651023138298721,query_marker,48,1,1,query_marker
0.04587303712620875,query_marker,48,1,1,separator
0.2197184297512346,separator,48,1,1,demo_key
0.24434013371327504,separator,48,1,1,demo_value
0.18103884111936472,separator,48,1,1,distractor_key
0.23767900678164247,separator,48,1,1,distractor_value
0.03247478283962361,separator,48,1,1,separator
