elapsed_seconds,loss,model_seed,step
1.1645019054412842,39.88325500488281,11,1
61.64214611053467,0.5041381120681763,11,100
122.6440749168396,0.356285035610199,11,200
183.70639991760254,0.2178213894367218,11,300
244.7237832546234,0.06767791509628296,11,400
305.7862739562988,0.0001378683082293719,11,500
366.8216528892517,0.0001244344748556614,11,600
427.8657829761505,0.000567289418540895,11,700
0.6435871124267578,38.611289978027344,23,1
61.03249192237854,0.5889842510223389,23,100
122.0639750957489,0.2722812592983246,23,200
183.02927780151367,0.000974097871221602,23,300
244.03640699386597,5.214288830757141e-05,23,400
305.1111500263214,3.487705907900818e-05,23,500
366.16697812080383,0.00013569672591984272,23,600
427.22493505477905,1.2686998161370866e-05,23,700
