class_id,entity_id,example_id,feature_bits,label_mode,model_seed,output_entropy,position_mode,predictive_order,stage,target_margin,target_probability,template_id,top1_correct
level1-1,test-entity-101,test:l1:t0:prandomized:c5:i1,101000,arbitrary,11,2.8749967739827298e-08,randomized,1,s3,20.39459991455078,1.0,0,1
level1-0,test-entity-102,test:l1:t0:prandomized:c10:i2,010100,arbitrary,11,7.132125119824195e-06,randomized,1,s3,14.604511260986328,0.9999995231628418,0,1
level1-1,test-entity-103,test:l1:t0:prandomized:c15:i3,111100,arbitrary,11,9.167561074718833e-06,randomized,1,s3,14.329700469970703,0.9999994039535522,0,1
level1-0,test-entity-104,test:l1:t0:prandomized:c20:i4,001010,arbitrary,11,0.0002185740158893168,randomized,1,s3,10.905941009521484,0.9999816417694092,0,1
level1-1,test-entity-105,test:l1:t0:prandomized:c25:i5,100110,arbitrary,11,1.0508394865382797e-07,randomized,1,s3,19.019994735717773,1.0,0,1
level1-0,test-entity-106,test:l1:t0:prandomized:c30:i6,011110,arbitrary,11,0.03544201701879501,randomized,1,s3,5.151206970214844,0.9942409992218018,0,1
level1-1,test-entity-107,test:l1:t0:prandomized:c35:i7,110001,arbitrary,11,1.7999747797148302e-05,randomized,1,s3,13.61581802368164,0.9999988079071045,0,1
level1-0,test-entity-108,test:l1:t0:prandomized:c40:i8,000101,arbitrary,11,0.0005844421102665365,randomized,1,s3,10.729970932006836,0.9999521970748901,0,1
level1-1,test-entity-109,test:l1:t0:prandomized:c45:i9,101101,arbitrary,11,6.566356751136482e-05,randomized,1,s3,12.217338562011719,0.9999949932098389,0,1
level1-0,test-entity-110,test:l1:t0:prandomized:c50:i10,010011,arbitrary,11,0.0006677337223663926,randomized,1,s3,10.080804824829102,0.9999425411224365,0,1
level1-1,test-entity-111,test:l1:t0:prandomized:c55:i11,111011,arbitrary,11,1.2658634659601375e-05,randomized,1,s3,14.00527572631836,0.9999991655349731,0,1
level1-0,test-entity-112,test:l1:t0:prandomized:c60:i12,001111,arbitrary,11,0.07563145458698273,randomized,1,s3,4.221750259399414,0.9855383634567261,0,1
