condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
none,0,0,2,,1,-15.295506477355957,11,2.2587543924146303e-07,94,D4,6,0,16
correct,0,0,2,24.149642944335938,1,8.85413646697998,11,0.999411940574646,1,D4,6,1,16
shuffled,0,0,2,,1,-15.941072463989258,11,1.1902140073516421e-07,65,D4,6,0,16
wrong_chain,0,0,2,,1,-8.379085540771484,11,0.0002084815496345982,5,D4,6,0,16
irrelevant,0,0,2,,1,-7.017709732055664,11,0.0005259195459075272,4,D4,6,0,16
reversed,0,0,2,,1,7.7794952392578125,11,0.9989462494850159,1,D4,6,1,16
none,1,0,2,,1,-15.295506477355957,11,2.2587543924146303e-07,94,D4,6,0,16
correct,1,0,2,24.149642944335938,1,8.85413646697998,11,0.999411940574646,1,D4,6,1,16
shuffled,1,0,2,,1,-15.941072463989258,11,1.1902140073516421e-07,65,D4,6,0,16
wrong_chain,1,0,2,,1,-8.379085540771484,11,0.0002084815496345982,5,D4,6,0,16
irrelevant,1,0,2,,1,-7.017709732055664,11,0.0005259195459075272,4,D4,6,0,16
reversed,1,0,2,,1,7.7794952392578125,11,0.9989462494850159,1,D4,6,1,16
none,2,0,2,,1,-15.295506477355957,11,2.2587543924146303e-07,94,D4,6,0,16
correct,2,0,2,24.149642944335938,1,8.85413646697998,11,0.999411940574646,1,D4,6,1,16
shuffled,2,0,2,,1,-15.941072463989258,11,1.1902140073516421e-07,65,D4,6,0,16
wrong_chain,2,0,2,,1,-8.379085540771484,11,0.0002084815496345982,5,D4,6,0,16
irrelevant,2,0,2,,1,-7.017709732055664,11,0.0005259195459075272,4,D4,6,0,16
reversed,2,0,2,,1,7.7794952392578125,11,0.9989462494850159,1,D4,6,1,16
none,3,0,2,,1,-15.295506477355957,11,2.2587543924146303e-07,94,D4,6,0,16
correct,3,0,2,24.149642944335938,1,8.85413646697998,11,0.999411940574646,1,D4,6,1,16
shuffled,3,0,2,,1,-9.157087326049805,11,0.00010527564154472202,4,D4,6,0,16
wrong_chain,3,0,2,,1,-8.379085540771484,11,0.0002084815496345982,5,D4,6,0,16
irrelevant,3,0,2,,1,-7.017709732055664,11,0.0005259195459075272,4,D4,6,0,16
reversed,3,0,2,,1,7.7794952392578125,11,0.9989462494850159,1,D4,6,1,16
none,4,0,2,,1,-15.295506477355957,11,2.2587543924146303e-07,94,D4,6,0,16
correct,4,0,2,24.149642944335938,1,8.85413646697998,11,0.999411940574646,1,D4,6,1,16
shuffled,4,0,2,,1,-9.157087326049805,11,0.00010527564154472202,4,D4,6,0,16
wrong_chain,4,0,2,,1,-8.379085540771484,11,0.0002084815496345982,5,D4,6,0,16
irrelevant,4,0,2,,1,-7.017709732055664,11,0.0005259195459075272,4,D4,6,0,16
reversed,4,0,2,,1,7.7794952392578125,11,0.9989462494850159,1,D4,6,1,16
none,5,0,2,,1,-15.295506477355957,11,2.2587543924146303e-07,94,D4,6,0,16
correct,5,0,2,24.149642944335938,1,8.85413646697998,11,0.999411940574646,1,D4,6,1,16
shuffled,5,0,2,,1,-15.941072463989258,11,1.1902140073516421e-07,65,D4,6,0,16
wrong_chain,5,0,2,,1,-8.379085540771484,11,0.0002084815496345982,5,D4,6,0,16
irrelevant,5,0,2,,1,-7.017709732055664,11,0.0005259195459075272,4,D4,6,0,16
reversed,5,0,2,,1,7.7794952392578125,11,0.9989462494850159,1,D4,6,1,16
none,6,0,2,,1,-15.295506477355957,11,2.2587543924146303e-07,94,D4,6,0,16
correct,6,0,2,24.149642944335938,1,8.85413646697998,11,0.999411940574646,1,D4,6,1,16
shuffled,6,0,2,,1,-15.941072463989258,11,1.1902140073516421e-07,65,D4,6,0,16
wrong_chain,6,0,2,,1,-8.379085540771484,11,0.0002084815496345982,5,D4,6,0,16
irrelevant,6,0,2,,1,-7.017709732055664,11,0.0005259195459075272,4,D4,6,0,16
reversed,6,0,2,,1,7.7794952392578125,11,0.9989462494850159,1,D4,6,1,16
none,7,0,2,,1,-15.295506477355957,11,2.2587543924146303e-07,94,D4,6,0,16
correct,7,0,2,24.149642944335938,1,8.85413646697998,11,0.999411940574646,1,D4,6,1,16
shuffled,7,0,2,,1,-9.157087326049805,11,0.00010527564154472202,4,D4,6,0,16
wrong_chain,7,0,2,,1,-8.379085540771484,11,0.0002084815496345982,5,D4,6,0,16
irrelevant,7,0,2,,1,-7.017709732055664,11,0.0005259195459075272,4,D4,6,0,16
reversed,7,0,2,,1,7.7794952392578125,11,0.9989462494850159,1,D4,6,1,16
none,8,1,2,,1,-3.434507369995117,11,0.029366524890065193,2,D4,6,0,16
