accuracy,architecture,heads,layers,mean_margin,model_seed,n,required_path,split,width
0.5026041666666666,L2_W64_H4,4,2,-0.008753478527069092,11,384,1,test,64
0.484375,L2_W64_H4,4,2,-0.01561349630355835,11,384,12,test,64
0.4817708333333333,L2_W64_H4,4,2,-0.013828734556833902,11,384,16,test,64
0.5416666666666666,L2_W64_H4,4,2,0.01655597488085429,11,384,2,test,64
0.421875,L2_W64_H4,4,2,-0.010232314467430115,11,384,3,test,64
0.5026041666666666,L2_W64_H4,4,2,-0.003325432538986206,11,384,4,test,64
0.4895833333333333,L2_W64_H4,4,2,0.004471917947133382,11,384,6,test,64
0.4713541666666667,L2_W64_H4,4,2,-0.00814912716547648,11,384,8,test,64
0.4947916666666667,L2_W64_H4,4,2,0.00091513991355896,11,384,1,validation,64
0.4453125,L2_W64_H4,4,2,-0.030031248927116394,11,384,12,validation,64
0.5104166666666666,L2_W64_H4,4,2,-0.006387864549954732,11,384,16,validation,64
0.5807291666666666,L2_W64_H4,4,2,0.01936190327008565,11,384,2,validation,64
0.5807291666666666,L2_W64_H4,4,2,0.011648918191591898,11,384,3,validation,64
0.5,L2_W64_H4,4,2,0.0022665957609812417,11,384,4,validation,64
0.453125,L2_W64_H4,4,2,6.399055322011311e-05,11,384,6,validation,64
0.5286458333333334,L2_W64_H4,4,2,-0.001310025652249654,11,384,8,validation,64
0.4583333333333333,L2_W64_H4,4,2,-0.009607369701067606,23,384,1,test,64
0.46875,L2_W64_H4,4,2,-0.001192907492319743,23,384,12,test,64
0.53125,L2_W64_H4,4,2,0.009981736540794373,23,384,16,test,64
0.5338541666666666,L2_W64_H4,4,2,0.005042736728986104,23,384,2,test,64
0.5390625,L2_W64_H4,4,2,0.015971655646959942,23,384,3,test,64
0.5390625,L2_W64_H4,4,2,0.013571610053380331,23,384,4,test,64
0.4713541666666667,L2_W64_H4,4,2,-0.007346297303835551,23,384,6,test,64
0.5286458333333334,L2_W64_H4,4,2,-0.0041772474845250445,23,384,8,test,64
0.59375,L2_W64_H4,4,2,-0.0003978312015533447,23,384,1,validation,64
0.4088541666666667,L2_W64_H4,4,2,-0.02309340238571167,23,384,12,validation,64
0.5,L2_W64_H4,4,2,0.0034346580505371094,23,384,16,validation,64
0.4739583333333333,L2_W64_H4,4,2,-0.006237700581550598,23,384,2,validation,64
0.5651041666666666,L2_W64_H4,4,2,0.009477555751800537,23,384,3,validation,64
0.515625,L2_W64_H4,4,2,0.0005407482385635376,23,384,4,validation,64
0.5390625,L2_W64_H4,4,2,0.005223090449968974,23,384,6,validation,64
0.5598958333333334,L2_W64_H4,4,2,0.023050934076309204,23,384,8,validation,64
0.5234375,L2_W64_H4,4,2,0.006377741694450378,37,384,1,test,64
0.5234375,L2_W64_H4,4,2,-0.0017241438229878743,37,384,12,test,64
0.5,L2_W64_H4,4,2,0.004334956407546997,37,384,16,test,64
0.46875,L2_W64_H4,4,2,-0.013234630227088928,37,384,2,test,64
0.4791666666666667,L2_W64_H4,4,2,-0.00828781227270762,37,384,3,test,64
0.4895833333333333,L2_W64_H4,4,2,0.0026511698961257935,37,384,4,test,64
0.5625,L2_W64_H4,4,2,0.004885579148928325,37,384,6,test,64
0.3802083333333333,L2_W64_H4,4,2,-0.014030272761980692,37,384,8,test,64
0.4583333333333333,L2_W64_H4,4,2,-0.0010181069374084473,37,384,1,validation,64
0.515625,L2_W64_H4,4,2,0.0006856123606363932,37,384,12,validation,64
0.4739583333333333,L2_W64_H4,4,2,-0.009581943353017172,37,384,16,validation,64
0.4791666666666667,L2_W64_H4,4,2,-0.012009913722674051,37,384,2,validation,64
0.4765625,L2_W64_H4,4,2,-0.010972956816355387,37,384,3,validation,64
0.4947916666666667,L2_W64_H4,4,2,0.006289074818293254,37,384,4,validation,64
0.5390625,L2_W64_H4,4,2,0.006261840462684631,37,384,6,validation,64
0.5729166666666666,L2_W64_H4,4,2,0.010478516419728598,37,384,8,validation,64
0.5677083333333334,L4_W64_H4,4,4,0.004252249995867412,11,384,1,test,64
0.421875,L4_W64_H4,4,4,-0.0032136738300323486,11,384,12,test,64
0.4921875,L4_W64_H4,4,4,0.0016062110662460327,11,384,16,test,64
0.3697916666666667,L4_W64_H4,4,4,-0.014424716432889303,11,384,2,test,64
0.4739583333333333,L4_W64_H4,4,4,-0.006142829855283101,11,384,3,test,64
