accuracy,architecture,heads,layers,mean_margin,model_seed,n,position_mode,required_path,split,template_id,tree_seed,width
0.5,L2_W64_H4,4,2,-0.01853311061859131,11,16,aligned,16,test,2,211,64
0.25,L2_W64_H4,4,2,-0.041794657707214355,11,16,aligned,16,test,2,307,64
0.5,L2_W64_H4,4,2,-0.006320595741271973,11,16,randomized,16,test,2,101,64
0.625,L2_W64_H4,4,2,0.045300841331481934,11,16,randomized,16,test,2,211,64
0.4375,L2_W64_H4,4,2,-0.01620030403137207,11,16,randomized,16,test,2,307,64
0.5,L2_W64_H4,4,2,-0.01919245719909668,11,16,aligned,16,test,3,101,64
0.5,L2_W64_H4,4,2,-0.019125938415527344,11,16,aligned,16,test,3,211,64
0.25,L2_W64_H4,4,2,-0.04426836967468262,11,16,aligned,16,test,3,307,64
0.5625,L2_W64_H4,4,2,-0.005360722541809082,11,16,randomized,16,test,3,101,64
0.625,L2_W64_H4,4,2,0.04533493518829346,11,16,randomized,16,test,3,211,64
0.4375,L2_W64_H4,4,2,-0.016077160835266113,11,16,randomized,16,test,3,307,64
0.375,L2_W64_H4,4,2,0.014626502990722656,11,16,aligned,2,test,0,101,64
0.5625,L2_W64_H4,4,2,0.0282059907913208,11,16,aligned,2,test,0,211,64
0.5625,L2_W64_H4,4,2,0.022715330123901367,11,16,aligned,2,test,0,307,64
0.5625,L2_W64_H4,4,2,0.009649038314819336,11,16,randomized,2,test,0,101,64
0.625,L2_W64_H4,4,2,0.019348859786987305,11,16,randomized,2,test,0,211,64
0.5625,L2_W64_H4,4,2,0.014355301856994629,11,16,randomized,2,test,0,307,64
0.4375,L2_W64_H4,4,2,0.01816999912261963,11,16,aligned,2,test,1,101,64
0.5,L2_W64_H4,4,2,0.023216724395751953,11,16,aligned,2,test,1,211,64
0.5625,L2_W64_H4,4,2,0.0279693603515625,11,16,aligned,2,test,1,307,64
0.5625,L2_W64_H4,4,2,0.007629036903381348,11,16,randomized,2,test,1,101,64
0.625,L2_W64_H4,4,2,0.01903975009918213,11,16,randomized,2,test,1,211,64
0.5625,L2_W64_H4,4,2,0.013984084129333496,11,16,randomized,2,test,1,307,64
0.4375,L2_W64_H4,4,2,0.015732526779174805,11,16,aligned,2,test,2,101,64
0.5625,L2_W64_H4,4,2,0.02419412136077881,11,16,aligned,2,test,2,211,64
0.5625,L2_W64_H4,4,2,0.02404928207397461,11,16,aligned,2,test,2,307,64
0.5625,L2_W64_H4,4,2,0.011144518852233887,11,16,randomized,2,test,2,101,64
0.6875,L2_W64_H4,4,2,0.013433218002319336,11,16,randomized,2,test,2,211,64
0.5,L2_W64_H4,4,2,-0.0031061172485351562,11,16,randomized,2,test,2,307,64
0.4375,L2_W64_H4,4,2,0.02165377140045166,11,16,aligned,2,test,3,101,64
0.5,L2_W64_H4,4,2,0.024027109146118164,11,16,aligned,2,test,3,211,64
0.5625,L2_W64_H4,4,2,0.025583863258361816,11,16,aligned,2,test,3,307,64
0.5625,L2_W64_H4,4,2,0.013983845710754395,11,16,randomized,2,test,3,101,64
0.625,L2_W64_H4,4,2,0.011539816856384277,11,16,randomized,2,test,3,211,64
0.5,L2_W64_H4,4,2,-0.0038025379180908203,11,16,randomized,2,test,3,307,64
0.5625,L2_W64_H4,4,2,-0.001034855842590332,11,16,aligned,3,test,0,101,64
0.3125,L2_W64_H4,4,2,-0.03307175636291504,11,16,aligned,3,test,0,211,64
0.5,L2_W64_H4,4,2,0.010323047637939453,11,16,aligned,3,test,0,307,64
0.375,L2_W64_H4,4,2,-0.02106308937072754,11,16,randomized,3,test,0,101,64
0.25,L2_W64_H4,4,2,-0.047417402267456055,11,16,randomized,3,test,0,211,64
0.4375,L2_W64_H4,4,2,0.009773850440979004,11,16,randomized,3,test,0,307,64
0.4375,L2_W64_H4,4,2,-0.003171563148498535,11,16,aligned,3,test,1,101,64
0.25,L2_W64_H4,4,2,-0.036805152893066406,11,16,aligned,3,test,1,211,64
0.5625,L2_W64_H4,4,2,0.015706300735473633,11,16,aligned,3,test,1,307,64
0.375,L2_W64_H4,4,2,-0.021875739097595215,11,16,randomized,3,test,1,101,64
0.25,L2_W64_H4,4,2,-0.04812300205230713,11,16,randomized,3,test,1,211,64
0.5625,L2_W64_H4,4,2,0.0075539350509643555,11,16,randomized,3,test,1,307,64
0.5,L2_W64_H4,4,2,-0.0022846460342407227,11,16,aligned,3,test,2,101,64
0.25,L2_W64_H4,4,2,-0.034657835960388184,11,16,aligned,3,test,2,211,64
0.4375,L2_W64_H4,4,2,0.011364936828613281,11,16,aligned,3,test,2,307,64
0.4375,L2_W64_H4,4,2,-0.004808306694030762,11,16,randomized,3,test,2,101,64
0.4375,L2_W64_H4,4,2,-0.01823127269744873,11,16,randomized,3,test,2,211,64
0.5,L2_W64_H4,4,2,0.008247613906860352,11,16,randomized,3,test,2,307,64
0.5,L2_W64_H4,4,2,-0.0020301342010498047,11,16,aligned,3,test,3,101,64
0.25,L2_W64_H4,4,2,-0.03387010097503662,11,16,aligned,3,test,3,211,64
0.5625,L2_W64_H4,4,2,0.01623225212097168,11,16,aligned,3,test,3,307,64
0.4375,L2_W64_H4,4,2,-0.0050470829010009766,11,16,randomized,3,test,3,101,64
0.4375,L2_W64_H4,4,2,-0.01903712749481201,11,16,randomized,3,test,3,211,64
0.5,L2_W64_H4,4,2,0.007751584053039551,11,16,randomized,3,test,3,307,64
0.3125,L2_W64_H4,4,2,-0.020460963249206543,11,16,aligned,4,test,0,101,64
0.5625,L2_W64_H4,4,2,0.020443439483642578,11,16,aligned,4,test,0,211,64
