architecture,loss,model_seed,step
L4_W64_H4,0.7181791663169861,23,150
L4_W64_H4,0.7155112624168396,23,200
L4_W64_H4,0.7133737802505493,23,250
L4_W64_H4,0.7073442935943604,23,300
L4_W64_H4,0.6824734807014465,23,350
L4_W64_H4,0.6980718374252319,23,400
L4_W64_H4,0.692609965801239,23,450
L4_W64_H4,0.6887296438217163,23,500
L4_W64_H4,0.6817070245742798,23,550
L4_W64_H4,0.7008182406425476,23,600
L4_W64_H4,0.6902372241020203,23,650
L4_W64_H4,0.6979307532310486,23,700
L4_W64_H4,0.6984186172485352,23,750
L4_W64_H4,0.6897330284118652,23,800
L4_W64_H4,0.6896821856498718,23,850
L4_W64_H4,0.6891064643859863,23,900
L4_W64_H4,0.7014939785003662,23,950
L4_W64_H4,0.6966803073883057,23,1000
L4_W64_H4,0.6938704252243042,23,1050
L4_W64_H4,0.6911476850509644,23,1100
L4_W64_H4,0.6972395777702332,23,1150
L4_W64_H4,0.6903647780418396,23,1200
L4_W64_H4,43.511077880859375,37,1
L4_W64_H4,0.7212111353874207,37,50
L4_W64_H4,0.7530069947242737,37,100
L4_W64_H4,0.7124847173690796,37,150
L4_W64_H4,0.7461782693862915,37,200
L4_W64_H4,0.7113039493560791,37,250
L4_W64_H4,0.6972817182540894,37,300
L4_W64_H4,0.6987756490707397,37,350
L4_W64_H4,0.693426787853241,37,400
L4_W64_H4,0.6991580128669739,37,450
L4_W64_H4,0.6947555541992188,37,500
L4_W64_H4,0.7026242017745972,37,550
L4_W64_H4,0.7028141021728516,37,600
L4_W64_H4,0.6964330077171326,37,650
L4_W64_H4,0.69242262840271,37,700
L4_W64_H4,0.701058030128479,37,750
L4_W64_H4,0.6976011395454407,37,800
L4_W64_H4,0.6940537095069885,37,850
L4_W64_H4,0.6924436092376709,37,900
L4_W64_H4,0.704160213470459,37,950
L4_W64_H4,0.6898912191390991,37,1000
L4_W64_H4,0.695787787437439,37,1050
L4_W64_H4,0.6965712308883667,37,1100
L4_W64_H4,0.694863498210907,37,1150
L4_W64_H4,0.6947358250617981,37,1200
L8_W64_H4,42.078636169433594,11,1
L8_W64_H4,0.7341648936271667,11,50
L8_W64_H4,0.7397347688674927,11,100
L8_W64_H4,0.7281898856163025,11,150
L8_W64_H4,0.7244607210159302,11,200
L8_W64_H4,0.7099846005439758,11,250
L8_W64_H4,0.6909882426261902,11,300
L8_W64_H4,0.6923354268074036,11,350
L8_W64_H4,0.6896044015884399,11,400
L8_W64_H4,0.6818395853042603,11,450
L8_W64_H4,0.6908262372016907,11,500
L8_W64_H4,0.6998870968818665,11,550
L8_W64_H4,0.6958572268486023,11,600
L8_W64_H4,0.6876851320266724,11,650
L8_W64_H4,0.6910713911056519,11,700
L8_W64_H4,0.7016909122467041,11,750
L8_W64_H4,0.6988001465797424,11,800
L8_W64_H4,0.7046298384666443,11,850
L8_W64_H4,0.6926504969596863,11,900
L8_W64_H4,0.6905089616775513,11,950
L8_W64_H4,0.6942437291145325,11,1000
L8_W64_H4,0.6983175873756409,11,1050
L8_W64_H4,0.6929399371147156,11,1100
L8_W64_H4,0.6941301822662354,11,1150
L8_W64_H4,0.6941965818405151,11,1200
L8_W64_H4,41.00606155395508,23,1
L8_W64_H4,0.7009243369102478,23,50
L8_W64_H4,0.8439687490463257,23,100
L8_W64_H4,0.7141857147216797,23,150
L8_W64_H4,0.7009685039520264,23,200
L8_W64_H4,0.6882573366165161,23,250
L8_W64_H4,0.7062212228775024,23,300
L8_W64_H4,0.6963091492652893,23,350
L8_W64_H4,0.6890590786933899,23,400
L8_W64_H4,0.7031395435333252,23,450
L8_W64_H4,0.6905019879341125,23,500
L8_W64_H4,0.6954476237297058,23,550
L8_W64_H4,0.6955200433731079,23,600
L8_W64_H4,0.6994495987892151,23,650
L8_W64_H4,0.6975518465042114,23,700
L8_W64_H4,0.6956814527511597,23,750
L8_W64_H4,0.6899784207344055,23,800
L8_W64_H4,0.6940041780471802,23,850
L8_W64_H4,0.6942855715751648,23,900
L8_W64_H4,0.6969190239906311,23,950
L8_W64_H4,0.6937177181243896,23,1000
L8_W64_H4,0.6929221749305725,23,1050
L8_W64_H4,0.697195291519165,23,1100
L8_W64_H4,0.6949085593223572,23,1150
L8_W64_H4,0.6909759640693665,23,1200
L8_W64_H4,41.40187454223633,37,1
L8_W64_H4,1.2234296798706055,37,50
L8_W64_H4,0.7057718634605408,37,100
L8_W64_H4,0.9069150686264038,37,150
L8_W64_H4,0.7134200930595398,37,200
L8_W64_H4,0.8084772229194641,37,250
L8_W64_H4,0.697130024433136,37,300
L8_W64_H4,0.6883753538131714,37,350
L8_W64_H4,0.6891781091690063,37,400
L8_W64_H4,0.6988064646720886,37,450
L8_W64_H4,0.6895676851272583,37,500
L8_W64_H4,0.6912514567375183,37,550
L8_W64_H4,0.6928737163543701,37,600
L8_W64_H4,0.6883650422096252,37,650
L8_W64_H4,0.6946024894714355,37,700
L8_W64_H4,0.6934765577316284,37,750
L8_W64_H4,0.6923179030418396,37,800
L8_W64_H4,0.6960887312889099,37,850
L8_W64_H4,0.691399335861206,37,900
L8_W64_H4,0.6900091767311096,37,950
L8_W64_H4,0.6921254992485046,37,1000
L8_W64_H4,0.6943151354789734,37,1050
L8_W64_H4,0.6931406259536743,37,1100
L8_W64_H4,0.6957802772521973,37,1150
L8_W64_H4,0.6902750730514526,37,1200
