architecture,model_seed,seconds
L2_W64_H4,11,87.6764268791303
L2_W64_H4,23,92.26503986585885
L2_W64_H4,37,96.40454196557403
L4_W64_H4,11,150.33575863670558
L4_W64_H4,23,163.67810132727027
L4_W64_H4,37,168.51427664700896
L8_W64_H4,11,284.2206222191453
L8_W64_H4,23,284.8846511831507
L8_W64_H4,37,271.65700876899064
