architecture,branching,budget_multiplier,diagnostic_tier,distractors,evaluation_axis,example_id,heads,label_mode,model_depth,model_seed,output_entropy,position_mode,predicate,required_path,sequence_length,target_margin,target_probability,target_rank,template_id,top1_correct,total_depth,tree_seed,width
baseline,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree101:i3,4,arbitrary,4,11,0.4405260682106018,aligned,root,2,15,-2.995905876159668,0.046136632561683655,2,3,0,2,101,64
baseline,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree211:i0,4,arbitrary,4,11,0.8429508209228516,aligned,root,2,15,-2.552891731262207,0.06568421423435211,2,0,0,2,211,64
baseline,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t1:paligned:tree211:i1,4,arbitrary,4,11,1.0871660709381104,aligned,root,2,15,-5.051406383514404,0.005243143066763878,10,1,0,2,211,64
baseline,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t2:paligned:tree211:i2,4,arbitrary,4,11,1.5237197875976562,aligned,root,2,15,-4.545990943908691,0.0077878562733531,8,2,0,2,211,64
baseline,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree211:i3,4,arbitrary,4,11,1.0829131603240967,aligned,root,2,15,-0.2668743133544922,0.4088400602340698,2,3,0,2,211,64
baseline,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree307:i0,4,arbitrary,4,11,4.339573383331299,aligned,root,2,15,-3.3364782333374023,0.0027762255631387234,79,0,0,2,307,64
baseline,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t1:paligned:tree307:i1,4,arbitrary,4,11,3.1923770904541016,aligned,root,2,15,-4.705957412719727,0.0016754803946241736,63,1,0,2,307,64
baseline,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t2:paligned:tree307:i2,4,arbitrary,4,11,2.5490260124206543,aligned,root,2,15,-0.05384063720703125,0.2958505153656006,2,2,0,2,307,64
baseline,2,2,easy,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree307:i3,4,arbitrary,4,11,3.2296576499938965,aligned,root,2,15,-1.2921209335327148,0.07504221796989441,3,3,0,2,307,64
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t0:prandomized:tree101:i4,4,arbitrary,4,11,0.5807629823684692,randomized,parent,1,16,-1.877070426940918,0.12928670644760132,2,0,0,2,101,64
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t2:prandomized:tree211:i6,4,arbitrary,4,11,2.149872064590454,randomized,parent,1,16,2.6973209381103516,0.5893149375915527,1,2,1,2,211,64
baseline,2,2,easy,4,depth_path,test:parent:D2:d1:b2:N4:t0:prandomized:tree307:i4,4,arbitrary,4,11,0.7238346338272095,randomized,parent,1,16,-4.650054931640625,0.00846236664801836,6,0,0,2,307,64
