accuracy,architecture,budget_multiplier,diagnostic_tier,heads,layers,mean_margin,model_seed,n,predicate,status,width
0.3854166666666667,depth8,2,hard,4,8,-1.0081079254547756,11,96,parent,observed_complete_2x,64
0.09375,depth8,2,hard,4,8,-2.9059867511192956,11,96,grandparent,observed_complete_2x,64
0.041666666666666664,depth8,2,medium,4,8,-3.6631986598173776,11,48,root,observed_complete_2x,64
0.041666666666666664,depth8,2,hard,4,8,-3.706854032145606,11,72,root,observed_complete_2x,64
1.0,depth8,2,hard,4,8,11.852189985690293,11,432,isAncestor,observed_complete_2x,64
0.0763888888888889,depth8,2,hard,4,8,-3.6110393890628107,11,432,ancestor_k,observed_complete_2x,64
0.6875,depth8,2,easy,4,8,1.0187141348918278,23,96,parent,observed_complete_2x,64
0.2604166666666667,depth8,2,easy,4,8,-1.8533147772153218,23,96,grandparent,observed_complete_2x,64
0.2361111111111111,depth8,2,easy,4,8,-2.2189806236161127,23,72,root,observed_complete_2x,64
0.3125,depth8,2,easy,4,8,-1.9321941600905523,23,144,ancestor_k,observed_complete_2x,64
1.0,depth8,2,easy,4,8,8.257521861129337,23,144,isAncestor,observed_complete_2x,64
0.5416666666666666,depth8,2,medium,4,8,-0.1474236249923706,23,72,parent,observed_complete_2x,64
0.1527777777777778,depth8,2,medium,4,8,-3.097626633114285,23,72,grandparent,observed_complete_2x,64
0.13194444444444445,depth8,2,medium,4,8,-3.924128489361869,23,144,ancestor_k,observed_complete_2x,64
0.9930555555555556,depth8,2,medium,4,8,7.886476119359334,23,144,isAncestor,observed_complete_2x,64
0.4166666666666667,depth8,2,hard,4,8,-0.40690649300813675,23,96,parent,observed_complete_2x,64
0.07291666666666667,depth8,2,hard,4,8,-3.417189322412014,23,96,grandparent,observed_complete_2x,64
0.041666666666666664,depth8,2,medium,4,8,-4.262503405412038,23,48,root,observed_complete_2x,64
0.06944444444444445,depth8,2,hard,4,8,-3.6882373293240867,23,72,root,observed_complete_2x,64
0.9953703703703703,depth8,2,hard,4,8,8.240803843295133,23,432,isAncestor,observed_complete_2x,64
0.08564814814814815,depth8,2,hard,4,8,-4.4076976119368165,23,432,ancestor_k,observed_complete_2x,64
0.2604166666666667,depth8,2,easy,4,8,-1.464959924419721,37,96,parent,observed_complete_2x,64
0.23958333333333334,depth8,2,easy,4,8,-1.8977585285902023,37,96,grandparent,observed_complete_2x,64
0.2222222222222222,depth8,2,easy,4,8,-2.352027505636215,37,72,root,observed_complete_2x,64
0.3125,depth8,2,easy,4,8,-1.3418570309877396,37,144,ancestor_k,observed_complete_2x,64
1.0,depth8,2,easy,4,8,9.498413893911573,37,144,isAncestor,observed_complete_2x,64
0.20833333333333334,depth8,2,medium,4,8,-1.771831625037723,37,72,parent,observed_complete_2x,64
0.1388888888888889,depth8,2,medium,4,8,-2.251239981916216,37,72,grandparent,observed_complete_2x,64
0.16666666666666666,depth8,2,medium,4,8,-2.1582769221729703,37,144,ancestor_k,observed_complete_2x,64
1.0,depth8,2,medium,4,8,9.320869968997108,37,144,isAncestor,observed_complete_2x,64
0.052083333333333336,depth8,2,hard,4,8,-2.301823382576307,37,96,parent,observed_complete_2x,64
0.125,depth8,2,hard,4,8,-2.8443696995576224,37,96,grandparent,observed_complete_2x,64
0.08333333333333333,depth8,2,medium,4,8,-3.1576200127601624,37,48,root,observed_complete_2x,64
0.041666666666666664,depth8,2,hard,4,8,-3.579401741425196,37,72,root,observed_complete_2x,64
0.9953703703703703,depth8,2,hard,4,8,8.259465117145467,37,432,isAncestor,observed_complete_2x,64
0.06018518518518518,depth8,2,hard,4,8,-3.165822296782776,37,432,ancestor_k,observed_complete_2x,64
