architecture_depth,dependency_span,family_id,first_top1_layer,model_seed,nuisance_count,pattern_length,position_mode,predictive_order,regime,settling_delay,span_mode,stable_top1_layer,top1_reversal_count
8,2,"redundant:(2, 2):1",3,11,2,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(3, 3):2",5,11,2,2,aligned,2,redundant,4,contiguous,9,3
8,2,"redundant:(1, 3):3",3,11,2,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(0, 0):4",3,11,2,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(1, 1):5",3,11,2,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 3):6",3,11,2,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 2):7",3,11,2,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 1):1",4,11,2,2,aligned,2,redundant,0,contiguous,4,1
8,2,"redundant:(0, 1):2",3,11,2,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 1):3",4,11,2,2,aligned,2,redundant,0,contiguous,4,1
8,2,"redundant:(0, 3):5",5,11,2,2,aligned,2,redundant,0,contiguous,5,1
8,2,"redundant:(2, 2):6",3,11,2,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(3, 3):7",5,11,2,2,aligned,2,redundant,4,contiguous,9,3
8,2,"redundant:(2, 3):0",7,11,2,2,randomized,2,redundant,2,contiguous,9,3
8,2,"redundant:(3, 1):1",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(1, 3):2",3,11,2,2,randomized,2,redundant,2,contiguous,5,3
8,2,"redundant:(2, 0):3",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 2):4",6,11,2,2,randomized,2,redundant,0,contiguous,6,1
8,2,"redundant:(0, 0):5",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(3, 0):6",7,11,2,2,randomized,2,redundant,0,contiguous,7,1
8,2,"redundant:(3, 0):7",7,11,2,2,randomized,2,redundant,0,contiguous,7,1
8,2,"redundant:(0, 2):0",3,11,2,2,randomized,2,redundant,2,contiguous,5,3
8,2,"redundant:(1, 1):1",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(3, 0):2",7,11,2,2,randomized,2,redundant,0,contiguous,7,1
8,2,"redundant:(1, 0):3",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(1, 1):4",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(0, 1):5",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(1, 1):6",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(1, 0):7",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(1, 2):0",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 2):1",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(3, 3):2",6,11,2,2,randomized,2,redundant,3,contiguous,9,3
8,2,"redundant:(1, 3):3",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(0, 0):4",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(1, 1):5",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 3):6",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 2):7",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 1):1",4,11,2,2,randomized,2,redundant,0,contiguous,4,1
8,2,"redundant:(0, 1):2",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 1):3",4,11,2,2,randomized,2,redundant,0,contiguous,4,1
8,2,"redundant:(0, 3):5",5,11,2,2,randomized,2,redundant,0,contiguous,5,1
8,2,"redundant:(2, 2):6",3,11,2,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(3, 3):7",9,11,2,2,randomized,2,redundant,0,contiguous,9,1
8,3,"redundant:(2, 3):0",6,11,2,2,aligned,2,redundant,0,sparse,6,1
8,3,"redundant:(3, 1):1",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 3):2",7,11,2,2,aligned,2,redundant,0,sparse,7,1
8,3,"redundant:(2, 0):3",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(2, 2):4",6,11,2,2,aligned,2,redundant,0,sparse,6,1
8,3,"redundant:(0, 0):5",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(3, 0):6",7,11,2,2,aligned,2,redundant,0,sparse,7,1
8,3,"redundant:(3, 0):7",7,11,2,2,aligned,2,redundant,0,sparse,7,1
8,3,"redundant:(0, 2):0",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 1):1",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(3, 0):2",7,11,2,2,aligned,2,redundant,0,sparse,7,1
8,3,"redundant:(1, 0):3",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 1):4",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(0, 1):5",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 1):6",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 0):7",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 2):0",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(2, 2):1",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(3, 3):2",5,11,2,2,aligned,2,redundant,4,sparse,9,3
8,3,"redundant:(1, 3):3",3,11,2,2,aligned,2,redundant,2,sparse,5,3
8,3,"redundant:(0, 0):4",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 1):5",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(2, 3):6",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(2, 2):7",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(2, 1):1",4,11,2,2,aligned,2,redundant,0,sparse,4,1
8,3,"redundant:(0, 1):2",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(2, 1):3",4,11,2,2,aligned,2,redundant,0,sparse,4,1
8,3,"redundant:(0, 3):5",5,11,2,2,aligned,2,redundant,0,sparse,5,1
8,3,"redundant:(2, 2):6",3,11,2,2,aligned,2,redundant,0,sparse,3,1
8,3,"redundant:(3, 3):7",5,11,2,2,aligned,2,redundant,4,sparse,9,3
8,3,"redundant:(2, 3):0",7,11,2,2,randomized,2,redundant,2,sparse,9,3
8,3,"redundant:(3, 1):1",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 3):2",9,11,2,2,randomized,2,redundant,0,sparse,9,1
8,3,"redundant:(2, 0):3",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(2, 2):4",6,11,2,2,randomized,2,redundant,0,sparse,6,1
8,3,"redundant:(0, 0):5",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(3, 0):6",7,11,2,2,randomized,2,redundant,0,sparse,7,1
8,3,"redundant:(3, 0):7",7,11,2,2,randomized,2,redundant,0,sparse,7,1
8,3,"redundant:(0, 2):0",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 1):1",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(3, 0):2",7,11,2,2,randomized,2,redundant,0,sparse,7,1
8,3,"redundant:(1, 0):3",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 1):4",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(0, 1):5",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 1):6",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 0):7",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(1, 2):0",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(2, 2):1",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(3, 3):2",5,11,2,2,randomized,2,redundant,0,sparse,5,1
8,3,"redundant:(1, 3):3",3,11,2,2,randomized,2,redundant,2,sparse,5,3
8,3,"redundant:(0, 0):4",3,11,2,2,randomized,2,redundant,0,sparse,3,1
