loss,step
43.23920822143555,1
2.037266254425049,50
1.4331660270690918,100
1.4252617359161377,150
1.4738328456878662,200
1.3879077434539795,250
1.4429938793182373,300
1.5056040287017822,350
1.5293002128601074,400
1.5046805143356323,450
1.3568918704986572,500
1.049722671508789,550
0.9027585983276367,600
0.8234652876853943,650
0.515792727470398,700
0.619938850402832,750
0.25899678468704224,800
0.3792959153652191,850
0.32022345066070557,900
0.3827196955680847,950
0.37965136766433716,1000
0.1577131748199463,1050
0.3050927221775055,1100
0.2532714903354645,1150
0.13484933972358704,1200
0.27109071612358093,1250
0.24263042211532593,1300
0.30751848220825195,1350
0.1319451928138733,1400
0.2634430527687073,1450
0.3469880223274231,1500
0.20770977437496185,1550
0.3148067891597748,1600
