evaluations,family,mean_correct_accuracy,mean_target_margin,split
816,add_n,0.12009803921568628,-1.146319615782476,seen_parameter
7056,affine,0.12018140589569161,-1.1331178138112805,seen_parameter
816,multiply_a,0.12990196078431374,-1.0950567582074333,seen_parameter
144,successor,0.0763888888888889,-1.1957928703890905,seen_parameter
288,add_n,0.13541666666666666,-1.22999669611454,unseen_parameter
2304,affine,0.09895833333333333,-1.2077585700899363,unseen_parameter
288,multiply_a,0.1701388888888889,-1.089808088209894,unseen_parameter
1152,square,0.1987847222222222,-1.0925783223162095,unseen_family
