heads,layers,loss,seed,step,variant,width
1,1,18.274877548217773,11,1,sa_only,32
1,1,8.776825904846191,11,50,sa_only,32
1,1,4.785553932189941,11,100,sa_only,32
1,1,3.151920795440674,11,150,sa_only,32
1,1,3.0871083736419678,11,200,sa_only,32
1,1,3.1083500385284424,11,250,sa_only,32
1,1,3.1796071529388428,11,300,sa_only,32
1,1,3.1454050540924072,11,350,sa_only,32
1,1,3.021061658859253,11,400,sa_only,32
1,1,3.1059939861297607,11,450,sa_only,32
1,1,3.0946884155273438,11,500,sa_only,32
1,1,3.1247072219848633,11,550,sa_only,32
1,1,3.13504958152771,11,600,sa_only,32
1,1,2.9918253421783447,11,650,sa_only,32
1,1,2.878995418548584,11,700,sa_only,32
1,1,3.0590577125549316,11,750,sa_only,32
1,1,3.047886848449707,11,800,sa_only,32
1,1,3.1502726078033447,11,850,sa_only,32
1,1,3.035839319229126,11,900,sa_only,32
1,1,3.009587287902832,11,950,sa_only,32
1,1,3.015915632247925,11,1000,sa_only,32
1,1,3.0039775371551514,11,1050,sa_only,32
1,1,2.9936294555664062,11,1100,sa_only,32
1,1,2.9293668270111084,11,1150,sa_only,32
1,1,3.007685422897339,11,1200,sa_only,32
1,1,16.339275360107422,23,1,sa_only,32
1,1,9.904738426208496,23,50,sa_only,32
1,1,4.519871234893799,23,100,sa_only,32
1,1,3.4038546085357666,23,150,sa_only,32
1,1,2.965993881225586,23,200,sa_only,32
1,1,3.049211025238037,23,250,sa_only,32
1,1,3.0678844451904297,23,300,sa_only,32
1,1,3.0012717247009277,23,350,sa_only,32
1,1,2.9273955821990967,23,400,sa_only,32
1,1,2.999351978302002,23,450,sa_only,32
1,1,3.0712528228759766,23,500,sa_only,32
1,1,2.985121726989746,23,550,sa_only,32
1,1,2.839632511138916,23,600,sa_only,32
1,1,2.963859796524048,23,650,sa_only,32
1,1,2.8962113857269287,23,700,sa_only,32
1,1,3.0248911380767822,23,750,sa_only,32
1,1,2.9305148124694824,23,800,sa_only,32
1,1,2.9601378440856934,23,850,sa_only,32
1,1,2.943986415863037,23,900,sa_only,32
1,1,2.9033234119415283,23,950,sa_only,32
