heads,layers,loss,seed,step,variant,width
1,1,2.821774482727051,23,1000,sa_only,32
1,1,2.860417366027832,23,1050,sa_only,32
1,1,2.9104244709014893,23,1100,sa_only,32
1,1,2.775813579559326,23,1150,sa_only,32
1,1,2.588671922683716,23,1200,sa_only,32
1,1,23.195972442626953,37,1,sa_only,32
1,1,8.481671333312988,37,50,sa_only,32
1,1,4.228723049163818,37,100,sa_only,32
1,1,3.3780148029327393,37,150,sa_only,32
1,1,3.0097529888153076,37,200,sa_only,32
1,1,3.225778341293335,37,250,sa_only,32
1,1,3.105661630630493,37,300,sa_only,32
1,1,3.1181728839874268,37,350,sa_only,32
1,1,3.1148173809051514,37,400,sa_only,32
1,1,3.2716989517211914,37,450,sa_only,32
1,1,3.0349457263946533,37,500,sa_only,32
1,1,3.0352132320404053,37,550,sa_only,32
1,1,3.065972089767456,37,600,sa_only,32
1,1,2.918362617492676,37,650,sa_only,32
1,1,3.0983588695526123,37,700,sa_only,32
1,1,3.023670196533203,37,750,sa_only,32
1,1,3.087078809738159,37,800,sa_only,32
1,1,3.0781302452087402,37,850,sa_only,32
1,1,2.9100821018218994,37,900,sa_only,32
1,1,3.0391037464141846,37,950,sa_only,32
1,1,3.033644437789917,37,1000,sa_only,32
1,1,3.009991407394409,37,1050,sa_only,32
1,1,3.073204278945923,37,1100,sa_only,32
1,1,2.9862353801727295,37,1150,sa_only,32
1,1,2.868903398513794,37,1200,sa_only,32
1,1,18.182905197143555,11,1,sa_ff,32
1,1,6.859382152557373,11,50,sa_ff,32
1,1,4.08556604385376,11,100,sa_ff,32
1,1,3.0831515789031982,11,150,sa_ff,32
1,1,3.0083060264587402,11,200,sa_ff,32
1,1,3.0405430793762207,11,250,sa_ff,32
1,1,3.0966508388519287,11,300,sa_ff,32
1,1,3.05322527885437,11,350,sa_ff,32
1,1,2.864362955093384,11,400,sa_ff,32
1,1,2.611067056655884,11,450,sa_ff,32
1,1,2.3193042278289795,11,500,sa_ff,32
1,1,2.3544318675994873,11,550,sa_ff,32
1,1,2.3580873012542725,11,600,sa_ff,32
1,1,2.1578195095062256,11,650,sa_ff,32
1,1,2.2256431579589844,11,700,sa_ff,32
1,1,2.1184685230255127,11,750,sa_ff,32
1,1,2.1475605964660645,11,800,sa_ff,32
1,1,2.078791618347168,11,850,sa_ff,32
1,1,2.0829315185546875,11,900,sa_ff,32
1,1,2.2115118503570557,11,950,sa_ff,32
1,1,2.1767430305480957,11,1000,sa_ff,32
1,1,2.2066948413848877,11,1050,sa_ff,32
1,1,2.022630214691162,11,1100,sa_ff,32
1,1,2.113426685333252,11,1150,sa_ff,32
1,1,2.069472312927246,11,1200,sa_ff,32
1,1,16.121173858642578,23,1,sa_ff,32
1,1,7.580165863037109,23,50,sa_ff,32
1,1,4.013707637786865,23,100,sa_ff,32
1,1,3.068127155303955,23,150,sa_ff,32
1,1,2.9589195251464844,23,200,sa_ff,32
1,1,2.9752063751220703,23,250,sa_ff,32
1,1,2.8654351234436035,23,300,sa_ff,32
1,1,2.6567747592926025,23,350,sa_ff,32
1,1,2.366464376449585,23,400,sa_ff,32
1,1,2.373558282852173,23,450,sa_ff,32
1,1,2.437452554702759,23,500,sa_ff,32
1,1,2.2463736534118652,23,550,sa_ff,32
1,1,2.1748759746551514,23,600,sa_ff,32
1,1,2.2515006065368652,23,650,sa_ff,32
1,1,2.1929821968078613,23,700,sa_ff,32
1,1,2.141630172729492,23,750,sa_ff,32
1,1,2.1510024070739746,23,800,sa_ff,32
1,1,2.0680880546569824,23,850,sa_ff,32
1,1,2.1486198902130127,23,900,sa_ff,32
1,1,2.275735378265381,23,950,sa_ff,32
1,1,2.1266348361968994,23,1000,sa_ff,32
1,1,2.1273508071899414,23,1050,sa_ff,32
1,1,2.243971586227417,23,1100,sa_ff,32
1,1,2.230189085006714,23,1150,sa_ff,32
1,1,2.1416728496551514,23,1200,sa_ff,32
1,1,22.65738296508789,37,1,sa_ff,32
1,1,6.478678226470947,37,50,sa_ff,32
1,1,3.577639102935791,37,100,sa_ff,32
1,1,3.2818188667297363,37,150,sa_ff,32
1,1,2.99979829788208,37,200,sa_ff,32
1,1,3.195579767227173,37,250,sa_ff,32
1,1,3.0961217880249023,37,300,sa_ff,32
1,1,3.1103827953338623,37,350,sa_ff,32
1,1,3.121873617172241,37,400,sa_ff,32
1,1,3.267164707183838,37,450,sa_ff,32
1,1,3.0179994106292725,37,500,sa_ff,32
1,1,2.9563610553741455,37,550,sa_ff,32
1,1,2.9270005226135254,37,600,sa_ff,32
1,1,2.417875051498413,37,650,sa_ff,32
1,1,2.4672703742980957,37,700,sa_ff,32
1,1,2.335545063018799,37,750,sa_ff,32
1,1,2.290043354034424,37,800,sa_ff,32
1,1,2.279155969619751,37,850,sa_ff,32
1,1,2.14257550239563,37,900,sa_ff,32
1,1,2.2797951698303223,37,950,sa_ff,32
1,1,2.1099154949188232,37,1000,sa_ff,32
1,1,2.309427261352539,37,1050,sa_ff,32
1,1,2.101674795150757,37,1100,sa_ff,32
1,1,2.2214138507843018,37,1150,sa_ff,32
1,1,1.9927525520324707,37,1200,sa_ff,32
4,2,33.82801818847656,11,1,sa_only,64
4,2,5.8823089599609375,11,50,sa_only,64
4,2,3.4490621089935303,11,100,sa_only,64
4,2,3.0481083393096924,11,150,sa_only,64
4,2,2.8981947898864746,11,200,sa_only,64
4,2,2.5994350910186768,11,250,sa_only,64
4,2,2.480116844177246,11,300,sa_only,64
4,2,2.4284074306488037,11,350,sa_only,64
4,2,2.306882619857788,11,400,sa_only,64
4,2,2.266294002532959,11,450,sa_only,64
4,2,2.2037980556488037,11,500,sa_only,64
4,2,2.2011349201202393,11,550,sa_only,64
4,2,2.2882320880889893,11,600,sa_only,64
4,2,2.1422927379608154,11,650,sa_only,64
4,2,2.1620094776153564,11,700,sa_only,64
4,2,2.060741901397705,11,750,sa_only,64
4,2,2.1855239868164062,11,800,sa_only,64
4,2,2.0820682048797607,11,850,sa_only,64
4,2,1.9841259717941284,11,900,sa_only,64
4,2,2.1626369953155518,11,950,sa_only,64
4,2,2.1360316276550293,11,1000,sa_only,64
4,2,2.1929211616516113,11,1050,sa_only,64
4,2,2.0183372497558594,11,1100,sa_only,64
4,2,2.1917877197265625,11,1150,sa_only,64
4,2,2.167264223098755,11,1200,sa_only,64
4,2,42.56584548950195,23,1,sa_only,64
4,2,5.336997985839844,23,50,sa_only,64
4,2,3.324575662612915,23,100,sa_only,64
4,2,2.9165284633636475,23,150,sa_only,64
4,2,2.8999345302581787,23,200,sa_only,64
4,2,2.8278117179870605,23,250,sa_only,64
4,2,2.5682785511016846,23,300,sa_only,64
4,2,2.4067885875701904,23,350,sa_only,64
4,2,2.1632349491119385,23,400,sa_only,64
4,2,2.1878058910369873,23,450,sa_only,64
4,2,2.237816095352173,23,500,sa_only,64
4,2,2.231804370880127,23,550,sa_only,64
4,2,2.258894681930542,23,600,sa_only,64
4,2,2.17305850982666,23,650,sa_only,64
4,2,2.137956142425537,23,700,sa_only,64
4,2,2.070497989654541,23,750,sa_only,64
4,2,2.099781036376953,23,800,sa_only,64
4,2,2.031970739364624,23,850,sa_only,64
4,2,2.114802360534668,23,900,sa_only,64
4,2,2.144101858139038,23,950,sa_only,64
4,2,2.0680899620056152,23,1000,sa_only,64
4,2,2.0690295696258545,23,1050,sa_only,64
4,2,2.2322115898132324,23,1100,sa_only,64
4,2,2.0994791984558105,23,1150,sa_only,64
4,2,2.1158716678619385,23,1200,sa_only,64
4,2,41.116249084472656,37,1,sa_only,64
4,2,5.89426851272583,37,50,sa_only,64
4,2,3.157353162765503,37,100,sa_only,64
4,2,3.0949344635009766,37,150,sa_only,64
4,2,2.6750872135162354,37,200,sa_only,64
4,2,2.726048707962036,37,250,sa_only,64
4,2,2.648141622543335,37,300,sa_only,64
4,2,2.536856174468994,37,350,sa_only,64
4,2,2.407176971435547,37,400,sa_only,64
4,2,2.480815887451172,37,450,sa_only,64
4,2,2.1304922103881836,37,500,sa_only,64
4,2,2.2387170791625977,37,550,sa_only,64
4,2,2.1750974655151367,37,600,sa_only,64
4,2,2.088423490524292,37,650,sa_only,64
4,2,2.044062376022339,37,700,sa_only,64
4,2,2.142254590988159,37,750,sa_only,64
4,2,2.1227636337280273,37,800,sa_only,64
4,2,2.181858539581299,37,850,sa_only,64
4,2,2.09346604347229,37,900,sa_only,64
4,2,2.2378463745117188,37,950,sa_only,64
4,2,2.051816940307617,37,1000,sa_only,64
4,2,2.172086238861084,37,1050,sa_only,64
4,2,2.045217752456665,37,1100,sa_only,64
4,2,2.1784937381744385,37,1150,sa_only,64
4,2,2.0234224796295166,37,1200,sa_only,64
4,2,32.553924560546875,11,1,sa_ff,64
4,2,3.9871954917907715,11,50,sa_ff,64
4,2,3.207193374633789,11,100,sa_ff,64
4,2,2.8641529083251953,11,150,sa_ff,64
4,2,2.4406464099884033,11,200,sa_ff,64
4,2,2.2060933113098145,11,250,sa_ff,64
4,2,2.2465767860412598,11,300,sa_ff,64
4,2,2.2579309940338135,11,350,sa_ff,64
4,2,2.2395217418670654,11,400,sa_ff,64
4,2,2.1640758514404297,11,450,sa_ff,64
4,2,2.0470571517944336,11,500,sa_ff,64
4,2,2.134176015853882,11,550,sa_ff,64
4,2,2.2236580848693848,11,600,sa_ff,64
4,2,2.0757901668548584,11,650,sa_ff,64
4,2,2.203498363494873,11,700,sa_ff,64
4,2,1.9869436025619507,11,750,sa_ff,64
4,2,2.097215414047241,11,800,sa_ff,64
4,2,1.9458277225494385,11,850,sa_ff,64
4,2,1.8655353784561157,11,900,sa_ff,64
4,2,2.1071908473968506,11,950,sa_ff,64
4,2,2.0534372329711914,11,1000,sa_ff,64
4,2,2.2719838619232178,11,1050,sa_ff,64
4,2,1.9265503883361816,11,1100,sa_ff,64
4,2,2.1086394786834717,11,1150,sa_ff,64
4,2,2.0905308723449707,11,1200,sa_ff,64
4,2,41.65690612792969,23,1,sa_ff,64
4,2,3.7105815410614014,23,50,sa_ff,64
4,2,3.1527788639068604,23,100,sa_ff,64
4,2,2.297424793243408,23,150,sa_ff,64
4,2,2.070629119873047,23,200,sa_ff,64
4,2,2.1810309886932373,23,250,sa_ff,64
4,2,2.2922616004943848,23,300,sa_ff,64
4,2,2.2904553413391113,23,350,sa_ff,64
4,2,2.037806987762451,23,400,sa_ff,64
4,2,2.1905205249786377,23,450,sa_ff,64
4,2,2.241276741027832,23,500,sa_ff,64
4,2,2.1513795852661133,23,550,sa_ff,64
4,2,2.1235570907592773,23,600,sa_ff,64
4,2,2.0797393321990967,23,650,sa_ff,64
4,2,1.9969342947006226,23,700,sa_ff,64
4,2,1.8935474157333374,23,750,sa_ff,64
4,2,2.0346784591674805,23,800,sa_ff,64
4,2,1.8319473266601562,23,850,sa_ff,64
4,2,1.8938486576080322,23,900,sa_ff,64
4,2,1.9673446416854858,23,950,sa_ff,64
4,2,1.9034005403518677,23,1000,sa_ff,64
4,2,1.657926082611084,23,1050,sa_ff,64
4,2,1.8208366632461548,23,1100,sa_ff,64
4,2,1.9033112525939941,23,1150,sa_ff,64
4,2,1.880486011505127,23,1200,sa_ff,64
4,2,41.158294677734375,37,1,sa_ff,64
4,2,3.8262274265289307,37,50,sa_ff,64
4,2,2.9804747104644775,37,100,sa_ff,64
4,2,2.533055543899536,37,150,sa_ff,64
4,2,2.256916046142578,37,200,sa_ff,64
4,2,2.280285596847534,37,250,sa_ff,64
4,2,2.3149285316467285,37,300,sa_ff,64
4,2,2.133878707885742,37,350,sa_ff,64
4,2,2.2171404361724854,37,400,sa_ff,64
4,2,2.2027480602264404,37,450,sa_ff,64
4,2,1.9242756366729736,37,500,sa_ff,64
4,2,2.045443534851074,37,550,sa_ff,64
4,2,1.882322907447815,37,600,sa_ff,64
4,2,1.9162943363189697,37,650,sa_ff,64
4,2,1.7531286478042603,37,700,sa_ff,64
4,2,1.9101059436798096,37,750,sa_ff,64
4,2,1.7884546518325806,37,800,sa_ff,64
4,2,1.8708672523498535,37,850,sa_ff,64
4,2,1.850390076637268,37,900,sa_ff,64
4,2,1.6396652460098267,37,950,sa_ff,64
4,2,1.596949815750122,37,1000,sa_ff,64
4,2,1.651641845703125,37,1050,sa_ff,64
4,2,1.4610289335250854,37,1100,sa_ff,64
4,2,1.3065747022628784,37,1150,sa_ff,64
4,2,1.399953007698059,37,1200,sa_ff,64
