competent,correct_accuracy,examples,heads,layers,majority_baseline,mean_target_margin,no_context_accuracy,seed,selectivity,shuffled_accuracy,split,uniform_baseline,variant,width,wrong_rule_accuracy
0,0.11141304347826086,736,1,1,0.11820652173913043,-1.1027002234173857,0.11141304347826086,11,0.0,0.11141304347826086,seen_parameter,0.12106154714850367,sa_only,32,0.11141304347826086
0,0.14166666666666666,240,1,1,0.09583333333333334,-1.128739705681801,0.14166666666666666,11,0.0,0.14166666666666666,unseen_parameter,0.11930735930735929,sa_only,32,0.14166666666666666
0,0.25,96,1,1,0.16666666666666666,-0.7930778985222181,0.25,11,0.0,0.25,unseen_family,0.14458874458874454,sa_only,32,0.25
0,0.11413043478260869,736,1,1,0.11820652173913043,-1.1703576484452123,0.11413043478260869,23,0.0,0.11413043478260869,seen_parameter,0.12106154714850367,sa_only,32,0.11413043478260869
0,0.15833333333333333,240,1,1,0.09583333333333334,-1.0788508335749307,0.15833333333333333,23,0.0,0.15833333333333333,unseen_parameter,0.11930735930735929,sa_only,32,0.15833333333333333
0,0.25,96,1,1,0.16666666666666666,-0.8191711107889811,0.25,23,0.0,0.25,unseen_family,0.14458874458874454,sa_only,32,0.25
0,0.11820652173913043,736,1,1,0.11820652173913043,-0.9640453418959742,0.11820652173913043,37,0.0,0.11820652173913043,seen_parameter,0.12106154714850367,sa_only,32,0.11820652173913043
0,0.15833333333333333,240,1,1,0.09583333333333334,-0.9120381544033687,0.15833333333333333,37,0.0,0.15833333333333333,unseen_parameter,0.11930735930735929,sa_only,32,0.15833333333333333
0,0.25,96,1,1,0.16666666666666666,-0.8649461964766184,0.25,37,0.0,0.25,unseen_family,0.14458874458874454,sa_only,32,0.25
0,0.11005434782608696,736,1,1,0.11820652173913043,-0.8274371730892555,0.11277173913043478,11,-0.0027173913043478243,0.10461956521739131,seen_parameter,0.12106154714850367,sa_ff,32,0.09918478260869565
0,0.09166666666666666,240,1,1,0.09583333333333334,-0.9496432979901631,0.0875,11,-0.00416666666666668,0.09583333333333334,unseen_parameter,0.11930735930735929,sa_ff,32,0.07916666666666666
0,0.2604166666666667,96,1,1,0.16666666666666666,-0.4564333458741506,0.22916666666666666,11,-0.09375,0.28125,unseen_family,0.14458874458874454,sa_ff,32,0.3541666666666667
0,0.13994565217391305,736,1,1,0.11820652173913043,-0.551908336903738,0.13994565217391305,23,0.0,0.13994565217391305,seen_parameter,0.12106154714850367,sa_ff,32,0.13994565217391305
0,0.12083333333333333,240,1,1,0.09583333333333334,-0.5763308425744375,0.12083333333333333,23,0.0,0.12083333333333333,unseen_parameter,0.11930735930735929,sa_ff,32,0.12083333333333333
0,0.25,96,1,1,0.16666666666666666,-0.548522874712944,0.25,23,0.0,0.23958333333333334,unseen_family,0.14458874458874454,sa_ff,32,0.25
0,0.10733695652173914,736,1,1,0.11820652173913043,-0.6844919932925183,0.057065217391304345,37,0.0027173913043478243,0.10054347826086957,seen_parameter,0.12106154714850367,sa_ff,32,0.10461956521739131
0,0.0875,240,1,1,0.09583333333333334,-0.7515428404013316,0.07916666666666666,37,-0.008333333333333345,0.09166666666666666,unseen_parameter,0.11930735930735929,sa_ff,32,0.09583333333333334
0,0.20833333333333334,96,1,1,0.16666666666666666,-0.855009193221728,0.07291666666666667,37,0.0,0.20833333333333334,unseen_family,0.14458874458874454,sa_ff,32,0.125
0,0.12228260869565218,736,4,2,0.11820652173913043,-0.6936376302138619,0.11005434782608696,11,0.0027173913043478243,0.11956521739130435,seen_parameter,0.12106154714850367,sa_only,64,0.11277173913043478
0,0.10416666666666667,240,4,2,0.09583333333333334,-0.8837852855523427,0.10833333333333334,11,-0.004166666666666666,0.09166666666666666,unseen_parameter,0.11930735930735929,sa_only,64,0.0875
0,0.3020833333333333,96,4,2,0.16666666666666666,-0.6143451035022736,0.3020833333333333,11,0.0,0.2916666666666667,unseen_family,0.14458874458874454,sa_only,64,0.3020833333333333
0,0.11684782608695653,736,4,2,0.11820652173913043,-0.8588921751665033,0.058423913043478264,23,-0.0027173913043478243,0.11820652173913043,seen_parameter,0.12106154714850367,sa_only,64,0.11956521739130435
